Industry,Indentation Level,Main Category
"TITLE,2010_Average,2011_Average,2012_Average,2013_Average,2014_Average,2015_Average,2016_Average,2017_Average,2018_Average,2019_Average,2020_Average,2021_Average,2022_Average,2023_Average,2024_Average",0,
"Civilian Labor Force,782658.33,785125.0,796458.33,799850.0,806325.0,819016.67,831816.67,838183.33,841566.67,841541.67,818100.0,811166.67,819825.0,826108.33,811376.39",0,
"Civilian Employment,695350.0,704591.67,726133.33,741225.0,758808.33,779891.67,796025.0,807108.33,815850.0,816475.0,745108.33,761783.33,792350.0,792458.33,760250.69",1,
"Civilian Unemployment,87333.33,80525.0,70333.33,58625.0,47500.0,39108.33,35791.67,31075.0,25733.33,25050.0,72991.67,49375.0,27458.33,33658.33,51126.39",1,
"Civilian Unemployment Rate,0.11,0.1,0.09,0.07,0.06,0.05,0.04,0.04,0.03,0.03,0.09,0.06,0.03,0.04,0.06",0,
"""Total, All Industries"",653591.67,662441.67,682800.0,701625.0,720633.33,749433.33,771908.33,790300.0,807450.0,815150.0,751950.0,777083.33,804900.0,813583.33,684218.33",0,
"Total Farm,733.33,700.0,658.33,550.0,500.0,450.0,475.0,608.33,616.67,666.67,725.0,966.67,850.0,791.67,628.33",1,
"Total Nonfarm,652858.33,661741.67,682141.67,701075.0,720133.33,748983.33,771433.33,789691.67,806833.33,814483.33,751225.0,776116.67,804050.0,812791.67,683590.0",1,
"Goods Producing,90458.33,92975.0,95608.33,100191.67,105108.33,113341.67,118050.0,125866.67,133758.33,134625.0,130308.33,140516.67,146700.0,145141.67,96868.33",2,
"""     Mining, Logging and Construction"",30308.33,30833.33,33283.33,35550.0,37600.0,40875.0,43041.67,45925.0,49041.67,49591.67,46650.0,48675.0,48416.67,47391.67,33515.0",0,
"Manufacturing,60150.0,62141.67,62325.0,64641.67,67508.33,72466.67,75008.33,79941.67,84716.67,85033.33,83658.33,91841.67,98283.33,97750.0,63353.33",3,
"Durable Goods,42041.67,43141.67,43341.67,43716.67,46133.33,49941.67,51783.33,55525.0,60650.0,61341.67,62208.33,70775.0,76783.33,76491.67,43675.0",4,"Durable Goods,42041.67,43141.67,43341.67,43716.67,46133.33,49941.67,51783.33,55525.0,60650.0,61341.67,62208.33,70775.0,76783.33,76491.67,43675.0"
"Nondurable Goods,18108.33,19000.0,18983.33,20925.0,21375.0,22525.0,23225.0,24416.67,24066.67,23691.67,21450.0,21066.67,21500.0,21258.33,19678.33",4,"Nondurable Goods,18108.33,19000.0,18983.33,20925.0,21375.0,22525.0,23225.0,24416.67,24066.67,23691.67,21450.0,21066.67,21500.0,21258.33,19678.33"
"Service Providing,562400.0,568766.67,586533.33,600883.33,615025.0,635641.67,653383.33,663825.0,673075.0,679858.33,620916.67,635600.0,657350.0,667650.0,586721.67",2,"Nondurable Goods,18108.33,19000.0,18983.33,20925.0,21375.0,22525.0,23225.0,24416.67,24066.67,23691.67,21450.0,21066.67,21500.0,21258.33,19678.33"
"""      Trade, Transportation & Utilities"",117800.0,119150.0,123250.0,127658.33,131300.0,135683.33,137900.0,138291.67,139733.33,138816.67,129366.67,134041.67,137208.33,137100.0,123831.67",0,"Nondurable Goods,18108.33,19000.0,18983.33,20925.0,21375.0,22525.0,23225.0,24416.67,24066.67,23691.67,21450.0,21066.67,21500.0,21258.33,19678.33"
"Wholesale Trade,34291.67,34325.0,35558.33,36533.33,36966.67,38066.67,38650.0,38083.33,37766.67,36366.67,33641.67,33133.33,33325.0,32950.0,35535.0",4,"Wholesale Trade,34291.67,34325.0,35558.33,36533.33,36966.67,38066.67,38650.0,38083.33,37766.67,36366.67,33641.67,33133.33,33325.0,32950.0,35535.0"
"Retail Trade,60716.67,61383.33,63525.0,67158.33,68908.33,70766.67,71766.67,71241.67,71658.33,70258.33,62475.0,64416.67,64041.67,64116.67,64338.33",4,"Retail Trade,60716.67,61383.33,63525.0,67158.33,68908.33,70766.67,71766.67,71241.67,71658.33,70258.33,62475.0,64416.67,64041.67,64116.67,64338.33"
"""        Transportation, Warehousing, and Utilities"",22800.0,23450.0,24166.67,23975.0,25433.33,26850.0,27483.33,28966.67,30308.33,32191.67,33250.0,36491.67,39841.67,40033.33,23965.0",0,"Retail Trade,60716.67,61383.33,63525.0,67158.33,68908.33,70766.67,71766.67,71241.67,71658.33,70258.33,62475.0,64416.67,64041.67,64116.67,64338.33"
