TITLE,2010-01-01 00:00:00,2010-02-01 00:00:00,2010-03-01 00:00:00,2010-04-01 00:00:00,2010-05-01 00:00:00,2010-06-01 00:00:00,2010-07-01 00:00:00,2010-08-01 00:00:00,2010-09-01 00:00:00,2010-10-01 00:00:00,2010-11-01 00:00:00,2010-12-01 00:00:00,2011-01-01 00:00:00,2011-02-01 00:00:00,2011-03-01 00:00:00,2011-04-01 00:00:00,2011-05-01 00:00:00,2011-06-01 00:00:00,2011-07-01 00:00:00,2011-08-01 00:00:00,2011-09-01 00:00:00,2011-10-01 00:00:00,2011-11-01 00:00:00,2011-12-01 00:00:00,2012-01-01 00:00:00,2012-02-01 00:00:00,2012-03-01 00:00:00,2012-04-01 00:00:00,2012-05-01 00:00:00,2012-06-01 00:00:00,2012-07-01 00:00:00,2012-08-01 00:00:00,2012-09-01 00:00:00,2012-10-01 00:00:00,2012-11-01 00:00:00,2012-12-01 00:00:00,2013-01-01 00:00:00,2013-02-01 00:00:00,2013-03-01 00:00:00,2013-04-01 00:00:00,2013-05-01 00:00:00,2013-06-01 00:00:00,2013-07-01 00:00:00,2013-08-01 00:00:00,2013-09-01 00:00:00,2013-10-01 00:00:00,2013-11-01 00:00:00,2013-12-01 00:00:00,2014-01-01 00:00:00,2014-02-01 00:00:00,2014-03-01 00:00:00,2014-04-01 00:00:00,2014-05-01 00:00:00,2014-06-01 00:00:00,2014-07-01 00:00:00,2014-08-01 00:00:00,2014-09-01 00:00:00,2014-10-01 00:00:00,2014-11-01 00:00:00,2014-12-01 00:00:00,2015-01-01 00:00:00,2015-02-01 00:00:00,2015-03-01 00:00:00,2015-04-01 00:00:00,2015-05-01 00:00:00,2015-06-01 00:00:00,2015-07-01 00:00:00,2015-08-01 00:00:00,2015-09-01 00:00:00,2015-10-01 00:00:00,2015-11-01 00:00:00,2015-12-01 00:00:00,2016-01-01 00:00:00,2016-02-01 00:00:00,2016-03-01 00:00:00,2016-04-01 00:00:00,2016-05-01 00:00:00,2016-06-01 00:00:00,2016-07-01 00:00:00,2016-08-01 00:00:00,2016-09-01 00:00:00,2016-10-01 00:00:00,2016-11-01 00:00:00,2016-12-01 00:00:00,2017-01-01 00:00:00,2017-02-01 00:00:00,2017-03-01 00:00:00,2017-04-01 00:00:00,2017-05-01 00:00:00,2017-06-01 00:00:00,2017-07-01 00:00:00,2017-08-01 00:00:00,2017-09-01 00:00:00,2017-10-01 00:00:00,2017-11-01 00:00:00,2017-12-01 00:00:00,2018-01-01 00:00:00,2018-02-01 00:00:00,2018-03-01 00:00:00,2018-04-01 00:00:00,2018-05-01 00:00:00,2018-06-01 00:00:00,2018-07-01 00:00:00,2018-08-01 00:00:00,2018-09-01 00:00:00,2018-10-01 00:00:00,2018-11-01 00:00:00,2018-12-01 00:00:00,2019-01-01 00:00:00,2019-02-01 00:00:00,2019-03-01 00:00:00,2019-04-01 00:00:00,2019-05-01 00:00:00,2019-06-01 00:00:00,2019-07-01 00:00:00,2019-08-01 00:00:00,2019-09-01 00:00:00,2019-10-01 00:00:00,2019-11-01 00:00:00,2019-12-01 00:00:00,2020-01-01 00:00:00,2020-02-01 00:00:00,2020-03-01 00:00:00,2020-04-01 00:00:00,2020-05-01 00:00:00,2020-06-01 00:00:00,2020-07-01 00:00:00,2020-08-01 00:00:00,2020-09-01 00:00:00,2020-10-01 00:00:00,2020-11-01 00:00:00,2020-12-01 00:00:00,2021-01-01 00:00:00,2021-02-01 00:00:00,2021-03-01 00:00:00,2021-04-01 00:00:00,2021-05-01 00:00:00,2021-06-01 00:00:00,2021-07-01 00:00:00,2021-08-01 00:00:00,2021-09-01 00:00:00,2021-10-01 00:00:00,2021-11-01 00:00:00,2021-12-01 00:00:00,2022-01-01 00:00:00,2022-02-01 00:00:00,2022-03-01 00:00:00,2022-04-01 00:00:00,2022-05-01 00:00:00,2022-06-01 00:00:00,2022-07-01 00:00:00,2022-08-01 00:00:00,2022-09-01 00:00:00,2022-10-01 00:00:00,2022-11-01 00:00:00,2022-12-01 00:00:00,2023-01-01 00:00:00,2023-02-01 00:00:00,2023-03-01 00:00:00,2023-04-01 00:00:00,2023-05-01 00:00:00,2023-06-01 00:00:00,2023-07-01 00:00:00,2023-08-01 00:00:00,2023-09-01 00:00:00,2023-10-01 00:00:00,2023-11-01 00:00:00,2023-12-01 00:00:00,2024-01-01 00:00:00,2024-02-01 00:00:00,2024-03-01 00:00:00,2024-04-01 00:00:00,2024-05-01 00:00:00,2024-06-01 00:00:00,2024-07-01 00:00:00,2010_Average,2011_Average,2012_Average,2013_Average,2014_Average,2015_Average,2016_Average,2017_Average,2018_Average,2019_Average,2020_Average,2021_Average,2022_Average,2023_Average,2024_Average
Civilian Labor Force,782200.0,782700.0,785600.0,783700.0,779700.0,780600.0,785400.0,782100.0,786000.0,781200.0,782700.0,780000.0,777000.0,777200.0,780400.0,777600.0,779300.0,783500.0,790300.0,790200.0,791500.0,792300.0,790900.0,791300.0,787800.0,791500.0,793500.0,788800.0,791500.0,795300.0,802800.0,798900.0,800600.0,802800.0,801200.0,802800.0,799900.0,799200.0,798500.0,795200.0,798000.0,799300.0,807500.0,801800.0,803100.0,799000.0,800300.0,796400.0,797300.0,801500.0,804000.0,796800.0,802400.0,805800.0,813200.0,808900.0,809200.0,812500.0,814300.0,810000.0,811500.0,813100.0,815300.0,813600.0,818500.0,818800.0,824800.0,822000.0,820300.0,822200.0,823800.0,824300.0,823100.0,828300.0,831300.0,825500.0,826700.0,830200.0,837700.0,834200.0,837300.0,837500.0,836400.0,833600.0,834700.0,838000.0,840400.0,831800.0,834100.0,836600.0,844700.0,839300.0,843000.0,839800.0,838900.0,836900.0,833300.0,841300.0,842500.0,835500.0,839100.0,840500.0,848200.0,840700.0,844100.0,844500.0,844700.0,844400.0,839300.0,845900.0,845600.0,833600.0,835500.0,836700.0,846800.0,841500.0,844100.0,843100.0,842800.0,843600.0,839400.0,847500.0,836300.0,807300.0,800400.0,821000.0,821500.0,813000.0,812200.0,810500.0,805200.0,802900.0,801500.0,806700.0,808900.0,803300.0,806100.0,811500.0,818400.0,814300.0,814900.0,815700.0,816800.0,815900.0,818500.0,823400.0,826200.0,812100.0,816700.0,817600.0,820300.0,820500.0,821500.0,821700.0,820200.0,819200.0,819100.0,826900.0,830600.0,821500.0,822000.0,821400.0,830000.0,828800.0,830800.0,828700.0,830400.0,823100.0,826000.0,827100.0,828600.0,819600.0,818000.0,819400.0,827400.0,782658.33,785125.0,796458.33,799850.0,806325.0,819016.67,831816.67,838183.33,841566.67,841541.67,818100.0,811166.67,819825.0,826108.33,811376.39
  Civilian Employment,691500.0,693600.0,695800.0,696500.0,695500.0,693000.0,694900.0,692400.0,700100.0,696600.0,696500.0,697800.0,691600.0,694200.0,697700.0,699000.0,701300.0,699700.0,705800.0,707100.0,711100.0,713800.0,715700.0,718100.0,712700.0,716800.0,719400.0,720600.0,722400.0,721300.0,727200.0,726300.0,734000.0,736200.0,737200.0,739500.0,732700.0,735900.0,737300.0,738900.0,741400.0,737300.0,745000.0,742300.0,746800.0,742900.0,747300.0,746900.0,744800.0,749100.0,751600.0,752200.0,757100.0,757500.0,761500.0,759000.0,763900.0,768000.0,770700.0,770300.0,767600.0,771600.0,774300.0,775700.0,780300.0,778200.0,782600.0,782200.0,783900.0,785100.0,787500.0,789700.0,786300.0,791800.0,794000.0,790800.0,794600.0,792300.0,798600.0,796200.0,801400.0,801700.0,803100.0,801500.0,798800.0,804200.0,808000.0,802100.0,805300.0,803600.0,810100.0,805500.0,813600.0,811500.0,811700.0,810900.0,804700.0,813900.0,816500.0,811900.0,817100.0,813100.0,820900.0,813800.0,819500.0,819300.0,820100.0,819400.0,809600.0,819500.0,818800.0,811300.0,813600.0,810500.0,818900.0,814900.0,821200.0,819200.0,819100.0,821100.0,813200.0,822600.0,799500.0,687900.0,687400.0,715700.0,723300.0,731600.0,734700.0,743300.0,741100.0,741000.0,740400.0,747900.0,752500.0,748600.0,755400.0,755000.0,765300.0,764100.0,772700.0,775500.0,780600.0,783400.0,782300.0,791300.0,797400.0,787200.0,793900.0,790600.0,793500.0,792700.0,796500.0,795300.0,793200.0,794300.0,789200.0,796100.0,800200.0,794300.0,792800.0,787800.0,794900.0,790400.0,794200.0,790700.0,792700.0,786200.0,784700.0,786000.0,790000.0,783700.0,786100.0,781100.0,785300.0,695350.0,704591.67,726133.33,741225.0,758808.33,779891.67,796025.0,807108.33,815850.0,816475.0,745108.33,761783.33,792350.0,792458.33,760250.69
  Civilian Unemployment,90700.0,89100.0,89800.0,87200.0,84300.0,87600.0,90500.0,89700.0,85900.0,84700.0,86300.0,82200.0,85400.0,83000.0,82700.0,78600.0,78000.0,83800.0,84400.0,83000.0,80400.0,78500.0,75300.0,73200.0,75000.0,74700.0,74100.0,68300.0,69100.0,74000.0,75600.0,72600.0,66600.0,66600.0,64100.0,63300.0,67200.0,63300.0,61200.0,56300.0,56600.0,62000.0,62500.0,59500.0,56300.0,56100.0,53000.0,49500.0,52500.0,52400.0,52300.0,44600.0,45300.0,48200.0,51700.0,49900.0,45300.0,44500.0,43600.0,39700.0,43900.0,41600.0,41000.0,37900.0,38100.0,40500.0,42100.0,39800.0,36400.0,37100.0,36300.0,34600.0,36800.0,36600.0,37400.0,34700.0,32000.0,37900.0,39100.0,38000.0,35900.0,35700.0,33300.0,32100.0,35900.0,33800.0,32500.0,29700.0,28700.0,33000.0,34600.0,33900.0,29400.0,28300.0,27100.0,26000.0,28600.0,27400.0,26000.0,23600.0,22100.0,27400.0,27400.0,26900.0,24600.0,25200.0,24700.0,24900.0,29700.0,26400.0,26800.0,22300.0,21900.0,26100.0,27800.0,26700.0,22900.0,23900.0,23700.0,22400.0,26200.0,24800.0,36800.0,119400.0,113100.0,105300.0,98200.0,81300.0,77500.0,67300.0,64100.0,61900.0,61100.0,58800.0,56400.0,54700.0,50600.0,56400.0,53100.0,50200.0,42200.0,40200.0,36200.0,32600.0,36200.0,32100.0,28700.0,24900.0,22800.0,27000.0,26700.0,27800.0,25000.0,26400.0,27000.0,24900.0,29900.0,30800.0,30400.0,27300.0,29200.0,33600.0,35100.0,38400.0,36600.0,38000.0,37700.0,36900.0,41200.0,41100.0,38600.0,35900.0,31900.0,38300.0,42200.0,87333.33,80525.0,70333.33,58625.0,47500.0,39108.33,35791.67,31075.0,25733.33,25050.0,72991.67,49375.0,27458.33,33658.33,51126.39
Civilian Unemployment Rate,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Total, All Industries",648600.0,650200.0,653900.0,653500.0,657000.0,657900.0,644700.0,641900.0,654600.0,658000.0,661700.0,661100.0,646500.0,650300.0,654400.0,660900.0,662300.0,664800.0,662700.0,664100.0,666100.0,670400.0,673000.0,673800.0,663900.0,667800.0,671600.0,679200.0,682900.0,686300.0,683400.0,684300.0,686400.0,692200.0,697500.0,698100.0,686500.0,691800.0,694900.0,700000.0,703400.0,701600.0,698700.0,701700.0,701300.0,710700.0,714100.0,714800.0,701200.0,706600.0,711000.0,716900.0,720900.0,723200.0,717500.0,721300.0,723100.0,730000.0,737900.0,738000.0,727600.0,732200.0,739300.0,745200.0,747900.0,750100.0,750000.0,753800.0,754000.0,761400.0,765000.0,766700.0,754200.0,760100.0,762200.0,770900.0,772000.0,769900.0,771100.0,771400.0,774800.0,783100.0,785100.0,788100.0,772500.0,778000.0,785100.0,784300.0,790000.0,793600.0,787400.0,790500.0,792500.0,800700.0,802800.0,806200.0,791800.0,799000.0,803400.0,804400.0,808900.0,811500.0,805500.0,807900.0,808500.0,813600.0,817000.0,817900.0,801200.0,807400.0,810200.0,811500.0,814800.0,817000.0,813600.0,817100.0,816200.0,818900.0,826800.0,827100.0,812500.0,817900.0,811900.0,691200.0,709100.0,724800.0,724600.0,729900.0,735800.0,752900.0,758700.0,754100.0,741000.0,753100.0,759100.0,769100.0,774800.0,778200.0,781700.0,782300.0,782300.0,797100.0,803200.0,803100.0,787200.0,796900.0,802100.0,802000.0,805900.0,808000.0,804600.0,806400.0,807300.0,810500.0,814300.0,813600.0,801300.0,806800.0,807700.0,813800.0,817400.0,818000.0,811400.0,812100.0,812500.0,817800.0,821700.0,822500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,653591.67,662441.67,682800.0,701625.0,720633.33,749433.33,771908.33,790300.0,807450.0,815150.0,751950.0,777083.33,804900.0,813583.33,285090.97
  Total Farm,800.0,700.0,700.0,700.0,700.0,800.0,800.0,700.0,700.0,700.0,700.0,800.0,700.0,700.0,600.0,600.0,700.0,700.0,800.0,800.0,800.0,700.0,700.0,600.0,700.0,600.0,600.0,600.0,700.0,700.0,700.0,600.0,700.0,700.0,700.0,600.0,500.0,600.0,500.0,500.0,600.0,600.0,600.0,600.0,500.0,600.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,600.0,500.0,500.0,500.0,500.0,400.0,500.0,400.0,400.0,500.0,500.0,400.0,400.0,500.0,400.0,400.0,500.0,500.0,500.0,500.0,500.0,400.0,400.0,500.0,500.0,600.0,500.0,500.0,500.0,400.0,400.0,500.0,500.0,400.0,500.0,600.0,800.0,800.0,700.0,600.0,700.0,600.0,600.0,500.0,500.0,500.0,600.0,800.0,700.0,700.0,600.0,600.0,700.0,600.0,600.0,500.0,600.0,600.0,600.0,700.0,700.0,700.0,700.0,700.0,800.0,700.0,700.0,700.0,700.0,800.0,700.0,700.0,800.0,700.0,800.0,700.0,700.0,700.0,700.0,700.0,800.0,800.0,900.0,1000.0,1000.0,1100.0,1000.0,1000.0,1100.0,1000.0,1200.0,800.0,900.0,900.0,900.0,800.0,900.0,900.0,800.0,800.0,900.0,800.0,800.0,700.0,700.0,700.0,600.0,700.0,900.0,900.0,900.0,900.0,900.0,800.0,800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,733.33,700.0,658.33,550.0,500.0,450.0,475.0,608.33,616.67,666.67,725.0,966.67,850.0,791.67,261.8
  Total Nonfarm,647800.0,649500.0,653200.0,652800.0,656300.0,657100.0,643900.0,641200.0,653900.0,657300.0,661000.0,660300.0,645800.0,649600.0,653800.0,660300.0,661600.0,664100.0,661900.0,663300.0,665300.0,669700.0,672300.0,673200.0,663200.0,667200.0,671000.0,678600.0,682200.0,685600.0,682700.0,683700.0,685700.0,691500.0,696800.0,697500.0,686000.0,691200.0,694400.0,699500.0,702800.0,701000.0,698100.0,701100.0,700800.0,710100.0,713600.0,714300.0,700700.0,706100.0,710500.0,716400.0,720400.0,722600.0,717000.0,720800.0,722600.0,729500.0,737500.0,737500.0,727200.0,731800.0,738800.0,744700.0,747500.0,749700.0,749500.0,753400.0,753600.0,760900.0,764500.0,766200.0,753700.0,759600.0,761800.0,770500.0,771500.0,769400.0,770500.0,770900.0,774300.0,782600.0,784700.0,787700.0,772000.0,777500.0,784700.0,783800.0,789400.0,792800.0,786600.0,789800.0,791900.0,800000.0,802200.0,805600.0,791300.0,798500.0,802900.0,803800.0,808100.0,810800.0,804800.0,807300.0,807900.0,812900.0,816400.0,817300.0,800700.0,806800.0,809600.0,810900.0,814100.0,816300.0,812900.0,816400.0,815500.0,818100.0,826100.0,826400.0,811800.0,817200.0,811100.0,690500.0,708400.0,724000.0,723900.0,729100.0,735100.0,752200.0,758000.0,753400.0,740300.0,752300.0,758300.0,768200.0,773800.0,777200.0,780600.0,781300.0,781300.0,796000.0,802200.0,801900.0,786400.0,796000.0,801200.0,801100.0,805100.0,807100.0,803700.0,805600.0,806500.0,809600.0,813500.0,812800.0,800600.0,806100.0,807000.0,813200.0,816700.0,817100.0,810500.0,811200.0,811600.0,816900.0,820900.0,821700.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,652858.33,661741.67,682141.67,701075.0,720133.33,748983.33,771433.33,789691.67,806833.33,814483.33,751225.0,776116.67,804050.0,812791.67,284829.17
    Goods Producing,91200.0,91000.0,91900.0,87900.0,88600.0,89500.0,91000.0,91500.0,90900.0,91000.0,90800.0,90200.0,89400.0,89500.0,89500.0,91000.0,92000.0,93300.0,95200.0,96100.0,95400.0,95000.0,94800.0,94500.0,92600.0,92800.0,92400.0,93800.0,94900.0,96400.0,97500.0,97900.0,97600.0,97800.0,97100.0,96500.0,97500.0,98100.0,98500.0,98500.0,99200.0,100200.0,100800.0,102200.0,101700.0,101900.0,102100.0,101600.0,100000.0,100500.0,101100.0,102000.0,103300.0,105000.0,106700.0,107900.0,108200.0,108600.0,109500.0,108500.0,108100.0,108600.0,110100.0,110900.0,111900.0,113300.0,115200.0,116100.0,116400.0,116800.0,116600.0,116100.0,114600.0,116000.0,115900.0,116800.0,117400.0,117500.0,120300.0,120400.0,120300.0,119600.0,119100.0,118700.0,119500.0,120500.0,122700.0,122400.0,124200.0,126000.0,128200.0,128900.0,128900.0,129500.0,129300.0,130300.0,129500.0,131600.0,131200.0,132200.0,133300.0,134200.0,136000.0,135900.0,135600.0,135400.0,135100.0,135100.0,132100.0,132600.0,133700.0,133400.0,133900.0,135000.0,135900.0,136200.0,136000.0,135600.0,135600.0,135500.0,134300.0,135700.0,135900.0,113000.0,122600.0,129000.0,129200.0,130200.0,131400.0,133400.0,133900.0,135100.0,134600.0,137000.0,139100.0,139500.0,139800.0,141100.0,141600.0,142100.0,142300.0,143100.0,142800.0,143200.0,141800.0,144400.0,145700.0,145900.0,146500.0,147800.0,148500.0,148700.0,148900.0,147600.0,147400.0,147200.0,142500.0,144900.0,144900.0,146100.0,146300.0,146700.0,145500.0,145000.0,145400.0,145500.0,144500.0,144400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90458.33,92975.0,95608.33,100191.67,105108.33,113341.67,118050.0,125866.67,133758.33,134625.0,130308.33,140516.67,146700.0,145141.67,40361.8
"     Mining, Logging and Construction",29500.0,28900.0,29700.0,29800.0,30000.0,30600.0,31300.0,31700.0,31000.0,31200.0,30400.0,29600.0,28600.0,28500.0,28200.0,29100.0,29700.0,30500.0,31700.0,32700.0,32900.0,33000.0,32700.0,32400.0,30800.0,31100.0,30500.0,31300.0,32500.0,33800.0,34600.0,35200.0,35000.0,35300.0,34800.0,34500.0,34200.0,34500.0,34800.0,34800.0,35100.0,35900.0,36200.0,36800.0,36200.0,36500.0,36200.0,35400.0,34700.0,35000.0,35300.0,35800.0,36800.0,38000.0,39000.0,39900.0,39600.0,39500.0,39400.0,38200.0,38200.0,38200.0,39100.0,39700.0,40300.0,40900.0,41800.0,42400.0,42600.0,42600.0,42600.0,42100.0,40200.0,41300.0,41100.0,42400.0,42900.0,42900.0,44400.0,44600.0,44600.0,44400.0,44400.0,43300.0,42700.0,43100.0,44100.0,44400.0,45600.0,46500.0,47400.0,47700.0,47600.0,47600.0,47200.0,47200.0,46100.0,48000.0,47400.0,48200.0,48900.0,49700.0,50000.0,50000.0,50200.0,50400.0,50100.0,49500.0,47000.0,47300.0,48300.0,48700.0,49600.0,50400.0,51000.0,51200.0,51000.0,50800.0,50500.0,49300.0,49200.0,49900.0,49500.0,34900.0,43700.0,46700.0,46800.0,47400.0,47500.0,48500.0,48000.0,47700.0,46700.0,47200.0,47800.0,48800.0,49200.0,49500.0,49600.0,49800.0,49200.0,49600.0,48700.0,48000.0,46100.0,47500.0,47800.0,47900.0,48200.0,48800.0,49700.0,49800.0,49400.0,49200.0,48600.0,48000.0,43700.0,46300.0,45600.0,47200.0,47700.0,48400.0,48100.0,48200.0,48200.0,49200.0,48500.0,47600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30308.33,30833.33,33283.33,35550.0,37600.0,40875.0,43041.67,45925.0,49041.67,49591.67,46650.0,48675.0,48416.67,47391.67,13964.58
      Manufacturing,61700.0,62100.0,62200.0,58100.0,58600.0,58900.0,59700.0,59800.0,59900.0,59800.0,60400.0,60600.0,60800.0,61000.0,61300.0,61900.0,62300.0,62800.0,63500.0,63400.0,62500.0,62000.0,62100.0,62100.0,61800.0,61700.0,61900.0,62500.0,62400.0,62600.0,62900.0,62700.0,62600.0,62500.0,62300.0,62000.0,63300.0,63600.0,63700.0,63700.0,64100.0,64300.0,64600.0,65400.0,65500.0,65400.0,65900.0,66200.0,65300.0,65500.0,65800.0,66200.0,66500.0,67000.0,67700.0,68000.0,68600.0,69100.0,70100.0,70300.0,69900.0,70400.0,71000.0,71200.0,71600.0,72400.0,73400.0,73700.0,73800.0,74200.0,74000.0,74000.0,74400.0,74700.0,74800.0,74400.0,74500.0,74600.0,75900.0,75800.0,75700.0,75200.0,74700.0,75400.0,76800.0,77400.0,78600.0,78000.0,78600.0,79500.0,80800.0,81200.0,81300.0,81900.0,82100.0,83100.0,83400.0,83600.0,83800.0,84000.0,84400.0,84500.0,86000.0,85900.0,85400.0,85000.0,85000.0,85600.0,85100.0,85300.0,85400.0,84700.0,84300.0,84600.0,84900.0,85000.0,85000.0,84800.0,85100.0,86200.0,85100.0,85800.0,86400.0,78100.0,78900.0,82300.0,82400.0,82800.0,83900.0,84900.0,85900.0,87400.0,87900.0,89800.0,91300.0,90700.0,90600.0,91600.0,92000.0,92300.0,93100.0,93500.0,94100.0,95200.0,95700.0,96900.0,97900.0,98000.0,98300.0,99000.0,98800.0,98900.0,99500.0,98400.0,98800.0,99200.0,98800.0,98600.0,99300.0,98900.0,98600.0,98300.0,97400.0,96800.0,97200.0,96300.0,96000.0,96800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60150.0,62141.67,62325.0,64641.67,67508.33,72466.67,75008.33,79941.67,84716.67,85033.33,83658.33,91841.67,98283.33,97750.0,26397.22
