TITLE,2010_Average,2011_Average,2012_Average,2013_Average,2014_Average,2015_Average,2016_Average,2017_Average,2018_Average,2019_Average,2020_Average,2021_Average,2022_Average,2023_Average,2024_Average
Civilian Labor Force,18367191.67,18405175.0,18488966.67,18568483.33,18677108.33,18824850.0,19013908.33,19183600.0,19288541.67,19386225.0,18955275.0,18961175.0,19168825.0,19308516.67,18996035.42
  Civilian Employment,16080100.0,16218316.67,16543566.67,16892025.0,17264841.67,17649566.67,17965091.67,18255625.0,18467258.33,18591375.0,17033833.33,17571883.33,18350233.33,18393925.0,17610254.17
  Civilian Unemployment,2287100.0,2186858.33,1945366.67,1676475.0,1412283.33,1175283.33,1048808.33,927975.0,821275.0,794841.67,1921458.33,1389283.33,818583.33,914600.0,1385798.61
Civilian Unemployment Rate,0.12,0.12,0.11,0.09,0.08,0.06,0.06,0.05,0.04,0.04,0.1,0.07,0.04,0.05,0.07
  Total Farm,382925.0,389650.0,399808.33,412733.33,416975.0,422625.0,425408.33,422916.67,422041.67,422783.33,406983.33,409300.0,417891.67,411300.0,410974.3
  Total Nonfarm,14282241.67,14436658.33,14762016.67,15151175.0,15574683.33,16049083.33,16478858.33,16826850.0,17172016.67,17431375.0,16184925.0,16750475.0,17670391.67,17829716.67,16690722.92
    Goods Producing,1834525.0,1844783.33,1880983.33,1930583.33,1986275.0,2064066.67,2110400.0,2147500.0,2210058.33,2239841.67,2143808.33,2184541.67,2270533.33,2268125.0,2110237.5
      Mining and Logging,24700.0,26791.67,28416.67,28425.0,29441.67,26583.33,22508.33,22116.67,22666.67,22783.33,20166.67,19141.67,19591.67,19591.67,23081.25
      Construction,560433.33,561791.67,590475.0,637850.0,674575.0,732308.33,775991.67,810866.67,861200.0,887383.33,855933.33,882450.0,912508.33,914191.67,793143.75
      Manufacturing,1249391.67,1256200.0,1262091.67,1264308.33,1282258.33,1305175.0,1311900.0,1314516.67,1326191.67,1329675.0,1267708.33,1282950.0,1338433.33,1334341.67,1294012.5
        Durable Goods,780583.33,789308.33,793116.67,793066.67,805450.0,822075.0,824400.0,829816.67,846933.33,852125.0,822216.67,828358.33,866500.0,868008.33,827360.42
        Non-Durable Goods,468808.33,466891.67,468975.0,471241.67,476808.33,483100.0,487500.0,484700.0,479258.33,477550.0,445491.67,454591.67,471933.33,466333.33,466652.08
    Service Providing,12447716.67,12591875.0,12881033.33,13220591.67,13588408.33,13985016.67,14368458.33,14679350.0,14961958.33,15191533.33,14041116.67,14565933.33,15399858.33,15561591.67,14580485.42
"      Trade, Transportation, and Utilities",2607875.0,2657150.0,2707075.0,2760791.67,2826741.67,2899200.0,2957233.33,3005975.0,3035175.0,3042883.33,2890941.67,3022625.0,3128608.33,3109675.0,2940861.11
        Wholesale Trade,630650.0,643416.67,657566.67,672383.33,684258.33,691125.0,693658.33,697041.67,699675.0,693333.33,645025.0,647358.33,665841.67,667750.0,661681.25
