TITLE,2010_Average,2011_Average,2012_Average,2013_Average,2014_Average,2015_Average,2016_Average,2017_Average,2018_Average,2019_Average,2020_Average,2021_Average,2022_Average,2023_Average,2024_Average
Civilian Labor Force,79108.33,79625.0,79350.0,78158.33,78258.33,76750.0,75183.33,72058.33,71125.0,73533.33,71533.33,68866.67,69925.0,73291.67,75716.67
  Civilian Employment,55841.67,56308.33,57366.67,58408.33,59275.0,57875.0,57016.67,57883.33,57775.0,58291.67,55358.33,56841.67,59516.67,60633.33,59508.33
  Civilian Unemployment,23241.67,23300.0,21991.67,19766.67,19008.33,18891.67,18175.0,14166.67,13350.0,15241.67,16183.33,12025.0,10425.0,12658.33,16192.36
Civilian Unemployment Rate,0.29,0.29,0.28,0.25,0.24,0.25,0.24,0.2,0.19,0.21,0.23,0.17,0.15,0.17,0.21
Total Wage and Salary,58000.0,59091.67,60575.0,62225.0,64025.0,64750.0,63533.33,64858.33,64958.33,65475.0,61658.33,63833.33,66308.33,67400.0,65534.72
  Total Farm,9091.67,10366.67,10750.0,11050.0,12300.0,13250.0,12058.33,12308.33,11725.0,11250.0,10358.33,10700.0,9933.33,9383.33,10238.2
Total Nonfarm,48908.33,48725.0,49825.0,51175.0,51725.0,51500.0,51475.0,52550.0,53233.33,54225.0,51300.0,53133.33,56375.0,58016.67,55296.53
    Total Private,30466.67,30583.33,31908.33,33466.67,33833.33,33600.0,33233.33,34066.67,34358.33,35083.33,32983.33,34741.67,36883.33,38108.33,36079.86
    Goods Producing,3916.67,3975.0,4241.67,4508.33,4016.67,3666.67,3000.0,3258.33,3350.0,3666.67,3850.0,4091.67,4341.67,4366.67,4271.53
"      Mining, Logging and Construction",1241.67,1350.0,1541.67,2025.0,2341.67,2550.0,1816.67,1783.33,1783.33,1916.67,1866.67,1950.0,2058.33,2008.33,1916.67
      Manufacturing,2675.0,2625.0,2700.0,2483.33,1675.0,1116.67,1183.33,1475.0,1566.67,1750.0,1983.33,2141.67,2283.33,2358.33,2354.86
Durable Goods,600.0,566.67,600.0,600.0,600.0,600.0,600.0,700.0,666.67,625.0,691.67,733.33,800.0,800.0,688.89
Non-Durable Goods,2075.0,2058.33,2100.0,1883.33,1075.0,516.67,583.33,775.0,900.0,1125.0,1291.67,1408.33,1483.33,1558.33,1665.97
Service-Providing,44991.67,44750.0,45583.33,46666.67,47708.33,47833.33,48475.0,49291.67,49883.33,50558.33,47450.0,49041.67,52033.33,53650.0,51025.0
    Private Service Providing,26550.0,26608.33,27666.67,28958.33,29816.67,29933.33,30233.33,30808.33,31008.33,31416.67,29133.33,30650.0,32541.67,33741.67,31808.33
"      Trade, Transportation, and Utilities",10358.33,10450.0,10858.33,11208.33,11900.0,12066.67,11975.0,11950.0,11991.67,11908.33,11066.67,11991.67,12391.67,12458.33,11864.58
        Wholesale Trade,1616.67,1691.67,1716.67,1766.67,1766.67,1766.67,1800.0,1775.0,1766.67,1783.33,1725.0,1725.0,1791.67,1733.33,1704.86
        Retail Trade,6916.67,6991.67,7316.67,7466.67,8058.33,8233.33,8025.0,8016.67,8016.67,7933.33,7191.67,7916.67,8108.33,8191.67,7870.83
"        Transportation, Warehousing, and Utilities",1825.0,1766.67,1825.0,1975.0,2075.0,2066.67,2150.0,2158.33,2208.33,2191.67,2150.0,2350.0,2491.67,2533.33,2288.89
      Information,400.0,400.0,391.67,308.33,300.0,300.0,300.0,300.0,300.0,300.0,225.0,200.0,200.0,200.0,266.67
      Financial Activities,1316.67,1300.0,1400.0,1500.0,1500.0,1458.33,1350.0,1300.0,1300.0,1225.0,1141.67,1125.0,1141.67,1200.0,1284.72
      Professional and Business Services,2750.0,2825.0,2991.67,2950.0,2925.0,2791.67,2883.33,3133.33,3100.0,2950.0,2741.67,2858.33,3091.67,3216.67,3170.14
      Private Education and Health Services,7700.0,7458.33,7600.0,8316.67,8358.33,8333.33,8508.33,8833.33,9158.33,9733.33,9716.67,9533.33,10241.67,11150.0,10102.78
      Leisure and Hospitality,3325.0,3358.33,3625.0,3875.0,4033.33,4158.33,4366.67,4383.33,4258.33,4375.0,3408.33,4000.0,4366.67,4391.67,4126.39
      Other Services,700.0,816.67,800.0,800.0,800.0,825.0,850.0,908.33,900.0,925.0,833.33,941.67,1108.33,1125.0,993.06
Government,18441.67,18141.67,17916.67,17708.33,17891.67,17900.0,18241.67,18483.33,18875.0,19141.67,18316.67,18391.67,19491.67,19908.33,19216.67
        Federal Government,2508.33,2500.0,2500.0,2408.33,2341.67,2191.67,2108.33,2100.0,2100.0,2108.33,2283.33,2375.0,2500.0,2508.33,2479.86
Total State and Local Government,15933.33,15641.67,15416.67,15300.0,15550.0,15708.33,16133.33,16383.33,16775.0,17033.33,16033.33,16016.67,16991.67,17400.0,16736.81
          State Government,2950.0,2875.0,2758.33,2650.0,2600.0,2641.67,2700.0,2691.67,2725.0,2800.0,2766.67,2716.67,2700.0,2700.0,2736.11
Local Government,12983.33,12766.67,12658.33,12650.0,12950.0,13066.67,13433.33,13691.67,14050.0,14233.33,13266.67,13291.67,14291.67,14700.0,14000.69
            Special Districts plus Tribes,3166.67,3100.0,3025.0,2908.33,2875.0,2916.67,2950.0,3000.0,3083.33,3100.0,2858.33,3050.0,3108.33,3333.33,3256.25
