TITLE,2010_Average,2011_Average,2012_Average,2013_Average,2014_Average,2015_Average,2016_Average,2017_Average,2018_Average,2019_Average,2020_Average,2021_Average,2022_Average,2023_Average,2024_Average
Civilian Labor Force,243816.67,242158.33,241650.0,240266.67,240216.67,240991.67,242750.0,241966.67,243066.67,242516.67,242008.33,239658.33,240816.67,244925.0,245500.69
  Civilian Employment,201666.67,201566.67,205108.33,208808.33,213083.33,217966.67,221766.67,223750.0,227308.33,227700.0,215475.0,219666.67,227533.33,229166.67,220136.11
  Civilian Unemployment,42158.33,40616.67,36550.0,31491.67,27141.67,23008.33,20983.33,18250.0,15733.33,14816.67,26541.67,19991.67,13275.0,15766.67,25371.53
Civilian Unemployment Rate,0.17,0.17,0.15,0.13,0.11,0.1,0.09,0.08,0.06,0.06,0.11,0.08,0.06,0.06,0.1
"Total, All Industries",163800.0,163091.67,166333.33,171125.0,175775.0,180983.33,186166.67,189050.0,193583.33,196291.67,187700.0,192583.33,199941.67,202191.67,189993.75
  Total Farm,12850.0,12933.33,13375.0,14058.33,14116.67,14600.0,14850.0,14333.33,14441.67,14875.0,14458.33,13958.33,13900.0,12691.67,13136.11
  Total Nonfarm,150950.0,150158.33,152958.33,157066.67,161658.33,166383.33,171316.67,174716.67,179141.67,181416.67,173241.67,178625.0,186041.67,189500.0,176857.64
    Total Private,124708.33,124500.0,127583.33,131583.33,135558.33,139716.67,143691.67,146400.0,149616.67,151075.0,144400.0,150191.67,156233.33,158333.33,147511.11
    Goods Producing,26566.67,26475.0,27025.0,27833.33,28725.0,29775.0,30708.33,30766.67,31750.0,31975.0,31141.67,32700.0,34341.67,35066.67,32393.75
"      Mining, Logging, and Construction",5900.0,5791.67,6291.67,6975.0,7516.67,8450.0,8950.0,9333.33,10175.0,10466.67,9808.33,10700.0,11333.33,10775.0,9256.25
      Manufacturing,20666.67,20683.33,20733.33,20858.33,21208.33,21325.0,21758.33,21433.33,21575.0,21508.33,21333.33,22000.0,23008.33,24291.67,23137.5
            Durable Goods,5850.0,5783.33,6050.0,6158.33,6283.33,6258.33,6158.33,5958.33,5783.33,5641.67,5541.67,5808.33,6025.0,5750.0,5743.75
        Non-Durable Goods,14816.67,14900.0,14683.33,14700.0,14925.0,15066.67,15600.0,15475.0,15791.67,15866.67,15791.67,16191.67,16983.33,18541.67,17393.75
          Food Manufacturing,9958.33,9883.33,9316.67,9058.33,9183.33,9208.33,9391.67,9433.33,9683.33,9633.33,9558.33,9858.33,10441.67,11600.0,11208.33
    Service-Providing,124383.33,123683.33,125933.33,129233.33,132933.33,136608.33,140608.33,143950.0,147391.67,149441.67,142100.0,145925.0,151700.0,154433.33,144463.89
    Private Service Providing,98141.67,98025.0,100558.33,103750.0,106833.33,109941.67,112983.33,115633.33,117866.67,119100.0,113258.33,117491.67,121891.67,123266.67,115117.36
"      Trade, Transportation, and Utilities",31600.0,32183.33,33475.0,34466.67,34783.33,35758.33,36783.33,36966.67,37441.67,37741.67,36800.0,37725.0,38883.33,38983.33,36559.03
        Wholesale Trade,5875.0,5816.67,5833.33,5891.67,5825.0,5825.0,6000.0,6133.33,6316.67,6225.0,5916.67,5633.33,5641.67,5400.0,5536.81
        Retail Trade,19500.0,19958.33,20816.67,21508.33,21758.33,22400.0,22741.67,23225.0,23191.67,22775.0,21900.0,22958.33,23133.33,22766.67,21903.47
          Food and Beverage Retailers,4091.67,4083.33,4125.0,4133.33,4175.0,4241.67,4333.33,4366.67,4383.33,4383.33,4583.33,4616.67,4691.67,4708.33,4467.36
          General Merchandise Retailers,4433.33,4475.0,4566.67,4833.33,4825.0,4983.33,5083.33,5025.0,5108.33,5016.67,4666.67,4966.67,5058.33,4983.33,4869.44
