TITLE,2010_Average,2011_Average,2012_Average,2013_Average,2014_Average,2015_Average,2016_Average,2017_Average,2018_Average,2019_Average,2020_Average,2021_Average,2022_Average,2023_Average,2024_Average
Civilian Labor Force,525741.67,528500.0,534516.67,536033.33,538466.67,544625.0,553225.0,557875.0,560325.0,559975.0,546300.0,542800.0,547625.0,550616.67,542571.53
  Civilian Employment,466716.67,473141.67,485933.33,495291.67,504833.33,517066.67,528408.33,536308.33,542308.33,542525.0,497175.0,508183.33,528016.67,527841.67,507651.39
  Civilian Unemployment,59008.33,55366.67,48591.67,40733.33,33633.33,27575.0,24808.33,21558.33,18025.0,17466.67,49141.67,34625.0,19600.0,22766.67,34919.44
Civilian Unemployment Rate,0.11,0.1,0.09,0.08,0.06,0.05,0.04,0.04,0.03,0.03,0.09,0.06,0.04,0.04,0.06
"Total, All Industries",318125.0,319166.67,327558.33,337833.33,344208.33,350766.67,364175.0,370325.0,372966.67,375216.67,345775.0,355891.67,374158.33,376283.33,329378.33
  Total Farm,708.33,825.0,791.67,825.0,783.33,716.67,825.0,775.0,708.33,750.0,733.33,708.33,1050.0,1108.33,786.67
  Total Nonfarm,317416.67,318341.67,326766.67,337008.33,343425.0,350050.0,363350.0,369550.0,372258.33,374466.67,345041.67,355183.33,373108.33,375175.0,328591.67
    Goods Producing,36725.0,35358.33,37208.33,37108.33,37075.0,37791.67,40208.33,41083.33,41783.33,42066.67,39325.0,39750.0,41208.33,42158.33,36695.0
"     Mining, Logging and Construction",18258.33,17758.33,19641.67,21700.0,21800.0,22791.67,25350.0,25500.0,26100.0,26075.0,24300.0,25825.0,27216.67,28041.67,19831.67
      Manufacturing,18466.67,17600.0,17566.67,15408.33,15275.0,15000.0,14858.33,15583.33,15683.33,15991.67,15025.0,13925.0,13991.67,14116.67,16863.33
        Durable Goods,6900.0,6691.67,7008.33,6466.67,6575.0,6666.67,6550.0,6508.33,6391.67,6458.33,6350.0,6316.67,6500.0,6433.33,6728.33
        Nondurable Goods,11566.67,10908.33,10558.33,8941.67,8700.0,8333.33,8308.33,9075.0,9291.67,9533.33,8675.0,7608.33,7491.67,7683.33,10135.0
    Service Providing,280691.67,282983.33,289558.33,299900.0,306350.0,312258.33,323141.67,328466.67,330475.0,332400.0,305716.67,315433.33,331900.0,333016.67,291896.67
"      Trade, Transportation & Utilities",55941.67,56508.33,57425.0,58716.67,60358.33,62466.67,64858.33,65233.33,64158.33,61941.67,58941.67,61858.33,64975.0,64275.0,57790.0
