TITLE,2010_Average,2011_Average,2012_Average,2013_Average,2014_Average,2015_Average,2016_Average,2017_Average,2018_Average,2019_Average,2020_Average,2021_Average,2022_Average,2023_Average,2024_Average
Civilian Labor Force,440575.0,443258.33,439483.33,436633.33,437625.0,440316.67,444733.33,444466.67,446175.0,450566.67,445641.67,443525.0,450100.0,461050.0,453539.58
  Civilian Employment,365283.33,368783.33,371975.0,378050.0,386350.0,395175.0,402366.67,406283.33,412391.67,417616.67,393750.0,402975.0,420883.33,426616.67,403445.14
  Civilian Unemployment,75283.33,74491.67,67525.0,58566.67,51241.67,45133.33,42366.67,38183.33,33766.67,32933.33,51875.0,40550.0,29216.67,34416.67,50084.03
Civilian Unemployment Rate,0.17,0.17,0.15,0.13,0.12,0.1,0.1,0.09,0.08,0.07,0.12,0.09,0.06,0.07,0.11
"Total, All Industries",336516.67,339175.0,342516.67,351491.67,361475.0,371808.33,383275.0,390208.33,398341.67,407425.0,387333.33,399316.67,418658.33,426850.0,394664.58
  Total Farm,46008.33,47850.0,48891.67,49241.67,48775.0,47266.67,46908.33,46116.67,44225.0,44133.33,40275.0,40500.0,40641.67,40733.33,41905.56
  Total Nonfarm,290508.33,291325.0,293625.0,302250.0,312700.0,324541.67,336366.67,344091.67,354116.67,363291.67,347058.33,358816.67,378016.67,386116.67,352759.03
    Total Private,223441.67,225591.67,229533.33,238083.33,246441.67,255866.67,265408.33,271483.33,279583.33,288108.33,274575.0,287908.33,304433.33,309983.33,279582.64
    Goods Producing,36341.67,35541.67,36066.67,36491.67,38108.33,40675.0,41541.67,43275.0,44866.67,45433.33,44766.67,46575.0,49458.33,49641.67,44245.83
"      Mining, Logging, and Construction",12208.33,11733.33,12408.33,13416.67,14150.0,15325.0,16358.33,17716.67,19008.33,19283.33,18966.67,20466.67,22491.67,22925.0,18876.39
      Mining and Logging,200.0,200.0,250.0,275.0,300.0,300.0,316.67,300.0,300.0,241.67,200.0,250.0,216.67,241.67,277.08
      Construction,12008.33,11533.33,12158.33,13141.67,13850.0,15025.0,16041.67,17416.67,18708.33,19041.67,18766.67,20216.67,22275.0,22683.33,18599.3
        Specialty Trade Contractors,7725.0,7550.0,7925.0,8575.0,8833.33,9791.67,10558.33,11875.0,12658.33,12875.0,12700.0,13575.0,15000.0,15308.33,12367.36
      Manufacturing,24133.33,23808.33,23658.33,23075.0,23958.33,25350.0,25183.33,25558.33,25858.33,26150.0,25800.0,26108.33,26966.67,26716.67,25369.44
        Durable Goods,8041.67,7808.33,7708.33,7750.0,7991.67,8266.67,8166.67,8591.67,9050.0,9175.0,8866.67,9141.67,9383.33,8883.33,8308.33
        Non-Durable Goods,16091.67,16000.0,15950.0,15325.0,15966.67,17083.33,17016.67,16966.67,16808.33,16975.0,16933.33,16966.67,17583.33,17833.33,17061.11
          Food Manufacturing,12283.33,11950.0,12033.33,11608.33,12125.0,12941.67,12991.67,12708.33,12300.0,12308.33,12241.67,12316.67,12975.0,13250.0,12875.0
    Service-Providing,254166.67,255783.33,257558.33,265758.33,274591.67,283866.67,294825.0,300816.67,309250.0,317858.33,302291.67,312241.67,328558.33,336475.0,308513.19
