TITLE,2010_Average,2011_Average,2012_Average,2013_Average,2014_Average,2015_Average,2016_Average,2017_Average,2018_Average,2019_Average,2020_Average,2021_Average,2022_Average,2023_Average,2024_Average
Civilian Labor Force,66075.0,64941.67,64133.33,62833.33,62225.0,62291.67,62416.67,62500.0,62533.33,62133.33,59750.0,58783.33,59100.0,59950.0,61867.36
  Civilian Employment,58941.67,58008.33,57883.33,57658.33,58033.33,58775.0,59333.33,59841.67,60266.67,59866.67,54666.67,55083.33,56700.0,57166.67,57552.08
  Civilian Unemployment,7133.33,6941.67,6250.0,5141.67,4191.67,3500.0,3091.67,2633.33,2266.67,2266.67,5108.33,3716.67,2391.67,2750.0,4304.86
Civilian Unemployment Rate,0.11,0.11,0.1,0.08,0.07,0.06,0.05,0.04,0.04,0.04,0.09,0.06,0.04,0.05,0.07
"Total, All Industries",47708.33,46833.33,46775.0,47008.33,47658.33,48650.0,49733.33,50666.67,51400.0,51850.0,47816.67,48358.33,50166.67,51000.0,49740.28
  Total Farm,800.0,858.33,866.67,808.33,816.67,866.67,883.33,850.0,883.33,1008.33,1216.67,1350.0,1050.0,875.0,854.17
  Total Nonfarm,46908.33,45975.0,45908.33,46200.0,46841.67,47783.33,48850.0,49816.67,50516.67,50841.67,46600.0,47008.33,49116.67,50125.0,48886.11
    Total Private,33266.67,32475.0,32408.33,32758.33,33108.33,33858.33,34675.0,35500.0,36175.0,36366.67,33141.67,33933.33,35066.67,35325.0,34384.72
    Goods Producing,4225.0,4208.33,4058.33,4016.67,4016.67,4100.0,4133.33,4375.0,4591.67,4741.67,4658.33,5091.67,5183.33,5258.33,4760.42
"     Mining, Logging, and Construction",2100.0,2133.33,2058.33,1958.33,1941.67,2066.67,2066.67,2333.33,2491.67,2566.67,2541.67,2641.67,2791.67,2883.33,2549.31
      Mining and Logging,375.0,383.33,358.33,358.33,341.67,316.67,316.67,383.33,408.33,391.67,350.0,350.0,350.0,366.67,376.39
      Construction,1725.0,1750.0,1700.0,1600.0,1600.0,1750.0,1750.0,1950.0,2083.33,2175.0,2191.67,2291.67,2441.67,2516.67,2172.92
      Manufacturing,2125.0,2075.0,2000.0,2058.33,2075.0,2033.33,2066.67,2041.67,2108.33,2200.0,2100.0,2441.67,2400.0,2366.67,2236.11
        Durable Goods,1258.33,1158.33,1100.0,1108.33,1083.33,1008.33,1000.0,1033.33,1058.33,1100.0,1058.33,1191.67,1225.0,1308.33,1242.36
        Non-Durable Goods,866.67,916.67,900.0,950.0,991.67,1025.0,1091.67,1016.67,1058.33,1108.33,1016.67,1225.0,1133.33,1058.33,968.75
     Service-Providing,42683.33,41766.67,41850.0,42183.33,42825.0,43683.33,44716.67,45458.33,45941.67,46083.33,41916.67,41925.0,43933.33,44875.0,44117.36
    Private Service Providing,29041.67,28266.67,28350.0,28741.67,29091.67,29758.33,30558.33,31125.0,31583.33,31608.33,28475.0,28833.33,29883.33,30041.67,29607.64
"      Trade, Transportation, and Utilities",9116.67,8916.67,9166.67,9200.0,9258.33,9375.0,9541.67,9591.67,9400.0,9283.33,8608.33,8666.67,8741.67,8458.33,8746.53
        Wholesale Trade,975.0,1025.0,1033.33,1000.0,983.33,916.67,975.0,991.67,1050.0,1100.0,1075.0,1108.33,1158.33,1091.67,1059.72
        Retail Trade,6941.67,6733.33,6841.67,6916.67,7008.33,7225.0,7383.33,7450.0,7225.0,7158.33,6516.67,6516.67,6533.33,6291.67,6545.14
"        Transportation, Warehousing, and Utilities",1200.0,1158.33,1291.67,1283.33,1266.67,1233.33,1175.0,1158.33,1116.67,1000.0,1025.0,1058.33,1075.0,1083.33,1141.67
      Information,600.0,591.67,516.67,500.0,500.0,500.0,425.0,408.33,400.0,400.0,325.0,300.0,333.33,300.0,400.7
      Financial Activities,1658.33,1616.67,1600.0,1600.0,1591.67,1625.0,1650.0,1700.0,1775.0,1816.67,1700.0,1666.67,1750.0,1700.0,1647.22
      Professional and Business Services,2900.0,2716.67,2650.0,2633.33,2575.0,2700.0,2750.0,2925.0,3325.0,3566.67,3316.67,3166.67,2916.67,2875.0,2772.92
      Private Education and Health Services,7700.0,7566.67,7441.67,7766.67,8000.0,8108.33,8483.33,8775.0,8908.33,8916.67,8375.0,8250.0,8608.33,9108.33,8581.25
      Leisure and Hospitality,5183.33,4991.67,5133.33,5125.0,5275.0,5566.67,5833.33,5808.33,5766.67,5633.33,4325.0,4825.0,5425.0,5383.33,5292.36
      Other Services,1883.33,1866.67,1841.67,1916.67,1891.67,1883.33,1816.67,1900.0,2000.0,2025.0,1866.67,1900.0,2075.0,2233.33,2141.67
      Government,13641.67,13500.0,13500.0,13441.67,13733.33,13925.0,14166.67,14325.0,14366.67,14475.0,13466.67,13083.33,14050.0,14808.33,14501.39
        Federal Government,900.0,741.67,725.0,708.33,725.0,750.0,783.33,825.0,741.67,758.33,800.0,766.67,791.67,816.67,800.0
