TITLE,2010_Average,2011_Average,2012_Average,2013_Average,2014_Average,2015_Average,2016_Average,2017_Average,2018_Average,2019_Average,2020_Average,2021_Average,2022_Average,2023_Average,2024_Average
Civilian Labor Force,4940675.0,4941675.0,4904883.33,4955808.33,4982416.67,4973750.0,5018916.67,5109816.67,5119833.33,5148575.0,4974683.33,5007558.33,5013358.33,5015633.33,4993104.86
  Civilian Employment,4318733.33,4337366.67,4365691.67,4471408.33,4572183.33,4641041.67,4751208.33,4864125.0,4882325.0,4917700.0,4363325.0,4558850.0,4764533.33,4763583.33,4611306.94
  Civilian Unemployment,621950.0,604308.33,539200.0,484391.67,410241.67,332708.33,267716.67,245691.67,237508.33,230908.33,611341.67,448700.0,248833.33,252041.67,381790.97
Civilian Unemployment Rate,0.13,0.12,0.11,0.1,0.08,0.07,0.05,0.05,0.05,0.04,0.12,0.09,0.05,0.05,0.08
"Total, All Industries",3932808.33,3954558.33,4044500.0,4123025.0,4199333.33,4292600.0,4402091.67,4455783.33,4521616.67,4566941.67,4172516.67,4309666.67,4537858.33,4548175.0,4352552.08
  Total Farm,6250.0,5666.67,5425.0,5500.0,5216.67,4991.67,5341.67,5750.0,4658.33,4383.33,4425.0,4583.33,4816.67,4650.0,5113.2
  Total Nonfarm,3926558.33,3948891.67,4039075.0,4117525.0,4194116.67,4287608.33,4396750.0,4450033.33,4516958.33,4562558.33,4168091.67,4305083.33,4533041.67,4543525.0,4347438.89
    Total Private,3347000.0,3383425.0,3482258.33,3566291.67,3637950.0,3719116.67,3820091.67,3863925.0,3926325.0,3975675.0,3597866.67,3744841.67,3963016.67,3961183.33,3767918.75
    Goods Producing,487191.67,481708.33,486500.0,494916.67,494241.67,498566.67,498791.67,491591.67,491300.0,493025.0,463733.33,463783.33,474725.0,471916.67,476354.86
"     Mining, Logging and Construction",106658.33,106950.0,110808.33,117958.33,121666.67,129041.67,136500.0,140833.33,148300.0,151816.67,148300.0,150650.0,153025.0,152700.0,135586.81
      Mining and Logging,2966.67,2933.33,3166.67,3375.0,3175.0,2908.33,2441.67,2075.0,1975.0,1950.0,1741.67,1625.0,1683.33,1658.33,2259.72
      Construction,103691.67,104016.67,107641.67,114583.33,118491.67,126133.33,134058.33,138758.33,146325.0,149866.67,146558.33,149025.0,151341.67,151041.67,133327.08
        Construction of Buildings,25083.33,25808.33,26958.33,28008.33,28758.33,30925.0,32833.33,34300.0,36550.0,38308.33,37800.0,37533.33,38016.67,37950.0,33643.05
