TITLE,2010_Average,2011_Average,2012_Average,2013_Average,2014_Average,2015_Average,2016_Average,2017_Average,2018_Average,2019_Average,2020_Average,2021_Average,2022_Average,2023_Average,2024_Average
Civilian Labor Force,202558.33,201908.33,202241.67,202333.33,202391.67,204866.67,207283.33,207941.67,209066.67,208116.67,201816.67,200241.67,200866.67,203058.33,203577.78
  Civilian Employment,176533.33,176925.0,180258.33,183750.0,186983.33,192225.0,195816.67,197950.0,200800.0,200200.0,182150.0,185375.0,192258.33,193608.33,188395.83
  Civilian Unemployment,26025.0,24991.67,21975.0,18583.33,15408.33,12633.33,11433.33,9991.67,8250.0,7925.0,19683.33,14850.0,8608.33,9441.67,15190.28
Civilian Unemployment Rate,0.13,0.12,0.11,0.09,0.08,0.06,0.06,0.05,0.04,0.04,0.1,0.07,0.04,0.05,0.07
Total Wage and Salary,119883.33,119400.0,121508.33,125033.33,128066.67,132466.67,136275.0,138566.67,141966.67,143425.0,132833.33,135416.67,141066.67,142983.33,135982.64
  Total Farm,1391.67,1408.33,1491.67,1666.67,1791.67,1775.0,1766.67,1716.67,1666.67,1466.67,1508.33,1583.33,1641.67,1433.33,1570.83
Total Nonfarm,118491.67,117991.67,120016.67,123366.67,126275.0,130691.67,134508.33,136850.0,140300.0,141958.33,131325.0,133833.33,139425.0,141550.0,134411.81
    Total Private,93608.33,93708.33,95916.67,99400.0,101850.0,105916.67,109358.33,111816.67,115425.0,117200.0,107900.0,110891.67,116033.33,117675.0,109881.94
    Goods Producing,16058.33,16591.67,17141.67,17783.33,18250.0,19458.33,20891.67,21483.33,22700.0,23883.33,22416.67,22791.67,23658.33,23041.67,20493.75
"      Mining, Logging and Construction",7550.0,8175.0,8475.0,9000.0,8808.33,9416.67,10766.67,10908.33,11800.0,12775.0,11516.67,11883.33,12433.33,11941.67,10484.03
      Mining and Logging,341.67,391.67,400.0,400.0,458.33,450.0,475.0,475.0,566.67,500.0,408.33,308.33,325.0,300.0,340.97
      Construction,7208.33,7783.33,8075.0,8600.0,8350.0,8966.67,10291.67,10433.33,11233.33,12275.0,11108.33,11575.0,12108.33,11641.67,10143.06
      Manufacturing,8508.33,8416.67,8666.67,8783.33,9441.67,10041.67,10125.0,10575.0,10900.0,11108.33,10900.0,10908.33,11225.0,11100.0,10009.72
          Non-Durable Goods,5108.33,5041.67,5016.67,5000.0,5616.67,6008.33,6133.33,6366.67,6125.0,6116.67,6191.67,6441.67,6641.67,6608.33,5956.94
Service-Providing,102433.33,101400.0,102875.0,105583.33,108025.0,111233.33,113616.67,115366.67,117600.0,118075.0,108908.33,111041.67,115766.67,118508.33,113918.06
    Private Service Providing,77550.0,77116.67,78775.0,81616.67,83600.0,86458.33,88466.67,90333.33,92725.0,93316.67,85483.33,88100.0,92375.0,94633.33,89388.2
"      Trade, Transportation, and Utilities",24666.67,24208.33,24750.0,24925.0,25841.67,26991.67,27200.0,27400.0,27833.33,27008.33,25750.0,26675.0,27166.67,27275.0,26232.64
        Wholesale Trade,4125.0,4033.33,4200.0,4183.33,4341.67,4366.67,4141.67,4291.67,4425.0,4383.33,4108.33,3991.67,4108.33,4175.0,4181.94
        Retail Trade,16391.67,16500.0,16941.67,17208.33,17491.67,18350.0,18591.67,18650.0,18650.0,17816.67,16700.0,17450.0,17575.0,17525.0,17127.78
          Food and Beverage Retailers,2958.33,2900.0,2975.0,3216.67,3350.0,3400.0,3375.0,3300.0,3291.67,3308.33,3458.33,3608.33,3616.67,3625.0,3383.33
          General Merchandise Retailers,3766.67,3816.67,3800.0,3566.67,3300.0,3716.67,3800.0,3750.0,3816.67,3750.0,3650.0,3908.33,3991.67,3975.0,3787.5
"          Clothing, Clothing Accessories, Shoe, and Jewelry",2433.33,2300.0,2400.0,2416.67,2391.67,2408.33,2325.0,2241.67,2108.33,1950.0,1366.67,1541.67,1550.0,1600.0,1936.81
"        Transportation, Warehousing, and Utilities",4150.0,3675.0,3608.33,3533.33,4008.33,4275.0,4466.67,4458.33,4758.33,4808.33,4941.67,5233.33,5483.33,5575.0,4922.92
      Information,1283.33,1125.0,1125.0,1125.0,1100.0,1108.33,1058.33,1091.67,1133.33,1150.0,833.33,841.67,900.0,891.67,1004.86
      Financial Activities,5216.67,5108.33,5041.67,5066.67,4833.33,4925.0,5108.33,5108.33,5200.0,5133.33,4950.0,4841.67,4750.0,4716.67,4905.56
        Finance and Insurance,3808.33,3800.0,3725.0,3666.67,3483.33,3525.0,3566.67,3558.33,3575.0,3425.0,3350.0,3166.67,3000.0,2858.33,3173.61
      Professional and Business Services,9000.0,8958.33,9041.67,9500.0,9558.33,9483.33,9241.67,9533.33,10116.67,10183.33,9650.0,10383.33,10883.33,10975.0,10471.53
        Administrative and Support and Waste and Remediatio,4625.0,4658.33,4775.0,4983.33,4725.0,4850.0,4791.67,4825.0,5358.33,5591.67,5225.0,5450.0,5750.0,6058.33,5722.22
          Administrative and Support Services,4075.0,3975.0,4066.67,4291.67,4025.0,4133.33,3975.0,4025.0,4491.67,4725.0,4441.67,4675.0,4875.0,5050.0,4836.11
      Private Education and Health Services,20775.0,20925.0,21575.0,23283.33,23983.33,25083.33,26583.33,27666.67,28366.67,29000.0,27933.33,27600.0,28516.67,29791.67,27295.14
