TITLE,2010_Average,2011_Average,2012_Average,2013_Average,2014_Average,2015_Average,2016_Average,2017_Average,2018_Average,2019_Average,2020_Average,2021_Average,2022_Average,2023_Average,2024_Average
Civilian Labor Force,542.5,591.67,544.17,523.33,509.17,550.0,553.33,547.5,546.67,541.67,513.33,512.5,494.17,539.17,562.57
  Civilian Employment,469.17,515.83,482.5,473.33,466.67,508.33,519.17,515.0,524.17,513.33,455.0,470.83,468.33,507.5,515.62
  Civilian Unemployment,70.83,75.83,60.83,50.83,41.67,40.83,38.33,35.83,23.33,29.17,59.17,44.17,30.83,35.0,46.67
Civilian Unemployment Rate,0.14,0.13,0.11,0.1,0.08,0.07,0.07,0.06,0.05,0.05,0.12,0.08,0.06,0.07,0.08
Total Wage and Salary,685.0,803.33,715.83,684.17,687.5,779.17,813.33,801.67,819.17,799.17,690.0,723.33,703.33,800.0,827.15
  Total Farm,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
  Total Nonfarm,685.0,803.33,715.83,684.17,687.5,779.17,813.33,801.67,819.17,799.17,690.0,723.33,703.33,800.0,827.15
    Total Private,405.0,482.5,406.67,366.67,360.83,443.33,493.33,488.33,513.33,495.83,408.33,458.33,443.33,519.17,525.97
    Goods Producing,15.83,10.0,16.67,12.5,22.5,33.33,21.67,15.0,15.83,13.33,13.33,16.67,13.33,10.83,12.29
Service-Providing,669.17,793.33,699.17,671.67,665.0,745.83,792.5,787.5,804.17,786.67,675.83,709.17,690.0,790.0,813.2
Private Service Providing,389.17,472.5,390.0,354.17,338.33,410.0,475.0,475.0,500.0,481.67,395.0,443.33,428.33,509.17,512.85
      Government,280.0,320.83,309.17,317.5,326.67,335.83,320.0,315.0,305.0,305.0,282.5,265.0,259.17,281.67,300.35
        Federal Government,10.0,10.83,10.83,12.5,13.33,10.83,10.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,4.79
        Total State and Local Government,270.0,310.0,298.33,305.0,313.33,325.0,310.0,312.5,303.33,304.17,280.0,263.33,257.5,280.83,295.56
          State Government,50.0,49.17,55.83,60.83,65.83,63.33,60.0,60.83,52.5,50.0,50.0,45.83,41.67,49.17,59.31
          Local Government,220.0,260.83,242.5,244.17,247.5,261.67,250.0,250.83,250.0,252.5,232.5,218.33,215.0,231.67,237.08
