TITLE,2010_Average,2011_Average,2012_Average,2013_Average,2014_Average,2015_Average,2016_Average,2017_Average,2018_Average,2019_Average,2020_Average,2021_Average,2022_Average,2023_Average,2024_Average
Civilian Labor Force,102716.67,100550.0,100825.0,101408.33,101058.33,101058.33,101650.0,102000.0,101816.67,97950.0,93233.33,92025.0,91525.0,91908.33,96121.53
  Civilian Employment,88091.67,86566.67,88358.33,90825.0,92208.33,93766.67,94925.0,96050.0,96666.67,92933.33,84491.67,85658.33,87375.0,87083.33,87779.17
  Civilian Unemployment,14625.0,13991.67,12466.67,10583.33,8841.67,7300.0,6750.0,5941.67,5158.33,5016.67,8733.33,6341.67,4150.0,4825.0,8342.36
Civilian Unemployment Rate,0.14,0.14,0.12,0.1,0.09,0.07,0.07,0.06,0.05,0.05,0.09,0.07,0.05,0.05,0.08
"Total, All Industries",74033.33,72500.0,74166.67,77275.0,78933.33,80891.67,82916.67,84600.0,85583.33,83475.0,76750.0,78300.0,80200.0,80366.67,78700.69
  Total Farm,2766.67,2716.67,2800.0,2900.0,2908.33,3025.0,3125.0,3100.0,3083.33,2875.0,2941.67,2925.0,2825.0,2700.0,2757.64
  Total Nonfarm,71266.67,69783.33,71366.67,74375.0,76025.0,77866.67,79791.67,81500.0,82500.0,80600.0,73808.33,75375.0,77375.0,77666.67,75943.06
    Total Private,54300.0,54075.0,55575.0,58391.67,59908.33,61608.33,63458.33,64966.67,66058.33,64033.33,58550.0,60566.67,61708.33,61825.0,60162.5
    Goods Producing,6058.33,6000.0,6325.0,6866.67,7133.33,7550.0,7825.0,8066.67,8591.67,8516.67,8200.0,8333.33,8541.67,8466.67,7748.61
"      Mining, Logging, and Construction",2383.33,2333.33,2391.67,2875.0,3150.0,3375.0,3558.33,3775.0,4316.67,4400.0,4233.33,4191.67,4208.33,4266.67,3686.11
      Manufacturing,3675.0,3666.67,3933.33,3991.67,3983.33,4175.0,4266.67,4291.67,4275.0,4116.67,3966.67,4141.67,4333.33,4200.0,4062.5
     Service-Providing,65208.33,63783.33,65041.67,67508.33,68891.67,70316.67,71966.67,73433.33,73908.33,72083.33,65608.33,67041.67,68833.33,69200.0,68194.44
    Private Service Providing,48241.67,48075.0,49250.0,51525.0,52775.0,54058.33,55633.33,56900.0,57466.67,55516.67,50350.0,52233.33,53166.67,53358.33,52413.89
"        Trade, Transportation, and Utilities",12675.0,12541.67,12833.33,12975.0,13291.67,13750.0,14141.67,14675.0,14741.67,14500.0,13641.67,14466.67,14325.0,13625.0,13184.72
        Wholesale Trade,1716.67,1758.33,1816.67,1741.67,1800.0,1816.67,1900.0,1950.0,2050.0,2166.67,2133.33,2450.0,2300.0,2216.67,2044.44
        Retail Trade,9358.33,9208.33,9458.33,9733.33,10025.0,10391.67,10650.0,11141.67,11116.67,10725.0,9816.67,10141.67,9908.33,9325.0,9273.61
"        Transportation, Warehousing, and Utilities",1600.0,1575.0,1558.33,1500.0,1466.67,1541.67,1591.67,1583.33,1575.0,1608.33,1691.67,1875.0,2116.67,2083.33,1866.67
      Information,1000.0,1075.0,1075.0,1000.0,1016.67,1058.33,1000.0,900.0,900.0,800.0,625.0,616.67,675.0,675.0,838.89
      Financial Activities,3125.0,2966.67,2966.67,3075.0,3275.0,3516.67,3550.0,3441.67,3275.0,3150.0,2991.67,2875.0,2691.67,2566.67,2742.36
        Finance and Insurance,1700.0,1600.0,1675.0,1783.33,1950.0,2166.67,2166.67,2075.0,1908.33,1850.0,1733.33,1675.0,1441.67,1300.0,1475.69
      Professional and Business Services,4925.0,5125.0,5541.67,5816.67,5575.0,5541.67,5758.33,5766.67,5600.0,5783.33,5350.0,5483.33,5083.33,5166.67,5456.94
      Private Education and Health Services,15841.67,15525.0,15725.0,17108.33,17750.0,18083.33,18791.67,19400.0,19941.67,18408.33,17491.67,17633.33,18400.0,19600.0,18620.83
      Leisure and Hospitality,7116.67,7166.67,7433.33,7808.33,8041.67,8350.0,8641.67,8891.67,9216.67,9025.0,7183.33,8033.33,8400.0,8150.0,7897.22
      Other Services,3558.33,3675.0,3675.0,3741.67,3825.0,3758.33,3750.0,3825.0,3791.67,3850.0,3066.67,3125.0,3591.67,3575.0,3672.92
      Government,16966.67,15708.33,15791.67,15983.33,16116.67,16258.33,16333.33,16533.33,16441.67,16566.67,15258.33,14808.33,15666.67,15841.67,15780.56
        Federal Government,658.33,566.67,550.0,541.67,500.0,500.0,541.67,550.0,541.67,566.67,716.67,600.0,600.0,600.0,584.72
          Total State and Local Government,16308.33,15141.67,15241.67,15441.67,15616.67,15758.33,15791.67,15983.33,15900.0,16000.0,14541.67,14208.33,15066.67,15241.67,15195.83
          State Government,3725.0,3666.67,3775.0,3808.33,4083.33,4158.33,4225.0,4316.67,4358.33,4391.67,4158.33,3841.67,4091.67,4091.67,3996.53
            State Government Educational Services,2783.33,2775.0,2908.33,2941.67,3175.0,3200.0,3275.0,3366.67,3341.67,3325.0,3050.0,2750.0,3025.0,2975.0,2940.28
          Local Government,12583.33,11475.0,11466.67,11633.33,11533.33,11600.0,11566.67,11666.67,11541.67,11608.33,10383.33,10366.67,10975.0,11150.0,11199.3
Local Government Excluding Education,4766.67,4908.33,4933.33,4991.67,4975.0,5066.67,5133.33,5166.67,5100.0,5058.33,4558.33,4733.33,4958.33,5041.67,5014.58
            Special Districts plus Tribes,1716.67,1800.0,1775.0,1825.0,1875.0,1900.0,1908.33,1975.0,1941.67,1933.33,1458.33,1675.0,1808.33,1816.67,1807.64
