TITLE,2010_Average,2011_Average,2012_Average,2013_Average,2014_Average,2015_Average,2016_Average,2017_Average,2018_Average,2019_Average,2020_Average,2021_Average,2022_Average,2023_Average,2024_Average
Civilian Labor Force,18370533.33,18406758.33,18484900.0,18565400.0,18676691.67,18824133.33,19012016.67,19185366.67,19289508.33,19385266.67,18958616.67,18956566.67,19169350.0,19308291.67,18986315.28
  Civilian Employment,16078458.33,16220616.67,16541041.67,16887858.33,17264525.0,17647416.67,17965408.33,18258066.67,18469900.0,18589541.67,17037033.33,17568750.0,18348925.0,18388333.33,17594283.33
  Civilian Unemployment,2292100.0,2186166.67,1943841.67,1677541.67,1412175.0,1176741.67,1046616.67,927300.0,819600.0,795700.0,1921575.0,1387825.0,820416.67,919950.0,1392043.75
Civilian Unemployment Rate,0.12,0.12,0.11,0.09,0.08,0.06,0.06,0.05,0.04,0.04,0.1,0.07,0.04,0.05,0.07
"Total, All Industries",14666591.67,14824675.0,15161625.0,15563866.67,15992533.33,16474258.33,16905658.33,17249533.33,17593641.67,17852983.33,16593800.0,17162300.0,18089016.67,18231708.33,17064540.97
  Total Farm,383233.33,389808.33,399866.67,412791.67,416816.67,422758.33,425841.67,422966.67,422208.33,423075.0,406841.67,409833.33,418166.67,406666.67,404684.72
  Total Nonfarm,14283358.33,14434866.67,14761758.33,15151075.0,15575716.67,16051500.0,16479816.67,16826566.67,17171433.33,17429908.33,16186958.33,16752466.67,17670850.0,17825041.67,16659856.25
    Total Private,11834941.67,12029966.67,12385500.0,12776775.0,13161741.67,13588541.67,13964100.0,14272350.0,14589850.0,14832508.33,13693700.0,14282941.67,15137316.67,15221383.33,14105543.75
    Goods Producing,1834141.67,1844508.33,1880950.0,1930691.67,1986183.33,2063983.33,2110300.0,2147450.0,2209891.67,2238241.67,2144825.0,2186133.33,2270783.33,2267225.0,2102856.25
"     Mining, Logging and Construction",584808.33,588333.33,618841.67,666308.33,704066.67,758941.67,798450.0,832891.67,883700.0,908766.67,876841.67,903000.0,932466.67,933033.33,811921.53
      Mining and Logging,24683.33,26791.67,28425.0,28433.33,29416.67,26566.67,22483.33,22125.0,22666.67,22783.33,20125.0,19141.67,19600.0,19558.33,23037.5
        Logging,1775.0,1866.67,1825.0,1950.0,2008.33,1950.0,1841.67,1958.33,2066.67,1983.33,1966.67,2050.0,2000.0,1950.0,2077.08
"        Mining, Quarrying, and Oil and Gas Extraction",22908.33,24925.0,26600.0,26483.33,27408.33,24616.67,20641.67,20166.67,20600.0,20800.0,18158.33,17091.67,17600.0,17608.33,20960.42
          Oil and Gas Extraction,5566.67,6016.67,6491.67,6308.33,6425.0,6558.33,5966.67,5266.67,4783.33,4591.67,4300.0,3825.0,3850.0,3875.0,4784.03
          Mining (except Oil and Gas),5158.33,5258.33,5291.67,5375.0,5541.67,5416.67,5158.33,5458.33,5875.0,5983.33,5958.33,5966.67,5875.0,5825.0,5668.75
          Support Activities for Mining,12183.33,13650.0,14816.67,14800.0,15441.67,12641.67,9516.67,9441.67,9941.67,10225.0,7900.0,7300.0,7875.0,7908.33,10507.64
      Construction,560116.67,561575.0,590408.33,637900.0,674658.33,732350.0,775991.67,810783.33,861050.0,886000.0,856708.33,883875.0,912866.67,913475.0,788888.19
        Construction of Buildings,131391.67,131750.0,137133.33,145975.0,155183.33,165266.67,174791.67,183683.33,196616.67,204250.0,198058.33,202150.0,210925.0,212558.33,183819.44
          Residential Building Construction,77533.33,77033.33,79675.0,87000.0,93683.33,98200.0,102250.0,106116.67,114391.67,119950.0,117675.0,121658.33,125950.0,126358.33,108843.75
