Category,Subcategories
"Mining and Logging,100.0,100.0,100.0,100.0,100.0,125.0,100.0,100.0,100.0,116.67,166.67,191.67,183.33,100.0,100.0",
"Construction,2983.33,2991.67,3108.33,3325.0,3475.0,3650.0,4083.33,4766.67,5983.33,6250.0,5858.33,6066.67,6308.33,6291.67,3176.67",
"Manufacturing,1600.0,1550.0,1508.33,1625.0,1708.33,2558.33,2616.67,2550.0,2533.33,2525.0,2458.33,2566.67,2750.0,2883.33,1598.33","Durable Goods,1200.0,1150.0,1075.0,1175.0,1241.67,1316.67,1300.0,1200.0,1208.33,1233.33,1241.67,1300.0,1458.33,1475.0,1168.33, Nondurable Goods,400.0,400.0,433.33,450.0,466.67,1241.67,1316.67,1350.0,1325.0,1291.67,1216.67,1266.67,1291.67,1408.33,430.0"
"""Trade Transportation & Utilities"",6725.0,6766.67,6816.67,7008.33,7000.0,7108.33,7450.0,7541.67,7833.33,7933.33,8008.33,8341.67,8433.33,8266.67,6863.33","Wholesale Trade,741.67,841.67,891.67,900.0,850.0,875.0,850.0,883.33,891.67,900.0,833.33,833.33,991.67,800.0,845.0, Retail Trade,5500.0,5433.33,5400.0,5416.67,5433.33,5541.67,5841.67,6000.0,6208.33,6241.67,6350.0,6600.0,6475.0,6266.67,5436.67, ""Transportation Warehousing and Utilities"",483.33,491.67,525.0,691.67,716.67,691.67,758.33,658.33,733.33,791.67,825.0,908.33,966.67,1200.0,581.67"
"Information,500.0,400.0,500.0,500.0,500.0,516.67,600.0,600.0,600.0,591.67,533.33,566.67,591.67,566.67,480.0",
"Financial Activities,3466.67,3508.33,3708.33,3900.0,3966.67,4158.33,4091.67,4291.67,4225.0,3525.0,3466.67,3508.33,3450.0,3408.33,3710.0","Finance & Insurance,2733.33,2775.0,2950.0,3075.0,3091.67,3233.33,3208.33,3316.67,3225.0,2525.0,2541.67,2550.0,2516.67,2350.0,2925.0, Real Estate & Rental & Leasing,733.33,733.33,758.33,825.0,875.0,925.0,883.33,975.0,1000.0,1000.0,925.0,958.33,933.33,1058.33,785.0"
"Professional and Business Services,5716.67,5608.33,5583.33,5425.0,5341.67,4975.0,5441.67,6125.0,6166.67,6441.67,5841.67,6383.33,6116.67,5891.67,5535.0","""Professional Scientific & Technical Services"",2975.0,2725.0,2800.0,2866.67,2808.33,1983.33,2033.33,2366.67,2550.0,2933.33,2291.67,2591.67,2700.0,2583.33,2835.0, Management of Companies & Enterprises,116.67,200.0,125.0,100.0,100.0,300.0,300.0,366.67,383.33,400.0,341.67,300.0,300.0,300.0,128.33, Administrative and Support and Waste and Remediatio,2625.0,2683.33,2658.33,2458.33,2433.33,2691.67,3108.33,3391.67,3233.33,3108.33,3208.33,3491.67,3116.67,3016.67,2571.66"
"Private Education and Health Services,6475.0,6725.0,7025.0,7558.33,7583.33,3883.33,375.0,7983.33,8491.67,8808.33,8441.67,8508.33,8733.33,9108.33,7073.33",
"Leisure and Hospitality,7208.33,7358.33,7516.67,8041.67,8391.67,8766.67,9033.33,9650.0,9475.0,9525.0,7483.33,8366.67,9525.0,9600.0,7703.33","""Arts Entertainment and Recreation"",1716.67,1916.67,1950.0,2058.33,2050.0,2016.67,1891.67,1941.67,1908.33,1966.67,1450.0,1550.0,1858.33,1883.33,1938.33, Accommodation & Food Services,5491.67,5441.67,5566.67,5983.33,6341.67,6750.0,7141.67,7708.33,7566.67,7558.33,6033.33,6816.67,7666.67,7716.67,5765.0"
"Other Services,1658.33,1600.0,1691.67,1750.0,1833.33,1858.33,1850.0,1941.67,1983.33,2000.0,1741.67,1708.33,1908.33,2050.0,1706.67",
"Government,10825.0,10458.33,10308.33,10291.67,10500.0,10825.0,10908.33,10808.33,10933.33,11033.33,10350.0,10241.67,10500.0,10966.67,10476.67","Federal Government,941.67,816.67,750.0,716.67,708.33,708.33,716.67,691.67,666.67,666.67,691.67,625.0,591.67,633.33,786.67"
