Category,Subcategories
"Civilian Unemployment,7133.33,6941.67,6250,5141.67,4191.67,3500,3091.67,2633.33,2266.67,2266.67,5108.33,3716.67,2391.67,2750,4304.86",
"Total Farm,800,858.33,866.67,808.33,816.67,866.67,883.33,850,883.33,1008.33,1216.67,1350,1050,875,854.17",
"Total Nonfarm,46908.33,45975,45908.33,46200,46841.67,47783.33,48850,49816.67,50516.67,50841.67,46600,47008.33,49116.67,50125,48886.11",
"Mining Logging and Construction,2100,2133.33,2058.33,1958.33,1941.67,2066.67,2066.67,2333.33,2491.67,2566.67,2541.67,2641.67,2791.67,2883.33,2549.31",
"Mining and Logging,375,383.33,358.33,358.33,341.67,316.67,316.67,383.33,408.33,391.67,350,350,350,366.67,376.39",
"Construction,1725,1750,1700,1600,1600,1750,1750,1950,2083.33,2175,2191.67,2291.67,2441.67,2516.67,2172.92",
"Manufacturing,2125,2075,2000,2058.33,2075,2033.33,2066.67,2041.67,2108.33,2200,2100,2441.67,2400,2366.67,2236.11","Durable Goods,1258.33,1158.33,1100,1108.33,1083.33,1008.33,1000,1033.33,1058.33,1100,1058.33,1191.67,1225,1308.33,1242.36, Non-Durable Goods,866.67,916.67,900,950,991.67,1025,1091.67,1016.67,1058.33,1108.33,1016.67,1225,1133.33,1058.33,968.75"
"Service-Providing,42683.33,41766.67,41850,42183.33,42825,43683.33,44716.67,45458.33,45941.67,46083.33,41916.67,41925,43933.33,44875,44117.36",
"Trade Transportation and Utilities,9116.67,8916.67,9166.67,9200,9258.33,9375,9541.67,9591.67,9400,9283.33,8608.33,8666.67,8741.67,8458.33,8746.53","Wholesale Trade,975,1025,1033.33,1000,983.33,916.67,975,991.67,1050,1100,1075,1108.33,1158.33,1091.67,1059.72, Retail Trade,6941.67,6733.33,6841.67,6916.67,7008.33,7225,7383.33,7450,7225,7158.33,6516.67,6516.67,6533.33,6291.67,6545.14, Transportation Warehousing and Utilities,1200,1158.33,1291.67,1283.33,1266.67,1233.33,1175,1158.33,1116.67,1000,1025,1058.33,1075,1083.33,1141.67"
"Information,600,591.67,516.67,500,500,500,425,408.33,400,400,325,300,333.33,300,400.7",
"Financial Activities,1658.33,1616.67,1600,1600,1591.67,1625,1650,1700,1775,1816.67,1700,1666.67,1750,1700,1647.22",
"Professional and Business Services,2900,2716.67,2650,2633.33,2575,2700,2750,2925,3325,3566.67,3316.67,3166.67,2916.67,2875,2772.92",
"Private Education and Health Services,7700,7566.67,7441.67,7766.67,8000,8108.33,8483.33,8775,8908.33,8916.67,8375,8250,8608.33,9108.33,8581.25",
"Leisure and Hospitality,5183.33,4991.67,5133.33,5125,5275,5566.67,5833.33,5808.33,5766.67,5633.33,4325,4825,5425,5383.33,5292.36",
"Other Services,1883.33,1866.67,1841.67,1916.67,1891.67,1883.33,1816.67,1900,2000,2025,1866.67,1900,2075,2233.33,2141.67",
"Government,13641.67,13500,13500,13441.67,13733.33,13925,14166.67,14325,14366.67,14475,13466.67,13083.33,14050,14808.33,14501.39","Federal Government,900,741.67,725,708.33,725,750,783.33,825,741.67,758.33,800,766.67,791.67,816.67,800, Total State and Local Government,12741.67,12758.33,12775,12733.33,13008.33,13175,13375,13525,13616.67,13716.67,12625,12316.67,13266.67,14008.33,13701.39"
