Main Category,Subcategories
"""Mining Logging and Construction"",208.33,202.5,192.5,211.67,345.83,337.5,252.5,230.0,249.17,236.67,236.67,220.0,220.83,273.33,270.07",
"Mining and Logging,45.83,48.33,50.0,45.0,41.67,38.33,30.0,22.5,10.0,10.0,8.33,12.5,20.0,39.17,45.07",
"Construction,162.5,154.17,142.5,166.67,304.17,299.17,222.5,207.5,239.17,226.67,228.33,207.5,200.83,234.17,225.0",
"Manufacturing,263.33,257.5,252.5,247.5,252.5,271.67,284.17,292.5,308.33,321.67,305.83,305.83,328.33,329.17,303.61","Durable Goods,33.33,30.0,30.0,30.83,30.0,31.67,35.83,32.5,33.33,30.83,39.17,35.0,40.83,49.17,46.18, Non-Durable Goods,230.83,225.83,223.33,217.5,225.0,240.0,249.17,259.17,275.83,290.83,269.17,269.17,287.5,283.33,259.37"
"""Trade Transportation, and Utilities"",1279.17,1235.83,1190.83,1215.83,1243.33,1225.0,1227.5,1225.83,1247.5,1236.67,1124.17,1130.0,1139.17,1178.33,1198.75","Wholesale Trade,115.83,120.0,115.0,115.83,118.33,107.5,102.5,96.67,90.0,93.33,87.5,83.33,84.17,91.67,103.75, Retail Trade,965.83,921.67,878.33,908.33,940.83,941.67,946.67,952.5,970.0,950.83,840.0,847.5,848.33,870.0,893.75, ""Transportation Warehousing and Utilities"",200.83,193.33,195.83,191.67,187.5,176.67,180.0,176.67,189.17,193.33,196.67,201.67,205.0,214.17,202.43"
"Information,80.83,75.0,60.83,60.83,58.33,55.83,50.0,47.5,40.0,48.33,37.5,30.83,35.83,44.17,57.15",
"Financial Activities,152.5,150.83,150.83,140.83,140.83,151.67,155.0,160.83,158.33,161.67,150.0,138.33,134.17,130.0,135.48",
"Professional and Business Services,271.67,265.83,269.17,235.0,218.33,248.33,241.67,220.83,226.67,210.83,214.17,289.17,287.5,315.0,313.33",
"Private Education and Health Services,490.83,475.0,521.67,629.17,603.33,595.83,560.83,427.5,438.33,466.67,485.0,485.0,463.33,527.5,563.33",
"Leisure and Hospitality,1472.5,1452.5,1408.33,1389.17,1334.17,1389.17,1471.67,1531.67,1603.33,1684.17,1299.17,1360.0,1477.5,1430.83,1453.06",
"Other Services,196.67,185.0,194.17,183.33,181.67,188.33,200.83,202.5,210.83,203.33,155.0,151.67,159.17,158.33,171.74",
"Government,3190.83,3226.67,3235.0,3195.83,3115.0,3079.17,3030.83,3045.83,3094.17,3188.33,3080.0,3106.67,3094.17,3195.0,3231.11","Federal Government,434.17,401.67,390.83,366.67,343.33,298.33,287.5,285.83,295.0,302.5,295.83,281.67,279.17,300.0,333.06, Total State and Local Government,2756.67,2825.0,2845.0,2830.0,2771.67,2782.5,2745.83,2761.67,2798.33,2890.0,2782.5,2828.33,2816.67,2895.83,2897.36"
