Category,Subcategories
"Civilian Unemployment,59675,57591.67,52266.67,46641.67,41275,40091.67,40416.67,35583.33,31166.67,30441.67,49525,38200,27441.67,32758.33,43229.17",
"Total Farm,44575,48216.67,53758.33,59150,59816.67,58808.33,62125,61375,61491.67,62133.33,58366.67,60575,60350,56058.33,53576.39",
"Total Nonfarm,229808.33,236533.33,245525,250008.33,255816.67,257091.67,255491.67,258800,266408.33,273025,260925,270866.67,286233.33,290558.33,271332.64",
"Mining Logging and Construction,22541.67,25575,29541.67,29758.33,31075,27891.67,23525,23558.33,25233.33,25875,23375,22941.67,24475,24075,25207.64",
"Mining and Logging,9825,11608.33,12841.67,12508.33,12900,11408.33,8983.33,8616.67,9308.33,9558.33,7950,7441.67,7800,7800,9423.61",
"Construction,12716.67,13966.67,16700,17250,18175,16483.33,14541.67,14941.67,15925,16316.67,15425,15500,16675,16275,15784.03",
"Manufacturing,13000,13100,13475,14058.33,14575,14150,13541.67,13391.67,13166.67,12925,12325,12200,12500,12433.33,12934.03","Durable Goods,5033.33,5058.33,5133.33,5358.33,5641.67,5283.33,4791.67,4766.67,4800,4891.67,4733.33,4775,4891.67,5000,5093.75, Non-Durable Goods,7966.67,8041.67,8341.67,8700,8933.33,8866.67,8750,8625,8366.67,8033.33,7591.67,7425,7608.33,7433.33,7840.28"
"Service-Providing,194266.67,197858.33,202508.33,206191.67,210166.67,215050,218425,221850,228008.33,234225,225225,235725,249258.33,254050,233190.97",
"Trade Transportation and Utilities,42308.33,43791.67,45391.67,47516.67,49433.33,50716.67,51141.67,51633.33,53291.67,52858.33,52791.67,59700,63191.67,61608.33,54111.81","Wholesale Trade,7458.33,7591.67,7758.33,8475,8675,8341.67,8108.33,8225,8250,8033.33,7525,7716.67,8166.67,8400,8171.53, Retail Trade,26008.33,27075,27925,28941.67,30300,31466.67,32075,31958.33,31808.33,31133.33,30100,32266.67,32916.67,32433.33,30154.17, Transportation Warehousing and Utilities,8841.67,9125,9708.33,10100,10458.33,10908.33,10958.33,11450,13233.33,13691.67,15166.67,19716.67,22108.33,20775,15786.11"
"Information,2691.67,2616.67,2675,2541.67,2383.33,2683.33,2166.67,2033.33,2033.33,1908.33,1525,1541.67,1625,1708.33,2067.36",
"Financial Activities,7791.67,7883.33,8316.67,8383.33,8233.33,8091.67,7916.67,7825,7766.67,7725,7533.33,7641.67,7583.33,7525,7792.36","Finance and Insurance,4741.67,4866.67,5083.33,5100,5016.67,4925,4800,4800,4650,4500,4408.33,4425,4191.67,4100,4450.7, Real Estate and Rental and Leasing,3050,3016.67,3233.33,3283.33,3216.67,3166.67,3116.67,3025,3116.67,3225,3125,3216.67,3391.67,3425,3341.67"
"Professional and Business Services,24166.67,25783.33,27041.67,26758.33,26383.33,25891.67,25500,25108.33,26133.33,27366.67,26441.67,26008.33,27041.67,26991.67,26936.11","Professional Scientific and Technical Services,10200,10733.33,11316.67,11125,10833.33,10166.67,9450,9283.33,9450,9783.33,10375,10350,11533.33,11483.33,11450.69, Management of Companies and Enterprises,3100,3425,3475,3441.67,3466.67,3216.67,3191.67,2975,2791.67,2658.33,2500,2650,2658.33,2725,3000.7, Administrative and Support and Waste and Remediatio,10866.67,11625,12250,12191.67,12083.33,12508.33,12858.33,12850,13891.67,14925,13566.67,13008.33,12850,12783.33,12484.72"
"Private Education and Health Services,29558.33,30133.33,31450,32266.67,32575,33433.33,34783.33,36433.33,38091.67,40925,40800,41633.33,44333.33,47525,41490.28","Private Educational Services,1558.33,1575,1633.33,1508.33,1450,1400,1450,1491.67,1666.67,1825,1550,1800,1933.33,2083.33,1918.75, Health Care and Social Assistance,28000,28558.33,29816.67,30758.33,31125,32033.33,33333.33,34941.67,36425,39100,39250,39833.33,42400,45441.67,39571.53"
"Leisure and Hospitality,20491.67,20716.67,21633.33,22800,23691.67,25041.67,25458.33,25858.33,26708.33,27558.33,23216.67,26508.33,29425,29933.33,26277.78","Arts Entertainment and Recreation,2308.33,2316.67,2366.67,2391.67,2300,2391.67,2616.67,2500,2475,2625,1575,1908.33,2483.33,2591.67,2531.94, Accommodation and Food Services,18183.33,18400,19266.67,20408.33,21391.67,22650,22841.67,23358.33,24233.33,24933.33,21641.67,24600,26941.67,27341.67,23745.83"
"Other Services,6625,6783.33,7216.67,7483.33,7775,7683.33,7658.33,7725,7916.67,8275,7391.67,7891.67,8808.33,8975,8290.28",
"Government,60633.33,60150,58783.33,58441.67,59691.67,61508.33,63800,65233.33,66066.67,67608.33,65525,64800,67250,69783.33,66225","Federal Government,10875,10658.33,10383.33,10008.33,9633.33,9883.33,10208.33,10441.67,10566.67,10908.33,11325,11250,10950,11033.33,10796.53, Total State and Local Government,49758.33,49491.67,48400,48433.33,50058.33,51625,53591.67,54791.67,55500,56700,54200,53550,56300,58750,55428.47, State Government Educational Services,1250,1241.67,1316.67,1316.67,1391.67,1450,1575,1741.67,1841.67,1758.33,1758.33,1591.67,1683.33,1758.33,1576.39, Local Government Educational Services,25766.67,26108.33,25808.33,25841.67,26708.33,27616.67,29016.67,30008.33,30366.67,31116.67,28933.33,28975,31583.33,33216.67,30736.11, Local Government excluding Educational Services,14158.33,13658.33,13200,13750,14108.33,14433.33,14683.33,14700,14891.67,15366.67,15075,14733.33,14933.33,15783.33,15256.25, County Government,9333.33,8900,8633.33,8983.33,9041.67,9308.33,9483.33,9641.67,9841.67,10158.33,10158.33,10000,10058.33,10608.33,10032.64, City Government,2633.33,2541.67,2391.67,2416.67,2691.67,2758.33,2766.67,2758.33,2800,2841.67,2775,2650,2716.67,2916.67,2864.58, Special Districts plus Tribes,2208.33,2200,2175,2350,2375,2366.67,2433.33,2300,2250,2366.67,2141.67,2083.33,2158.33,2258.33,2359.03"
