Category,Subcategories
"""Mining Logging and Construction"",382.5,343.33,362.5,376.67,446.67,495,626.67,715.83,798.33,863.33,830,883.33,885,852.5,677.64,",
"Manufacturing,283.33,280.83,275.83,274.17,305.83,326.67,336.67,330.83,357.5,372.5,348.33,341.67,349.17,344.17,325.83,,","Durable Goods,82.5,85.83,79.17,78.33,77.5,72.5,87.5,79.17,82.5,80,75.83,77.5,78.33,69.17,74.44,,, Non-Durable Goods,200.83,195,196.67,195.83,228.33,254.17,249.17,250,275.83,295,271.67,264.17,270,275.83,251.39,,"
"""Trade Transportation and Utilities"",2630.83,2671.67,2687.5,2776.67,2852.5,2865,2860,2883.33,2878.33,2940,2928.33,3200,3070,2917.5,2805.76","Wholesale Trade,145,173.33,167.5,166.67,150,146.67,123.33,100,91.67,94.17,104.17,111.67,114.17,81.67,112.71,,, Retail Trade,1955.83,1936.67,1932.5,2029.17,2140,2190,2225,2236.67,2247.5,2277.5,2284.17,2312.5,2297.5,2215,2099.51,,, ""Transportation Warehousing and Utilities"",530,561.67,587.5,580.83,562.5,528.33,512.5,545.83,540,569.17,542.5,775,660.83,622.5,596.04"
"Information,128.33,140,153.33,145.83,138.33,127.5,122.5,115,101.67,96.67,90,85,88.33,85,103.82,,",
"Financial Activities,354.17,361.67,365,387.5,391.67,378.33,380.83,386.67,372.5,355,326.67,342.5,332.5,324.17,341.67,,",
"Professional and Business Services,590,579.17,592.5,593.33,595,526.67,567.5,622.5,625.83,638.33,668.33,714.17,731.67,760,677.5,,",
"Private Education and Health Services,3582.5,3579.17,3756.67,4027.5,4255,4353.33,4400.83,4594.17,4626.67,4693.33,4447.5,4336.67,4699.17,4883.33,4520.9,,",
"Leisure and Hospitality,1128.33,1110,1109.17,1025,1045.83,1074.17,1121.67,1161.67,1173.33,1190.83,1025,1152.5,1226.67,1152.5,1129.86,,",
"Other Services,366.67,496.67,528.33,520,545.83,528.33,518.33,549.17,546.67,535.83,523.33,535.83,545.83,584.17,548.96,,",
"Government,4110.83,3916.67,3946.67,4015,4064.17,4180.83,4320.83,4380,4329.17,4321.67,3922.5,3951.67,4164.17,4349.17,4212.78,,","Federal Government,189.17,144.17,149.17,149.17,143.33,145,152.5,155.83,145.83,161.67,182.5,170.83,156.67,155.83,150.42,,, Total State and Local Government,3921.67,3772.5,3797.5,3865.83,3920.83,4035.83,4169.17,4226.67,4184.17,4159.17,3739.17,3780.83,4007.5,4192.5,4059.86,,"
