Category,Subcategories
"""Mining Logging and Construction"",169.17,170.83,162.5,189.17,200.0,200.83,224.17,222.5,245.83,240.0,262.5,247.5,250.83,232.5,210.97",
"Mining and Logging,72.5,75.0,73.33,93.33,79.17,67.5,70.83,82.5,78.33,75.0,79.17,77.5,75.0,63.33,68.61",
"Construction,96.67,95.83,89.17,95.83,120.83,133.33,153.33,140.0,167.5,165.0,183.33,170.0,175.83,169.17,142.36",
"Manufacturing,13.33,25.83,20.0,17.5,13.33,19.17,10.0,10.0,7.5,10.0,20.0,45.0,53.33,42.5,36.67",
"""Trade Transportation and Utilities"",1018.33,950.83,955.0,939.17,971.67,1025.83,1048.33,1045.83,1051.67,1035.83,1026.67,1076.67,1045.83,999.17,971.25","Wholesale Trade,80.83,94.17,91.67,79.17,74.17,79.17,80.83,76.67,87.5,90.0,88.33,92.5,85.83,80.83,84.17, Retail Trade,833.33,765.83,789.17,792.5,827.5,874.17,882.5,873.33,881.67,866.67,853.33,903.33,880.0,835.0,806.53, ""Transportation Warehousing and Utilities"",104.17,90.83,74.17,67.5,70.0,72.5,85.0,95.83,82.5,78.33,82.5,84.17,83.33,83.33,80.56"
"Information,93.33,83.33,76.67,90.83,81.67,89.17,114.17,102.5,91.67,95.0,62.5,55.0,55.0,57.5,70.49",
"Financial Activities,152.5,138.33,148.33,148.33,152.5,146.67,148.33,149.17,142.5,134.17,127.5,128.33,123.33,113.33,125.83",
"Professional and Business Services,157.5,175.83,187.5,215.83,199.17,172.5,156.67,176.67,186.67,213.33,238.33,242.5,238.33,249.17,228.82",
"Private Education and Health Services,1021.67,1015.83,938.33,973.33,963.33,945.83,900.83,888.33,882.5,890.0,860.83,894.17,970.0,1082.5,1077.71",
"Leisure and Hospitality,616.67,609.17,584.17,609.17,660.83,672.5,616.67,580.0,563.33,580.0,470.0,471.67,478.33,479.17,540.0",
"Other Services,177.5,140.83,130.83,202.5,294.17,310.83,204.17,139.17,139.17,137.5,140.0,150.0,145.0,156.67,172.15",
"Government,6735.83,6471.67,6271.67,6074.17,5980.0,6141.67,6154.17,6141.67,6071.67,6084.17,6035.83,5849.17,5444.17,5124.17,5579.44","Federal Government,1861.67,1857.5,1910.83,1920.0,1824.17,1854.17,1900.0,1838.33,1764.17,1809.17,1925.0,1897.5,1685.83,1615.83,1729.51, Total State and Local Government,4874.17,4614.17,4360.83,4154.17,4155.83,4287.5,4256.67,4303.33,4308.33,4275.0,4110.0,3952.5,3758.33,3508.33,3850.76"
