Category,Subcategories
"Mining Logging and Construction,106658.33,106950,110808.33,117958.33,121666.67,129041.67,136500,140833.33,148300,151816.67,148300,150650,153025,152700,135586.81","Mining and Logging,2966.67,2933.33,3166.67,3375,3175,2908.33,2441.67,2075,1975,1950,1741.67,1625,1683.33,1658.33,2259.72, Construction,103691.67,104016.67,107641.67,114583.33,118491.67,126133.33,134058.33,138758.33,146325,149866.67,146558.33,149025,151341.67,151041.67,133327.08, Construction of Buildings,25083.33,25808.33,26958.33,28008.33,28758.33,30925,32833.33,34300,36550,38308.33,37800,37533.33,38016.67,37950,33643.05, Heavy and Civil Engineering Construction,10441.67,10516.67,11008.33,12075,12283.33,11741.67,12125,13241.67,15125,15525,15683.33,16691.67,17600,17233.33,14635.42, Specialty Trade Contractors,68166.67,67691.67,69675,74500,77450,83466.67,89100,91216.67,94650,96033.33,93075,94800,95725,95858.33,85048.61"
"Manufacturing,380533.33,374758.33,375691.67,376958.33,372575,369525,362291.67,350758.33,343000,341208.33,315433.33,313133.33,321700,319216.67,340768.06","Durable Goods,212233.33,209950,210575,210941.67,208966.67,208383.33,203675,201625,200166.67,201758.33,190291.67,186016.67,189508.33,190975,198122.22, Non-Durable Goods,168300,164808.33,165116.67,166016.67,163608.33,161141.67,158616.67,149133.33,142833.33,139450,125141.67,127116.67,132191.67,128241.67,142645.83"
"Trade Transportation and Utilities,743650,753750,770591.67,785550,803258.33,820950,834041.67,843791.67,849308.33,848625,784633.33,813958.33,834458.33,826441.67,800550","Wholesale Trade,201891.67,204025,209808.33,216591.67,220250,223175,222966.67,222675,224500,221916.67,201050,202600,204441.67,200441.67,203688.89, Retail Trade,386191.67,392991.67,401108.33,405625,413650,420066.67,422041.67,422783.33,420983.33,413591.67,375666.67,396116.67,406450,407233.33,402280.56"
"Other Motor Vehicle Dealers,2333.33,2183.33,2116.67,1966.67,1800,1725,1775,1875,1975,2066.67,1891.67,2100,2308.33,2241.67,2125",
"Food and Beverage Retailers,87850,88558.33,90241.67,91466.67,93150,94741.67,94150,94233.33,93583.33,93308.33,93775,93558.33,94925,98108.33,95705.56","Grocery and Convenience Retailers,73975,74475,75741.67,77125,79833.33,81958.33,82283.33,82141.67,81450,81000,82550,81483.33,82400,85758.33,82554.17"
"Furniture Home Furnishings Electronics and App,29650,30658.33,30433.33,30458.33,31308.33,32508.33,33783.33,33100,31775,29591.67,26325,26450,26291.67,24850,26500.69","Furniture and Home Furnishings Retailers,12966.67,13150,12941.67,13291.67,13908.33,14550,14983.33,14650,14150,13500,11491.67,12816.67,12733.33,12150,12288.2, Electronics and Appliance Retailers,16683.33,17508.33,17491.67,17166.67,17400,17958.33,18800,18450,17625,16091.67,14833.33,13633.33,13558.33,12700,14212.5"
"General Merchandise Retailers,64716.67,66808.33,68108.33,68025,69425,71741.67,72000,71758.33,73291.67,73858.33,68691.67,71550,72416.67,71908.33,69381.94","Department Stores,27200,28491.67,27808.33,26383.33,28441.67,30566.67,29558.33,28566.67,29425,29341.67,22791.67,24408.33,24941.67,24833.33,25760.42, Warehouse Clubs Supercenters and Other Gen,37516.67,38316.67,40300,41641.67,40983.33,41175,42441.67,43191.67,43866.67,44516.67,45900,47141.67,47475,47075,43621.53, Health and Personal Care Retailers,28716.67,29491.67,30700,31158.33,31600,32416.67,32966.67,33841.67,34408.33,34358.33,31783.33,33508.33,34466.67,34408.33,32438.89, Gasoline Stations and Fuel Dealers,11425,11391.67,11525,11450,11716.67,11466.67,12100,12400,12533.33,12550,12133.33,12116.67,12375,12858.33,12409.03, Clothing Accessories Shoe and Jewelry,58350,60816.67,62158.33,62558.33,63033.33,62283.33,61350,61558.33,60825,58550,42808.33,50775,53650,53816.67,56534.72, Sporting Goods Hobby Musical Instrument Book,44108.33,43166.67,43391.67,44233.33,45050,44566.67,43666.67,43133.33,42091.67,41566.67,34241.67,39591.67,42700,42008.33,42220.83, Sporting Goods Hobby Musical Instrument R,13408.33,12900,12908.33,13058.33,13433.33,13191.67,12558.33,12250,11466.67,10575,8975,10025,10441.67,10108.33,11309.03, Book Retailers and New Dealers,4458.33,3458.33,3075,2925,2791.67,2791.67,2808.33,2691.67,2591.67,2666.67,1591.67,1708.33,2050,2033.33,2534.03"
"Transportation Warehousing and Utilities,155566.67,156733.33,159675,163333.33,169358.33,177708.33,189033.33,198333.33,203825,213116.67,207916.67,215241.67,223566.67,218766.67,194580.56",
"Information,192308.33,192783.33,192266.67,197191.67,198875,207383.33,228950,214266.67,214950,215558.33,191100,208841.67,234858.33,193008.33,187902.08","Telecommunications,26383.33,25650,25050,25600,24591.67,23083.33,22725,20883.33,19725,18216.67,16250,15041.67,14325,13633.33,18106.25"
"Computing Infrastructure Providers Data Processi,4291.67,4516.67,5050,5358.33,5483.33,6300,6641.67,6525,6891.67,7683.33,8508.33,9741.67,11541.67,12158.33,8916.67",
"Financial Activities,211325,210325,212591.67,213275,211341.67,215775,220091.67,221966.67,223750,224258.33,213216.67,213150,215708.33,211016.67,210721.53","Finance and Insurance,139558.33,138625,140341.67,138491.67,134600,135741.67,138358.33,137775,136925,135891.67,132291.67,129016.67,126558.33,122983.33,129001.39"
"Professional and Business Services,519908.33,535716.67,562816.67,586500,592891.67,595266.67,604850,614433.33,633600,648375,601008.33,630841.67,666875,652466.67,606386.11","Professional Scientific and Technical Services,238333.33,247733.33,260683.33,269766.67,269725,269691.67,275650,282550,291525,301483.33,289500,300641.67,319483.33,315450,289236.8, Management of Companies and Enterprises,57966.67,60350,62000,63275,63616.67,63316.67,62675,64016.67,65700,66925,63133.33,62783.33,62325,62008.33,61509.03, Administrative and Support and Waste and Remediatio,223608.33,227633.33,240133.33,253458.33,259550,262258.33,266525,267866.67,276375,279966.67,248375,267416.67,285066.67,275008.33,255640.28"
"Private Education and Health Services,671783.33,678416.67,701391.67,704191.67,722658.33,743383.33,769975,797533.33,818016.67,840108.33,821691.67,844400,871058.33,914516.67,843061.81","Private Educational Services,111158.33,113775,113900,117391.67,118600,119600,121941.67,125691.67,131341.67,133225,123016.67,125341.67,131066.67,139458.33,133535.42, Health Care and Social Assistance,560625,564641.67,587491.67,586800,604058.33,623783.33,648033.33,671841.67,686675,706883.33,698675,719058.33,739991.67,775058.33,709526.39"
"Leisure and Hospitality,384050,393708.33,414400,438958.33,464133.33,486716.67,510025,524650,536550,547308.33,393708.33,434166.67,512375,534058.33,489887.5","Arts Entertainment and Recreation,66108.33,66700,68800,72091.67,76141.67,80225,87300,89750,94250,98141.67,64958.33,73883.33,92116.67,96491.67,83903.47, Museums Historical Sites and Similar Institutio,4266.67,4358.33,4516.67,4625,4866.67,5091.67,5316.67,5625,5683.33,5741.67,4550,4500,5241.67,5825,5261.11, Accommodation and Food Services,317941.67,327008.33,345600,366866.67,387991.67,406491.67,422725,434900,442300,449166.67,328750,360283.33,420258.33,437566.67,405984.03"
"Other Services,136783.33,137016.67,141700,145708.33,150550,151075,153366.67,155691.67,158850,158416.67,128775,135700,152958.33,157758.33,153054.86",
"Government,579558.33,565466.67,556816.67,551233.33,556166.67,568491.67,576658.33,586108.33,590633.33,586883.33,570225,560241.67,570025,582341.67,579520.14","Federal Government,51566.67,49033.33,48100,47175,46708.33,47366.67,47741.67,47991.67,47266.67,47341.67,50166.67,47675,47133.33,47866.67,48473.61, Total State and Local Government,527991.67,516433.33,508716.67,504058.33,509458.33,521125,528916.67,538116.67,543366.67,539541.67,520058.33,512566.67,522891.67,534475,531046.53, State Government,80733.33,82675,83091.67,83608.33,85266.67,87416.67,89866.67,92516.67,91725,86516.67,89016.67,90666.67,95433.33,98258.33,92564.58, Local Government,447258.33,433758.33,425625,420450,424191.67,433708.33,439050,445600,451641.67,453025,431041.67,421900,427458.33,436216.67,438481.94, Special Districts plus Tribes,21150,21000,20841.67,21225,21833.33,22191.67,21108.33,20441.67,20491.67,20825,20650,20416.67,20616.67,21291.67,21420.83"
