Category,Subcategories
"Mining Logging and Construction,1133.33,1058.33,1125,1241.67,1316.67,1541.67,1783.33,1816.67,1916.67,1941.67,1983.33,2175,2216.67,2250,1872.92",
"Manufacturing,3025,3266.67,3633.33,3641.67,3808.33,3558.33,3500,3491.67,3600,3650,3333.33,3275,3341.67,3325,3414.58",
"Trade Transportation and Utilities,4766.67,4608.33,4850,5150,5291.67,5416.67,5541.67,5541.67,5725,5766.67,5858.33,6125,6325,6616.67,6030.56","Retail Trade,3350,3291.67,3400,3533.33,3616.67,3708.33,3758.33,3800,3891.67,3941.67,4033.33,4241.67,4241.67,4191.67,3849.31, Transportation Warehousing and Utilities,691.67,550,666.67,766.67,783.33,750,800,816.67,858.33,866.67,941.67,991.67,1125,1233.33,1046.53"
"Information,400,400,366.67,400,400,383.33,316.67,300,308.33,300,283.33,300,300,300,338.89",
"Financial Activities,708.33,700,758.33,808.33,800,775,775,733.33,708.33,783.33,733.33,741.67,800,758.33,781.25",
"Professional and Business Services,2625,2616.67,2816.67,2766.67,2516.67,2216.67,2416.67,2483.33,2433.33,2700,2775,2900,3241.67,2991.67,2928.47",
"Private Education and Health Services,6991.67,7116.67,7258.33,7550,7625,7691.67,7791.67,8266.67,8633.33,8800,8825,9100,9283.33,8983.33,8486.81","Health Care and Social Assistance,6775,6766.67,6891.67,7375,7491.67,7608.33,7700,8191.67,8566.67,8716.67,8783.33,9025,9200,8891.67,8325"
"Leisure and Hospitality,2533.33,2541.67,2725,2875,3016.67,3066.67,3258.33,3433.33,3541.67,3733.33,3316.67,3716.67,4125,4191.67,3632.64",
"Other Services,841.67,825,808.33,900,1008.33,1041.67,966.67,900,941.67,1066.67,950,1075,1108.33,1183.33,1065.28",
"Government,10633.33,10383.33,10100,9716.67,9783.33,9158.33,10350,10733.33,10983.33,11175,10791.67,10941.67,11583.33,12183.33,11643.06","Federal Government,358.33,333.33,300,275,275,275,266.67,258.33,275,266.67,333.33,283.33,266.67,275,303.47, Total State and Local Government,10275,10050,9800,9441.67,9508.33,8883.33,10083.33,10475,10708.33,10908.33,10458.33,10658.33,11316.67,11908.33,11339.58"
