Category,Subcategories
"""Mining Logging and Construction"",1190,1175.83,1260,1265,1315,1341.67,1365.83,1544.17,1688.33,1687.5,1603.33,1630,1672.5,1724.17,1531.32,",
"Mining and Logging,250.83,249.17,302.5,311.67,328.33,304.17,301.67,327.5,311.67,294.17,276.67,280,281.67,270,266.04,,",
"Construction,939.17,926.67,957.5,953.33,986.67,1037.5,1064.17,1216.67,1376.67,1393.33,1326.67,1350,1390.83,1454.17,1265.28,,",
"Manufacturing,2189.17,2233.33,2327.5,2415.83,2485,2514.17,2548.33,2542.5,2470.83,2432.5,2306.67,2401.67,2567.5,2502.5,2381.74,,","Durable Goods,945,974.17,982.5,1065,1084.17,1143.33,1177.5,1159.17,1140,1085,999.17,1054.17,1238.33,1188.33,1096.74,,, Non-Durable Goods,1244.17,1259.17,1345,1350.83,1400.83,1370.83,1370,1385,1332.5,1348.33,1307.5,1347.5,1330,1314.17,1284.17,,"
"""Trade Transportation and Utilities"",5618.33,5582.5,5683.33,5803.33,5858.33,6065.83,6181.67,6309.17,6355,6265,6021.67,6262.5,6080.83,5936.67,5765.48","Wholesale Trade,665.83,693.33,719.17,810.83,830,728.33,743.33,843.33,808.33,738.33,700,752.5,744.17,725.83,737.43,,, Retail Trade,4380,4311.67,4355,4346.67,4382.5,4645,4729.17,4755.83,4820,4807.5,4485,4661.67,4541.67,4428.33,4315.49,,, ""Transportation Warehousing and Utilities"",572.5,577.5,609.17,645.83,645.83,692.5,709.17,710.83,726.67,718.33,842.5,849.17,797.5,784.17,713.4"
"Information,327.5,308.33,285.83,282.5,271.67,252.5,245.83,234.17,230.83,208.33,166.67,175.83,207.5,198.33,234.65,,",
"Financial Activities,1159.17,1059.17,1078.33,1044.17,1046.67,1040.83,1048.33,1057.5,1066.67,1054.17,976.67,979.17,977.5,955,1007.29,,",
"Professional and Business Services,1770,1796.67,1696.67,1697.5,1663.33,1703.33,1672.5,1673.33,1788.33,1861.67,1806.67,1818.33,1797.5,1920,1925.35,,",
"Private Education and Health Services,4910,4944.17,5315.83,5483.33,5565.83,5495.83,5577.5,5754.17,5784.17,5840.83,5575.83,5582.5,5799.17,6160,5926.6,,",
"Leisure and Hospitality,3664.17,3587.5,3687.5,4182.5,4232.5,4285.83,4410,4409.17,4494.17,4364.17,3231.67,3676.67,4064.17,4100.83,4019.51,,",
"Other Services,731.67,726.67,745.83,763.33,766.67,776.67,791.67,811.67,810,751.67,705.83,616.67,721.67,718.33,717.01,,",
"Government,7295.83,7050,6932.5,7005.83,7028.33,7139.17,7237.5,7239.17,7165,7175.83,6586.67,6370.83,6763.33,6976.67,7096.04,,","Federal Government,330,286.67,288.33,329.17,258.33,268.33,275.83,273.33,271.67,270.83,286.67,263.33,257.5,266.67,279.38,,, Total State and Local Government,6965.83,6763.33,6644.17,6676.67,6770,6870.83,6962.5,6962.5,6894.17,6905,6300.83,6109.17,6505,6710,6816.67,,"
