Category,Subcategories
"Civilian Unemployment,20925,20558.33,19066.67,16758.33,14825,13025,12133.33,10883.33,9700,9458.33,14475,11866.67,8958.33,10700,15086.11",
"Total Farm,11025,11750,12875,13841.67,14050,14391.67,14533.33,14641.67,14625,14283.33,14208.33,14516.67,14175,14150,13036.81",
"Total Nonfarm,58158.33,58333.33,58891.67,60208.33,61883.33,63291.67,64808.33,67083.33,68633.33,70750,67575,68875,71850,73791.67,69131.25",
"Mining Logging and Construction,1575,1550,1608.33,1608.33,1733.33,2016.67,2450,2741.67,3008.33,3083.33,3058.33,3216.67,3325,3366.67,2739.58",
"Manufacturing,8325,8241.67,8408.33,8708.33,9650,9716.67,9266.67,9550,9675,9991.67,9700,9458.33,9900,10166.67,9677.78","Non-Durable Goods,7316.67,7333.33,7400,7450,8325,8391.67,7933.33,8150,8233.33,8533.33,8191.67,7866.67,8091.67,8400,8252.08"
"Trade Transportation and Utilities,11125,11483.33,11733.33,11941.67,11875,12100,12366.67,13008.33,13525,13816.67,13433.33,13583.33,13750,13791.67,12913.19","Wholesale Trade,1283.33,1341.67,1475,1441.67,1241.67,1258.33,1350,1516.67,1666.67,1725,1733.33,1858.33,1975,1950,1673.61, Retail Trade,7183.33,7383.33,7416.67,7575,7808.33,8033.33,8116.67,8341.67,8366.67,8433.33,8233.33,8716.67,8825,8725,8172.22, Transportation Warehousing and Utilities,2658.33,2758.33,2841.67,2925,2825,2808.33,2900,3150,3491.67,3658.33,3466.67,3008.33,2950,3116.67,3067.36"
"Information,625,441.67,400,400,400,316.67,300,300,300,300,225,241.67,300,300,363.89",
"Financial Activities,1600,1541.67,1550,1500,1566.67,1575,1816.67,1816.67,1841.67,1900,1833.33,1891.67,1891.67,1800,1696.53",
"Professional and Business Services,4233.33,4425,4333.33,4316.67,3816.67,3700,3475,3750,3808.33,3933.33,3741.67,3808.33,3858.33,3650,3918.75",
"Private Education and Health Services,8091.67,8183.33,8300,8775,9050,9408.33,9758.33,10241.67,10283.33,10558.33,10316.67,10558.33,11050,11916.67,10916.67",
"Leisure and Hospitality,4516.67,4633.33,4741.67,5008.33,5366.67,5441.67,5533.33,5625,5783.33,6075,5333.33,6083.33,6900,7100,6272.22",
"Other Services,1366.67,1383.33,1391.67,1375,1333.33,1350,1391.67,1425,1475,1600,1541.67,1816.67,2175,2300,1970.83",
"Government,16700,16450,16425,16575,17091.67,17666.67,18450,18625,18933.33,19491.67,18391.67,18216.67,18700,19400,18661.81","Federal Government,833.33,783.33,741.67,716.67,758.33,766.67,800,791.67,741.67,716.67,825,700,700,700,727.78, Total State and Local Government,15866.67,15666.67,15683.33,15858.33,16333.33,16900,17650,17833.33,18191.67,18775,17566.67,17516.67,18000,18700,17934.03"
