Category,Subcategories
"Civilian Unemployment,927.5,902.5,880,719.17,587.5,508.33,451.67,380.83,340.83,320,950,567.5,326.67,347.5,547.22",
"Total Farm,27.5,30,39.17,43.33,44.17,40.83,43.33,45,30.83,34.17,49.17,48.33,50.83,49.17,46.18",
"Total Nonfarm,6949.17,6881.67,6436.67,6653.33,6720.83,6879.17,7174.17,7457.5,7469.17,7668.33,6402.5,7342.5,8020,8607.5,7985.14",
"Mining Logging and Construction,319.17,315,278.33,291.67,291.67,298.33,325.83,376.67,354.17,377.5,410.83,426.67,432.5,473.33,433.82",
"Manufacturing,45.83,59.17,60,58.33,54.17,55.83,56.67,65.83,106.67,125,103.33,115,130.83,145,109.79",
"Trade Transportation and Utilities,727.5,691.67,688.33,721.67,698.33,675,642.5,627.5,623.33,623.33,563.33,617.5,615,583.33,656.46","Wholesale Trade,10,10.83,12.5,15,10.83,19.17,15.83,12.5,13.33,9.17,6.67,8.33,4.17,3.33,4.93, Retail Trade,636.67,592.5,585.83,611.67,581.67,571.67,579.17,574.17,575.83,587.5,531.67,583.33,562.5,528.33,579.03, Transportation Warehousing and Utilities,84.17,89.17,89.17,95,105.83,90,46.67,40,35,30,29.17,30.83,47.5,51.67,69.45"
"Financial Activities,326.67,322.5,318.33,340,337.5,316.67,329.17,364.17,391.67,421.67,380.83,356.67,385.83,400.83,377.08",
"Professional and Business Services,333.33,390.83,355.83,391.67,404.17,335,309.17,338.33,306.67,299.17,276.67,348.33,356.67,365,392.15",
"Private Education and Health Services,61.67,66.67,68.33,102.5,95,95,93.33,105,106.67,111.67,110.83,115.83,128.33,131.67,107.85",
"Leisure and Hospitality,3179.17,3195.83,2879.17,2957.5,2975.83,3196.67,3443.33,3602.5,3620.83,3703.33,2602.5,3390.83,3988.33,4463.33,3880.62",
"Private Service Providing - Residual,305,252.5,226.67,210.83,244.17,249.17,276.67,280.83,249.17,281.67,258.33,263.33,252.5,257.5,248.26",
"Government,1658.33,1592.5,1565,1580,1618.33,1659.17,1701.67,1705,1715.83,1731.67,1703.33,1720.83,1736.67,1795,1785.35","Federal Government,234.17,217.5,220.83,231.67,225,223.33,216.67,215.83,210.83,213.33,217.5,206.67,195,195.83,207.43, Total State and Local Government,1426.67,1377.5,1343.33,1347.5,1396.67,1436.67,1486.67,1490,1507.5,1517.5,1485,1515,1542.5,1598.33,1577.64"
