Category,Subcategories
"Mining Logging and Construction,4325,4033.33,4316.67,4700,5075,5541.67,6050,6208.33,6658.33,6816.67,6466.67,6675,7125,7408.33,6279.17","Mining and Logging,200,200,200,200,200,300,233.33,208.33,241.67,300,225,200,233.33,200,200, Construction,4125,3833.33,4116.67,4500,4875,5241.67,5816.67,6000,6416.67,6516.67,6241.67,6475,6891.67,7208.33,6079.17"
"Manufacturing,5558.33,5541.67,5216.67,5208.33,5275,5416.67,5283.33,5441.67,5233.33,5150,4558.33,4866.67,5058.33,5091.67,5266.67","Non-Durable Goods,4241.67,4250,3875,3825,3833.33,3933.33,3758.33,3933.33,3658.33,3583.33,3100,3383.33,3600,3658.33,3827.08"
"Trade Transportation & Utilities,23516.67,23908.33,24783.33,25366.67,25708.33,25966.67,26066.67,26200,26691.67,26608.33,24591.67,24975,25400,25500,24773.61","Wholesale Trade,4941.67,4900,5183.33,5175,5350,5275,5275,5625,5908.33,5775,5350,5325,5541.67,5858.33,5587.5, Retail Trade,15225,15650,15850,16158.33,16200,16433.33,16533.33,16441.67,16775,16758.33,15491.67,16033.33,16225,16233.33,15873.61, Transportation Warehousing and Utilities,3350,3358.33,3750,4033.33,4158.33,4258.33,4258.33,4133.33,4008.33,4075,3750,3616.67,3633.33,3408.33,3312.5"
"Information,1683.33,1583.33,1525,1533.33,1400,1300,1125,1058.33,1008.33,1000,783.33,816.67,900,883.33,1152.08",
"Financial Activities,4316.67,4125,4191.67,4016.67,3966.67,4100,4200,4300,4475,4400,4108.33,4150,4250,4116.67,4109.72",
"Professional and Business Services,11491.67,11516.67,11350,11283.33,12133.33,12800,13358.33,13175,13975,14716.67,14366.67,15383.33,15533.33,14850,13506.25",
"Private Education and Health Services,16466.67,16450,16808.33,17508.33,17950,18408.33,18750,19700,19941.67,20350,19816.67,20183.33,20966.67,21850,20531.94","Health Care and Social Assistance,14466.67,14508.33,14800,15425,16016.67,16550,16758.33,17608.33,17816.67,18083.33,17750,18100,18750,19608.33,18051.39"
"Leisure and Hospitality,20033.33,20241.67,21150,21858.33,22833.33,23375,24258.33,24516.67,25283.33,26066.67,18783.33,20541.67,24241.67,25525,23951.39","Accommodation and Food Services,17925,18041.67,18791.67,19400,20308.33,20808.33,21733.33,22016.67,22700,23291.67,16850,18466.67,21650,22683.33,21213.89"
"Other Services,4633.33,4616.67,4716.67,4825,4850,5025,5141.67,5191.67,5108.33,5133.33,4450,4850,5316.67,5533.33,5228.47",
"Government,32625,31675,31291.67,30225,30550,31091.67,31916.67,33291.67,34475,34725,33816.67,33575,34433.33,34750,32913.89","Federal Government,5800,5908.33,5841.67,5491.67,5183.33,5133.33,5100,5116.67,5075,5158.33,5625,5516.67,5266.67,5158.33,5393.75, Department of Defense,3741.67,4166.67,4250,3991.67,3775,3700,3700,3700,3658.33,3691.67,4041.67,4025,3766.67,3625,3760.42, Total State and Local Government,26825,25766.67,25450,24733.33,25366.67,25958.33,26816.67,28175,29400,29566.67,28191.67,28058.33,29166.67,29591.67,27520.14, Local Government Excluding Education,10683.33,9600,9416.67,9350,9675,9983.33,10291.67,10583.33,10816.67,10933.33,10575,10808.33,10941.67,11225,10635.42"
