Category,Subcategories
"Mining Logging and Construction,2583.33,2450,2658.33,3191.67,3691.67,4266.67,4041.67,4150,4725,4741.67,4108.33,4500,4425,4441.67,3756.25",
"Manufacturing,10675,10866.67,11208.33,11633.33,12066.67,11908.33,11933.33,12700,13233.33,13675,12766.67,13275,14508.33,15066.67,13645.83","Non-Durable Goods,9266.67,9458.33,9666.67,10108.33,10541.67,10441.67,10433.33,11225,11716.67,12216.67,11516.67,11833.33,12958.33,13525,12153.47"
"Service-Providing,47450,48025,49683.33,51516.67,52766.67,54133.33,54700,55383.33,56225,56333.33,48958.33,49975,53533.33,54766.67,53228.47",
"Trade Transportation and Utilities,8866.67,8700,9066.67,9525,9841.67,10066.67,10175,10083.33,10216.67,10316.67,9541.67,9750,10083.33,10075,9741.67","Wholesale Trade,1508.33,1366.67,1450,1583.33,1566.67,1675,1691.67,1691.67,1791.67,1775,1550,1466.67,1500,1500,1497.92, Retail Trade,5816.67,5725,5866.67,6083.33,6316.67,6408.33,6441.67,6400,6333.33,6416.67,6175,6166.67,6208.33,6191.67,6150.7, Transportation Warehousing and Utilities,1541.67,1608.33,1750,1858.33,1958.33,1983.33,2041.67,1991.67,2091.67,2125,1816.67,2116.67,2375,2383.33,2093.06"
"Information,600,633.33,541.67,508.33,500,425,400,400,350,300,241.67,291.67,300,300,406.94",
"Financial Activities,2258.33,2250,2266.67,2225,2266.67,2333.33,2358.33,2266.67,2200,2250,2141.67,2100,2125,2091.67,2155.56",
"Professional and Business Services,5158.33,5416.67,5991.67,6300,6408.33,6725,6725,6808.33,7191.67,7208.33,6708.33,6516.67,6716.67,6808.33,6431.25","Administrative and Support and Waste and Remediatio,3075,3133.33,3533.33,3683.33,3750,3958.33,3991.67,4116.67,4316.67,4191.67,3833.33,3733.33,3941.67,3975,3772.92"
"Private Education and Health Services,8991.67,9075,9350,9666.67,9916.67,9800,9900,10075,10100,10275,9858.33,9866.67,10125,10575,10366.67","Health Care and Social Assistance,7058.33,7425,7541.67,8166.67,8325,8241.67,8316.67,8491.67,8508.33,8658.33,8450,8558.33,8716.67,9133.33,8793.06"
"Leisure and Hospitality,9308.33,10008.33,10666.67,11333.33,11866.67,12608.33,12725,13075,13491.67,13708.33,9108.33,10200,12725,13333.33,12315.28","Accommodation and Food Services,8608.33,9300,9900,10525,11075,11791.67,11716.67,11991.67,12383.33,12575,8425,9366.67,11650,12183.33,11334.03"
"Other Services,1908.33,1875,1941.67,1958.33,1975,2025,2058.33,2150,2141.67,2083.33,1675,1808.33,2058.33,2158.33,2088.19",
"Government,10358.33,10066.67,9858.33,10000,9991.67,10150,10358.33,10525,10533.33,10191.67,9683.33,9441.67,9400,9425,9722.92","Federal Government,425,358.33,200,200,200,200,200,200,200,200,225,200,200,200,231.94"
