Category,Subcategories
"Civilian Unemployment,153783.33,142900,124975,104158.33,86975,71233.33,64725,56791.67,47875,45516.67,139475,93150,50725,56458.33,87724.3",
"Total Farm,3725,3216.67,2800,2908.33,2750,2441.67,2441.67,2133.33,1966.67,1866.67,1866.67,1983.33,1683.33,1691.67,2250",
"Total Nonfarm,1372558.33,1388925,1426050,1464858.33,1498991.67,1547441.67,1587541.67,1620283.33,1653391.67,1675283.33,1532725,1587825,1666050,1681866.67,1585231.94",
"Mining Logging and Construction,68841.67,70266.67,72775,78283.33,83025,91783.33,97375,101833.33,106350,106575,101658.33,102533.33,105641.67,104941.67,92507.64",
"Mining and Logging,400,400,425,450,500,400,341.67,483.33,500,450,358.33,383.33,325,300,356.25",
"Construction,68441.67,69866.67,72350,77833.33,82525,91383.33,97033.33,101350,105850,106125,101300,102150,105316.67,104641.67,92151.39","Construction of Buildings,15591.67,15516.67,15858.33,17183.33,18783.33,20100,20375,21000,22183.33,22566.67,21175,21833.33,23275,23625,20894.44, Specialty Trade Contractors,45791.67,46633.33,47591.67,51841.67,55516.67,61450,66408.33,69758.33,73900,73950,70666.67,70833.33,72725,72033.33,62772.92"
"Manufacturing,151083.33,154825,159050,158766.67,158166.67,157841.67,158200,160758.33,160766.67,160058.33,150066.67,149775,155425,156483.33,155149.31","Durable Goods,107133.33,111291.67,115141.67,115791.67,116191.67,116083.33,116158.33,117558.33,118575,118783.33,112350,111441.67,116058.33,117516.67,114745.83, Non-Durable Goods,43950,43533.33,43908.33,42975,41975,41758.33,42041.67,43200,42191.67,41275,37716.67,38333.33,39366.67,38966.67,40403.47"
"Trade Transportation and Utilities,244158.33,246300,248158.33,251283.33,254908.33,258575,259716.67,261608.33,263241.67,261391.67,244066.67,251958.33,258316.67,262108.33,256134.03","Wholesale Trade,76116.67,76225,76183.33,78241.67,79750,80000,79891.67,80091.67,81441.67,81266.67,76816.67,77525,78975,80816.67,79393.06, Retail Trade,141333.33,142608.33,143958.33,145575,148641.67,151641.67,152591.67,153516.67,152641.67,150641.67,137641.67,143375,145525,146050,145026.39, Transportation Warehousing and Utilities,26708.33,27466.67,28016.67,27466.67,26516.67,26933.33,27233.33,28000,29158.33,29483.33,29608.33,31058.33,33816.67,35241.67,31714.58"
"Information,21658.33,20658.33,22133.33,23208.33,23433.33,24916.67,25958.33,26766.67,26716.67,25983.33,24116.67,24041.67,24283.33,22550,21765.97","Telecommunications,6308.33,5700,6641.67,6958.33,7108.33,7375,7133.33,7316.67,6991.67,6333.33,6275,5958.33,5808.33,5608.33,5859.72"
"Financial Activities,103666.67,105041.67,108616.67,113400,113941.67,116400,118033.33,119558.33,118650,117591.67,115875,117066.67,112341.67,104091.67,105647.22","Finance and Insurance,69458.33,71241.67,73883.33,77066.67,76375,78800,79466.67,80658.33,79258.33,77708.33,77716.67,78050,72200,63275,66860.42, Real Estate and Rental and Leasing,34208.33,33800,34733.33,36333.33,37566.67,37600,38566.67,38900,39391.67,39883.33,38158.33,39016.67,40141.67,40816.67,38786.8"
"Professional and Business Services,250675,253016.67,264900,271558.33,280241.67,289508.33,299583.33,304733.33,317258.33,328358.33,309191.67,321650,331516.67,321350,296982.64","Professional Scientific and Technical Services,107750,109725,114308.33,117566.67,123641.67,127566.67,129533.33,126858.33,129250,132208.33,129475,134491.67,140150,139700,130040.97, Management of Companies and Enterprises,27275,28041.67,28716.67,29608.33,30158.33,31058.33,33458.33,34825,36741.67,38475,36225,36650,38375,37416.67,34033.33, Administrative and Support and Waste and Remediatio,115650,115250,121875,124383.33,126441.67,130883.33,136591.67,143050,151266.67,157675,143491.67,150508.33,152991.67,144233.33,132908.33"
"Private Education and Health Services,169358.33,172241.67,177300,186325,191300,199291.67,206608.33,216425,225208.33,233091.67,225800,237333.33,249275,264316.67,235618.75","Private Educational Services,23608.33,24391.67,24691.67,25208.33,25333.33,25541.67,26558.33,27983.33,29308.33,31516.67,28450,31258.33,35475,38791.67,33977.78, Health Care and Social Assistance,145750,147850,152608.33,161116.67,165966.67,173750,180050,188441.67,195900,201575,197350,206075,213800,225525,201640.97"
"Leisure and Hospitality,168658.33,174066.67,180641.67,187783.33,194483.33,203808.33,212016.67,218116.67,222625,227716.67,161750,180358.33,217908.33,229550,211486.11","Arts Entertainment and Recreation,35125,36458.33,39341.67,41750,43508.33,46666.67,47800,48816.67,50958.33,54675,29816.67,34508.33,50500,55616.67,50548.61, Accommodation and Food Services,133533.33,137608.33,141300,146033.33,150975,157141.67,164216.67,169300,171666.67,173041.67,131933.33,145850,167408.33,173933.33,160937.5"
"Other Services,42166.67,43233.33,44625,45575,47266.67,48908.33,50450,50300,51350,51975,44125,47450,53125,55275,51755.56",
"Government,152291.67,149275,147850,148675,152225,156408.33,159600,160183.33,161225,162541.67,156075,155658.33,158216.67,161200,158184.72","Federal Government,12408.33,11550,11058.33,10958.33,10941.67,11150,11275,11275,11050,11050,11616.67,10983.33,10775,10700,11009.72, State & Local Government,139883.33,137725,136791.67,137716.67,141283.33,145258.33,148325,148908.33,150175,151491.67,144458.33,144675,147441.67,150500,147175"
