Category,Subcategories
"Mining and Logging,100.0,0.0,0.0,0.0,75.0,100.0,100.0,100.0,100.0,100.0,100.0,166.67,191.67,200.0,35.0",
"Construction,8375.0,8116.67,8633.33,9833.33,10533.33,12183.33,13891.67,14758.33,16075.0,17266.67,17483.33,18783.33,19675.0,18866.67,9098.33",
"Manufacturing,6616.67,6591.67,6258.33,6158.33,6183.33,6500.0,6616.67,5800.0,5616.67,5658.33,5366.67,5908.33,6991.67,7100.0,6361.67","Durable Goods,5966.67,5950.0,5558.33,5458.33,5416.67,5466.67,5591.67,4758.33,4400.0,4341.67,4050.0,4475.0,5400.0,5475.0,5670.0, Nondurable Goods,650.0,641.67,700.0,700.0,766.67,1033.33,1016.67,1041.67,1216.67,1316.67,1316.67,1433.33,1591.67,1608.33,691.67"
"""Trade Transportation & Utilities"",25925.0,26241.67,27541.67,28641.67,29608.33,29766.67,30258.33,30475.0,31758.33,32333.33,30808.33,32208.33,31841.67,31650.0,27591.67","Wholesale Trade,3708.33,3666.67,4116.67,4058.33,3966.67,4200.0,4158.33,4333.33,4700.0,5208.33,4666.67,4533.33,4416.67,4375.0,3903.33, Retail Trade,19250.0,19791.67,20533.33,21475.0,22416.67,22158.33,22400.0,22608.33,23258.33,22841.67,21716.67,22933.33,22675.0,22450.0,20693.33, ""Transportation Warehousing and Utilities"",2966.67,2783.33,2891.67,3108.33,3225.0,3408.33,3700.0,3533.33,3800.0,4283.33,4425.0,4741.67,4750.0,4825.0,2995.0"
"Information,2458.33,2333.33,2300.0,2208.33,2200.0,2558.33,2516.67,2366.67,2441.67,2433.33,1983.33,1883.33,1933.33,1966.67,2300.0",
"Financial Activities,9675.0,9716.67,10316.67,11158.33,11300.0,11516.67,12158.33,12275.0,13458.33,13108.33,12641.67,13025.0,13266.67,12858.33,10433.33","Finance & Insurance,7016.67,7166.67,7675.0,8258.33,8225.0,8333.33,8683.33,8558.33,8525.0,7808.33,7591.67,7366.67,7033.33,6575.0,7668.33, Real Estate & Rental & Leasing,2658.33,2550.0,2641.67,2900.0,3075.0,3183.33,3475.0,3725.0,4958.33,5300.0,5050.0,5658.33,6233.33,6283.33,2765.0"
"Professional and Business Services,12991.67,13300.0,13941.67,15266.67,16775.0,18575.0,19791.67,20591.67,22225.0,22791.67,22191.67,23966.67,24550.0,24258.33,14455.0","""Professional Scientific & Technical Services"",6483.33,6725.0,7025.0,7400.0,7591.67,7866.67,8541.67,8708.33,9158.33,9658.33,9208.33,10091.67,10708.33,10700.0,7045.0, Management of Companies & Enterprises,1158.33,1216.67,1300.0,1450.0,1550.0,1575.0,1533.33,1766.67,1775.0,1958.33,1925.0,2000.0,1916.67,2441.67,1335.0, Administrative and Support and Waste and Remediatio,5350.0,5358.33,5616.67,6416.67,7633.33,9133.33,9716.67,10100.0,11291.67,11200.0,11058.33,11841.67,11916.67,11125.0,6075.0"
"Private Education and Health Services,19308.33,20375.0,21583.33,22991.67,24133.33,24650.0,26208.33,28075.0,28791.67,29983.33,29375.0,30800.0,32583.33,35808.33,21678.33",
"Leisure and Hospitality,18133.33,18466.67,19000.0,20233.33,20341.67,20458.33,22075.0,23233.33,23675.0,24191.67,19400.0,22300.0,25808.33,26625.0,19235.0","""Arts Entertainment and Recreation"",3508.33,3608.33,4050.0,4325.0,4091.67,4058.33,4416.67,4791.67,4841.67,5125.0,3841.67,4833.33,6283.33,6700.0,3916.67, Accommodation & Food Services,14625.0,14858.33,14950.0,15908.33,16250.0,16400.0,17658.33,18450.0,18816.67,19066.67,15558.33,17466.67,19525.0,19925.0,15318.33"
"Other Services,4483.33,4741.67,5083.33,5516.67,5733.33,5950.0,5883.33,6433.33,6666.67,6966.67,6033.33,7166.67,7508.33,8025.0,5111.67",
"Government,18941.67,18216.67,18683.33,19016.67,19191.67,19708.33,20191.67,20391.67,20608.33,20591.67,19541.67,19858.33,20258.33,20783.33,18810.0","Federal Government,825.0,700.0,700.0,700.0,666.67,666.67,666.67,700.0,700.0,708.33,741.67,700.0,658.33,675.0,718.33"
