Category,Subcategories
"Civilian Unemployment,138633.33,131008.33,116500,99558.33,83700,69641.67,64425,56650,48458.33,46666.67,112700,82800,48483.33,55575,83075",
"Total Farm,12408.33,12433.33,12541.67,12050,11875,12583.33,12808.33,12291.67,12283.33,12925,11833.33,11425,11266.67,10875,12261.67",
"Total Nonfarm,536800,549391.67,561041.67,587441.67,616191.67,645283.33,675541.67,706125,736233.33,753591.67,722116.67,761741.67,802666.67,821083.33,570173.34",
"Mining and Logging,400,400,400,333.33,300,300,300,391.67,400,466.67,400,400,500,400,366.67",
"Construction,35375,34108.33,35850,42591.67,47458.33,52925,58625,62233.33,67408.33,68125,66791.67,70925,73875,74075,39076.67",
"Manufacturing,37866.67,38566.67,39441.67,39041.67,40108.33,41250,42666.67,42916.67,44508.33,45166.67,42950,43650,44916.67,45200,39005","Durable Goods,26400,27458.33,27775,27241.67,28450,28566.67,29300,29116.67,30175,30408.33,28508.33,28658.33,29166.67,28608.33,27465, Nondurable Goods,11466.67,11108.33,11666.67,11800,11658.33,12683.33,13366.67,13800,14333.33,14758.33,14441.67,14991.67,15750,16591.67,11540"
"Trade Transportation & Utilities,117008.33,121591.67,123091.67,129700,136350,146108.33,152816.67,158941.67,163600,169583.33,173191.67,188141.67,197925,196683.33,125548.33","Wholesale Trade,19091.67,19741.67,20683.33,22375,23075,23308.33,23816.67,23850,24925,25566.67,24433.33,25675,27333.33,27708.33,20993.33, Retail Trade,78525,81616.67,81400,82408.33,85516.67,88741.67,91625,92675,92883.33,93758.33,87033.33,91408.33,92491.67,94441.67,81893.33, Transportation Warehousing and Utilities,19391.67,20233.33,21008.33,24916.67,27758.33,34058.33,37375,42416.67,45791.67,50258.33,61725,71058.33,78100,74533.33,22661.67"
"Information,10250,7691.67,6391.67,6283.33,6308.33,6366.67,6325,6108.33,6183.33,6491.67,5308.33,5325,5483.33,5641.67,7385",
"Financial Activities,19258.33,18566.67,19266.67,20008.33,20483.33,20941.67,21416.67,21841.67,22108.33,21600,20925,21416.67,22533.33,21108.33,19516.67","Finance & Insurance,11075,11000,11275,11633.33,11541.67,11566.67,11716.67,11925,11866.67,11158.33,11175,10958.33,11541.67,9850,11305, Real Estate & Rental & Leasing,8183.33,7566.67,7991.67,8375,8941.67,9375,9700,9916.67,10241.67,10441.67,9750,10458.33,10991.67,11258.33,8211.67"
"Professional and Business Services,50325,52283.33,54008.33,57558.33,60916.67,62616.67,65183.33,66558.33,70533.33,73650,71500,77208.33,78558.33,76283.33,55018.33","Professional Scientific & Technical Services,16058.33,16283.33,17175,17516.67,18875,19133.33,19016.67,19383.33,20500,20991.67,20183.33,21491.67,22283.33,22108.33,17181.67, Management of Companies & Enterprises,2900,2758.33,2791.67,3116.67,3266.67,2983.33,2958.33,2441.67,2533.33,3075,3308.33,3741.67,3775,3708.33,2966.67, Administrative and Support and Waste and Remediatio,31366.67,33241.67,34041.67,36925,38775,40500,43208.33,44733.33,47500,49583.33,48008.33,51975,52500,50466.67,34870"
"Private Education and Health Services,71158.33,74316.67,78941.67,85500,89541.67,95216.67,100158.33,106983.33,114925,115300,119583.33,124558.33,131683.33,143891.67,79891.67","Private Educational Services,5466.67,5591.67,6383.33,6933.33,7358.33,7625,8208.33,8166.67,8250,8150,7700,8208.33,9233.33,9691.67,6346.67, Health Care & Social Assistance,65691.67,68725,72558.33,78566.67,82183.33,87591.67,91950,98816.67,106675,107150,111883.33,116350,122450,134200,73545"
"Leisure and Hospitality,67675,68908.33,72316.67,74958.33,80500,83391.67,88216.67,91158.33,93716.67,97800,77566.67,88566.67,101133.33,104233.33,72871.67","Arts Entertainment and Recreation,9858.33,9500,9716.67,10041.67,10733.33,10875,11308.33,11608.33,12000,12716.67,8933.33,11158.33,12775,13716.67,9970, Accommodation & Food Services,57816.67,59408.33,62600,64916.67,69766.67,72516.67,76908.33,79550,81716.67,85083.33,68633.33,77408.33,88358.33,90516.67,62901.67"
"Other Services,18300,18758.33,19191.67,20275,21558.33,21708.33,22250,22575,22766.67,23266.67,19883.33,21766.67,24391.67,25491.67,19616.67",
"Government,109183.33,114200,112141.67,111191.67,112666.67,114458.33,117583.33,126416.67,130083.33,132141.67,124016.67,119783.33,121666.67,128075,111876.67","Federal Government,7625,7033.33,6825,6833.33,6783.33,6858.33,7066.67,7125,7158.33,7258.33,7691.67,7450,7450,7608.33,7020"
