Category,Subcategories
"Mining and Logging,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0",
"Construction,808.33,725.0,716.67,816.67,891.67,1066.67,1216.67,1458.33,1600.0,1625.0,1541.67,1575.0,1641.67,1575.0,791.67",
"Manufacturing,2508.33,2658.33,2675.0,2675.0,2766.67,2191.67,2216.67,3325.0,3350.0,3150.0,2800.0,3050.0,3283.33,3241.67,2656.67","Durable Goods,966.67,983.33,875.0,950.0,1000.0,1091.67,1100.0,991.67,1050.0,941.67,816.67,983.33,1091.67,1100.0,955.0, Nondurable Goods,1541.67,1675.0,1800.0,1725.0,1766.67,1100.0,1116.67,2333.33,2300.0,2208.33,1983.33,2066.67,2191.67,2141.67,1701.67"
"""Trade Transportation & Utilities"",2675.0,2750.0,2875.0,3166.67,3308.33,3525.0,3541.67,2150.0,2133.33,2233.33,2075.0,2250.0,2483.33,2583.33,2955.0","Wholesale Trade,358.33,316.67,366.67,383.33,316.67,400.0,400.0,308.33,333.33,375.0,341.67,391.67,400.0,400.0,348.33, Retail Trade,2016.67,2150.0,2216.67,2358.33,2541.67,2633.33,2641.67,1341.67,1300.0,1358.33,1275.0,1358.33,1483.33,1600.0,2256.67, ""Transportation Warehousing and Utilities"",300.0,283.33,291.67,425.0,450.0,491.67,500.0,500.0,500.0,500.0,458.33,500.0,600.0,583.33,350.0"
"Information,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0",
"Financial Activities,300.0,300.0,300.0,375.0,375.0,375.0,400.0,300.0,300.0,300.0,308.33,375.0,333.33,300.0,330.0","Finance & Insurance,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0, Real Estate & Rental & Leasing,100.0,100.0,100.0,175.0,175.0,175.0,200.0,100.0,100.0,100.0,108.33,175.0,133.33,100.0,130.0"
"Professional and Business Services,691.67,683.33,941.67,1100.0,1175.0,1075.0,1100.0,1208.33,1116.67,1200.0,1275.0,1400.0,1441.67,1258.33,918.33","""Professional Scientific & Technical Services"",216.67,208.33,241.67,391.67,458.33,400.0,400.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,303.33, Management of Companies & Enterprises,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0, Administrative and Support and Waste and Remediatio,475.0,475.0,700.0,708.33,716.67,675.0,700.0,908.33,816.67,900.0,975.0,1100.0,1141.67,958.33,615.0"
"Private Education and Health Services,1091.67,1058.33,1100.0,1200.0,1291.67,1366.67,1475.0,1425.0,1425.0,1516.67,1475.0,1491.67,1550.0,1700.0,1148.33","Private Educational Services,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0, Health Care & Social Assistance,991.67,958.33,1000.0,1100.0,1191.67,1266.67,1375.0,1325.0,1325.0,1416.67,1375.0,1391.67,1450.0,1600.0,1048.33"
"Leisure and Hospitality,1116.67,1083.33,1191.67,1233.33,1250.0,1266.67,1300.0,1433.33,1450.0,1600.0,1425.0,1608.33,1741.67,1841.67,1175.0",
"Other Services,400.0,450.0,400.0,400.0,375.0,400.0,400.0,500.0,500.0,500.0,408.33,475.0,500.0,500.0,405.0",
"Government,2991.67,2841.67,2708.33,2741.67,2800.0,2850.0,2858.33,2875.0,2891.67,3000.0,3050.0,3150.0,3283.33,3308.33,2816.67","Federal Government,191.67,166.67,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,116.67,100.0,100.0,100.0,131.67"
