Main Category,Subcategories
"Mining and Logging,600.0,641.67,791.67,866.67,991.67,983.33,575.0,575.0,766.67,741.67,883.33,1016.67,1041.67,1108.33,778.34",
"Construction,24325.0,24966.67,26783.33,27433.33,30125.0,32733.33,33841.67,35166.67,37783.33,39041.67,38100.0,39200.0,40850.0,41658.33,26726.67",
"Manufacturing,47291.67,46533.33,47275.0,48300.0,51208.33,54850.0,56266.67,56316.67,56583.33,55400.0,52175.0,52491.67,55108.33,53650.0,48121.67","Durable Goods,28950.0,28366.67,29116.67,30016.67,31741.67,34541.67,35508.33,34950.0,34875.0,34566.67,31850.0,31291.67,32141.67,31775.0,29638.34, Nondurable Goods,18341.67,18166.67,18158.33,18283.33,19466.67,20308.33,20758.33,21366.67,21708.33,20833.33,20325.0,21200.0,22966.67,21875.0,18483.33"
"""Trade Transportation & Utilities"",152983.33,153966.67,164491.67,169966.67,178541.67,187091.67,193475.0,206566.67,215983.33,224816.67,233708.33,255075.0,266950.0,259791.67,163990.0","Wholesale Trade,29641.67,29425.0,31550.0,34025.0,35850.0,38275.0,39075.0,38725.0,40541.67,41491.67,41125.0,41750.0,42191.67,40950.0,32098.33, Retail Trade,76991.67,76900.0,80958.33,82416.67,83891.67,85525.0,87366.67,88208.33,88333.33,86983.33,81800.0,85616.67,88466.67,88250.0,80231.67, ""Transportation Warehousing and Utilities"",46350.0,47641.67,51983.33,53525.0,58800.0,63291.67,67033.33,79633.33,87108.33,96341.67,110783.33,127708.33,136291.67,130591.67,51660.0"
"Information,3766.67,4508.33,5325.0,5250.0,4950.0,5041.67,5241.67,5175.0,5250.0,5025.0,4066.67,4400.0,7500.0,7691.67,4760.0",
"Financial Activities,21416.67,21291.67,21391.67,21825.0,22375.0,23000.0,23833.33,22383.33,21725.0,23433.33,23141.67,23741.67,23425.0,23775.0,21660.0","Finance & Insurance,14091.67,14258.33,14516.67,14591.67,15041.67,15333.33,15558.33,13933.33,12700.0,13641.67,13408.33,13483.33,12233.33,12491.67,14500.0, Real Estate & Rental & Leasing,7325.0,7033.33,6875.0,7233.33,7333.33,7666.67,8275.0,8450.0,9025.0,9791.67,9733.33,10258.33,11191.67,11283.33,7160.0"
"Professional and Business Services,73125.0,73325.0,73058.33,74375.0,77800.0,84816.67,80650.0,80316.67,80850.0,85016.67,83875.0,92141.67,95308.33,88550.0,74336.67","""Professional Scientific & Technical Services"",18866.67,19375.0,19575.0,20375.0,20900.0,19991.67,20133.33,20591.67,21508.33,23000.0,22425.0,24591.67,23658.33,23958.33,19818.33, Management of Companies & Enterprises,5483.33,5416.67,5233.33,5241.67,5150.0,5866.67,6191.67,6025.0,5800.0,5741.67,5266.67,4941.67,4833.33,5283.33,5305.0, Administrative and Support and Waste and Remediatio,48775.0,48533.33,48250.0,48758.33,51750.0,58958.33,54325.0,53700.0,53541.67,56275.0,56183.33,62608.33,66816.67,59308.33,49213.33"
"Private Education and Health Services,90191.67,91125.0,94666.67,102125.0,105266.67,109908.33,114091.67,119675.0,124533.33,134975.0,129083.33,129716.67,135816.67,143558.33,96675.0","Private Educational Services,10116.67,10191.67,9925.0,10625.0,9816.67,10100.0,10425.0,10775.0,11133.33,11716.67,10391.67,9850.0,10708.33,11733.33,10135.0, Health Care & Social Assistance,80075.0,80933.33,84741.67,91500.0,95450.0,99808.33,103666.67,108900.0,113400.0,123258.33,118691.67,119866.67,125108.33,131825.0,86540.0"
"Leisure and Hospitality,55108.33,55125.0,57066.67,60891.67,64283.33,68316.67,71516.67,75166.67,76916.67,78066.67,63733.33,71591.67,79750.0,82291.67,58495.0","""Arts Entertainment and Recreation"",5975.0,5908.33,6091.67,6775.0,6866.67,7616.67,7916.67,8041.67,7766.67,7741.67,4950.0,5991.67,7350.0,7775.0,6323.33, Accommodation & Food Services,49133.33,49216.67,50975.0,54116.67,57416.67,60700.0,63600.0,67125.0,69150.0,70325.0,58783.33,65600.0,72400.0,74516.67,52171.67"
"Other Services,19925.0,20333.33,20875.0,20858.33,21458.33,22275.0,22841.67,22841.67,23000.0,22916.67,20316.67,21808.33,23041.67,23800.0,20690.0",
"Government,125150.0,113275.0,112458.33,113966.67,116083.33,118833.33,122883.33,124591.67,127091.67,129075.0,124000.0,122191.67,128291.67,132808.33,116186.67","Federal Government,15125.0,14233.33,13816.67,13466.67,13400.0,13400.0,13383.33,13466.67,13533.33,13841.67,14441.67,13691.67,13400.0,13616.67,14008.33"
