Category,Subcategories
"Total Farm,10525.0,9791.67,9800.0,9750.0,9383.33,9083.33,8925.0,8700.0,9266.67,9691.67,9150.0,9025.0,9591.67,9450.0,9662.5",
"""Mining Logging and Construction"",55808.33,55616.67,57375.0,61316.67,64316.67,70225.0,76583.33,79841.67,84016.67,84308.33,81625.0,84133.33,87983.33,90150.0,77836.11",
"Mining and Logging,375.0,375.0,350.0,300.0,391.67,308.33,300.0,300.0,366.67,358.33,308.33,325.0,400.0,341.67,382.64",
"Construction,55433.33,55241.67,57025.0,61016.67,63925.0,69916.67,76283.33,79541.67,83650.0,83950.0,81316.67,83808.33,87583.33,89808.33,77453.47","Construction of Buildings,12466.67,12625.0,12933.33,13841.67,14458.33,15283.33,17066.67,18216.67,19258.33,19066.67,18641.67,19858.33,21333.33,21658.33,18577.08, Specialty Trade Contractors,36891.67,36708.33,38150.0,41058.33,42816.67,47950.0,52633.33,54291.67,56933.33,57150.0,54716.67,56433.33,59150.0,60475.0,51660.42"
"Manufacturing,95683.33,96516.67,98325.0,99558.33,102408.33,106558.33,108391.67,109400.0,112341.67,115658.33,113775.0,114408.33,116883.33,115100.0,106324.3","Durable Goods,73783.33,74283.33,75216.67,75491.67,77300.0,80283.33,81233.33,81508.33,83716.67,86266.67,85400.0,83916.67,84608.33,84041.67,78931.25, Non-Durable Goods,21900.0,22233.33,23108.33,24066.67,25108.33,26275.0,27158.33,27891.67,28625.0,29391.67,28375.0,30491.67,32275.0,31058.33,27393.06"
"Service-Providing,1088975.0,1098125.0,1127075.0,1155108.33,1177966.67,1208016.67,1237600.0,1263000.0,1285800.0,1303091.67,1190416.67,1243508.33,1326308.33,1346825.0,1261337.5",
"""Trade Transportation and Utilities"",199133.33,202791.67,209925.0,214225.0,216158.33,219258.33,220875.0,224700.0,225033.33,223966.67,207758.33,216833.33,222441.67,223058.33,216002.78","Wholesale Trade,41933.33,43275.0,45383.33,45766.67,44858.33,44058.33,43708.33,43833.33,43775.0,44033.33,41308.33,42075.0,43741.67,43216.67,43118.06, Retail Trade,130683.33,133441.67,137233.33,141258.33,144300.0,146833.33,147458.33,148916.67,147916.67,145616.67,133191.67,137641.67,138641.67,139016.67,138093.06, ""Transportation Warehousing and Utilities"",26516.67,26075.0,27308.33,27200.0,27000.0,28366.67,29708.33,31950.0,33341.67,34316.67,33258.33,37116.67,40058.33,40825.0,34791.67"
"Information,25083.33,24166.67,24391.67,24125.0,24141.67,23425.0,23233.33,23425.0,23625.0,23525.0,22050.0,21516.67,22075.0,21891.67,22359.03","Telecommunications,8025.0,7641.67,7666.67,7725.0,7733.33,7383.33,7258.33,7008.33,6758.33,6075.0,5675.0,5458.33,5333.33,5300.0,6232.64"
"Financial Activities,67175.0,67416.67,69850.0,70958.33,69641.67,71383.33,72991.67,74641.67,76025.0,76541.67,74775.0,76208.33,76875.0,72675.0,70378.47","Finance and Insurance,41258.33,41750.0,43700.0,43925.0,42125.0,43533.33,45058.33,46250.0,46716.67,46383.33,46166.67,46816.67,46066.67,42483.33,41863.19, Real Estate and Rental and Leasing,25916.67,25666.67,26150.0,27033.33,27516.67,27850.0,27933.33,28391.67,29308.33,30158.33,28608.33,29391.67,30808.33,30191.67,28515.28"
"Professional and Business Services,203300.0,204908.33,210933.33,218691.67,222550.0,229475.0,234708.33,239075.0,249025.0,255775.0,248300.0,265266.67,282508.33,276000.0,245806.94","""Professional Scientific and Technical Services"",112783.33,113333.33,115016.67,118350.0,121541.67,125008.33,129050.0,132433.33,138625.0,144975.0,142408.33,151291.67,159691.67,157366.67,138127.08, Management of Companies and Enterprises,17058.33,17541.67,19016.67,20850.0,21750.0,22058.33,21816.67,22250.0,23766.67,23833.33,23708.33,23816.67,23116.67,22458.33,20651.39, Administrative and Support and Waste and Remediatio,73458.33,74033.33,76900.0,79491.67,79258.33,82408.33,83841.67,84391.67,86633.33,86966.67,82183.33,90158.33,99700.0,96175.0,87028.47"
"Private Education and Health Services,164558.33,167925.0,174583.33,181083.33,186083.33,192691.67,198733.33,204283.33,208850.0,216625.0,210941.67,216650.0,228275.0,243216.67,221136.11","Private Educational Services,25433.33,27125.0,29066.67,29541.67,29725.0,29433.33,29741.67,29625.0,29325.0,30183.33,27633.33,26241.67,29291.67,29033.33,29515.97, Health Care and Social Assistance,139125.0,140800.0,145516.67,151541.67,156358.33,163258.33,168991.67,174658.33,179525.0,186441.67,183308.33,190408.33,198983.33,214183.33,191620.14"
"Leisure and Hospitality,153166.67,154308.33,160400.0,167233.33,175500.0,182400.0,190375.0,195583.33,199641.67,201666.67,144750.0,161625.0,193116.67,201591.67,186517.36","""Arts Entertainment and Recreation"",24050.0,24058.33,24766.67,25866.67,26616.67,27633.33,28858.33,29441.67,30283.33,30183.33,19100.0,22383.33,28466.67,30475.0,29146.53, Accommodation and Food Services,129116.67,130250.0,135633.33,141366.67,148883.33,154766.67,161516.67,166141.67,169358.33,171483.33,125650.0,139241.67,164650.0,171116.67,157370.83"
"Other Services,46091.67,47650.0,49158.33,49308.33,51975.0,53233.33,54441.67,55008.33,55508.33,56416.67,44750.0,47508.33,54433.33,57083.33,54073.61",
"Government,230466.67,228958.33,227833.33,229483.33,231916.67,236150.0,242241.67,246283.33,248091.67,248575.0,237091.67,237900.0,246583.33,251308.33,245063.19","Federal Government,46991.67,46733.33,46750.0,46533.33,45758.33,45975.0,46791.67,46866.67,47125.0,47550.0,48625.0,47650.0,46950.0,47116.67,46847.22, Total State and Local Government,183475.0,182225.0,181083.33,182950.0,186158.33,190175.0,195450.0,199416.67,200966.67,201025.0,188466.67,190250.0,199633.33,204191.67,198215.97, Special Districts plus Tribes,26050.0,25783.33,26416.67,27233.33,27500.0,27975.0,28683.33,29458.33,30083.33,30541.67,27083.33,27100.0,26925.0,27341.67,27140.28"
