Category,Subcategories
"Civilian Unemployment,52766.67,51208.33,45400,38883.33,33200,28116.67,25941.67,22741.67,19808.33,19458.33,38425,28875,18258.33,21641.67,32454.86",
"Total Farm,15825,15616.67,15783.33,16166.67,15741.67,16700,16675,16358.33,15641.67,15433.33,14591.67,14158.33,13758.33,14058.33,15177.78",
"Total Nonfarm,192483.33,192200,197141.67,205216.67,211066.67,218208.33,225450,234866.67,241375,246966.67,243100,255591.67,272516.67,274883.33,246234.03",
"Mining Logging and Construction,7708.33,7475,7700,8883.33,9008.33,10216.67,11183.33,11783.33,12891.67,13175,13083.33,14008.33,14858.33,13875,11456.25",
"Mining and Logging,100,100,100,100,100,100,100,100,100,100,100,91.67,0,0,41.67",
"Construction,7608.33,7375,7600,8783.33,8908.33,10116.67,11083.33,11683.33,12791.67,13075,12983.33,13916.67,14858.33,13875,11414.58","Specialty Trade Contractors,5116.67,4825,4991.67,5683.33,6283.33,7100,7825,8183.33,8891.67,8975,8983.33,9900,10650,9683.33,7766.67"
"Manufacturing,18141.67,18500,18433.33,18508.33,19100,19450,19800,20316.67,20550,20475,20116.67,21291.67,22975,23541.67,21373.61","Durable Goods,7341.67,7283.33,7225,7491.67,7766.67,7966.67,8441.67,9066.67,9308.33,9316.67,9075,9883.33,11216.67,11566.67,9684.03, Non-Durable Goods,10800,11216.67,11208.33,11016.67,11333.33,11483.33,11358.33,11250,11241.67,11158.33,11041.67,11408.33,11758.33,11975,11689.58"
"Trade Transportation and Utilities,47133.33,48675,51241.67,53408.33,54666.67,56983.33,60275,64183.33,66816.67,69183.33,74008.33,80016.67,86716.67,86308.33,70885.42","Wholesale Trade,9575,9833.33,10308.33,10575,10658.33,10666.67,10808.33,11225,11750,11708.33,10625,10791.67,11550,12316.67,11429.17, Retail Trade,23741.67,24150,24916.67,25625,25708.33,25991.67,26466.67,26758.33,26675,26191.67,24608.33,26241.67,27025,27158.33,26045.14, Transportation Warehousing and Utilities,13816.67,14691.67,16016.67,17208.33,18300,20325,23000,26200,28391.67,31283.33,38775,42983.33,48141.67,46833.33,33411.11"
"Information,2116.67,2108.33,2133.33,2108.33,2091.67,1941.67,1950,1833.33,1750,1633.33,1225,1200,1191.67,1083.33,1454.86",
"Financial Activities,7716.67,7458.33,7500,7625,7466.67,7350,7508.33,7800,7816.67,7933.33,7841.67,7966.67,8150,7958.33,7755.56","Finance and Insurance,5133.33,4916.67,4900,5000,4941.67,4825,4825,4933.33,4783.33,4725,4633.33,4666.67,4608.33,4241.67,4499.31"
"Professional and Business Services,15408.33,15166.67,16608.33,17391.67,18316.67,19416.67,19616.67,19183.33,19616.67,20191.67,21333.33,22508.33,24066.67,23741.67,20724.31","Administrative and Support and Waste and Remediatio,9583.33,9025,10333.33,10975,11675,12633.33,12691.67,12500,12858.33,13116.67,14283.33,15250,16133.33,15441.67,13307.64"
"Private Education and Health Services,33508.33,33708.33,33966.67,35483.33,35925,36475,36383.33,38191.67,38750,39091.67,37250,37991.67,39766.67,42216.67,40482.64","Private Educational Services,4941.67,5400,5291.67,5366.67,5091.67,4650,4716.67,4866.67,4716.67,4600,4208.33,4108.33,4341.67,4583.33,4957.64, Health Care and Social Assistance,28566.67,28308.33,28675,30116.67,30833.33,31825,31666.67,33325,34033.33,34491.67,33041.67,33883.33,35425,37633.33,35525"
"Leisure and Hospitality,16033.33,16250,16933.33,18141.67,19016.67,19616.67,20400,21525,22041.67,22625,18491.67,21291.67,24291.67,24591.67,21914.58","Arts Entertainment and Recreation,1800,1791.67,1883.33,2150,2375,2383.33,2475,2491.67,2516.67,2550,1483.33,1816.67,2358.33,2541.67,2433.33, Accommodation and Food Services,14233.33,14458.33,15050,15991.67,16641.67,17233.33,17925,19033.33,19525,20075,17008.33,19475,21933.33,22050,19481.25"
"Other Services,6541.67,6333.33,6533.33,6608.33,6900,7175,7516.67,7625,7616.67,7750,6750,7283.33,7908.33,8208.33,7584.72",
"Government,38175,36525,36091.67,37058.33,38575,39583.33,40816.67,42425,43525,44908.33,43000,42033.33,42591.67,43358.33,42602.08","Federal Government,4333.33,4008.33,3908.33,3491.67,3133.33,3008.33,3041.67,3091.67,3091.67,3183.33,3275,3116.67,3066.67,2983.33,3322.92, Total State and Local Government,33841.67,32516.67,32183.33,33566.67,35441.67,36575,37775,39333.33,40433.33,41725,39725,38916.67,39525,40375,39279.17, Local Government excluding Education,12000,11058.33,11058.33,11325,11691.67,12125,12191.67,12558.33,12616.67,13066.67,12766.67,12750,12966.67,12983.33,12752.78"
