Category,Subcategories
"Mining Logging and Construction,4858.33,5141.67,5516.67,6050,6408.33,6725,7158.33,7450,7866.67,8266.67,8475,9133.33,8916.67,8741.67,7481.25",
"Manufacturing,5850,6016.67,6391.67,6508.33,6833.33,7016.67,7000,7275,7741.67,7841.67,7341.67,7866.67,8150,8475,7550","Durable Goods,2741.67,2941.67,3108.33,3200,3341.67,3325,3100,3083.33,3200,3208.33,2925,2958.33,2958.33,3150,3086.11, Non-Durable Goods,3108.33,3075,3283.33,3308.33,3491.67,3691.67,3900,4191.67,4541.67,4633.33,4416.67,4908.33,5191.67,5325,4463.89"
"Trade Transportation and Utilities,19150,19300,20041.67,20516.67,20675,20950,21241.67,21308.33,21133.33,20791.67,19116.67,19716.67,20008.33,19866.67,19881.94","Wholesale Trade,2566.67,2491.67,2525,2616.67,2750,2833.33,2850,2783.33,2675,2700,2533.33,2566.67,2558.33,2441.67,2479.17, Retail Trade,12975,13275,13658.33,13816.67,13750,13900,14091.67,14266.67,14316.67,14041.67,12891.67,13450,13683.33,13508.33,13447.92, Transportation Warehousing and Utilities,3608.33,3533.33,3858.33,4083.33,4175,4216.67,4300,4258.33,4141.67,4050,3691.67,3700,3766.67,3916.67,3954.86"
"Information,1183.33,1133.33,1225,1366.67,1408.33,1466.67,1325,1266.67,1183.33,1208.33,1125,1175,1275,1175,1168.06",
"Financial Activities,3816.67,3825,3850,3833.33,3808.33,3866.67,3758.33,3891.67,3858.33,3866.67,3791.67,3916.67,3950,3875,3869.44","Finance and Insurance,2333.33,2366.67,2375,2283.33,2200,2250,2216.67,2316.67,2283.33,2200,2283.33,2275,2141.67,2008.33,2129.86, Real Estate and Rental and Leasing,1483.33,1458.33,1475,1550,1608.33,1616.67,1541.67,1575,1575,1666.67,1508.33,1641.67,1808.33,1866.67,1739.58"
"Professional and Business Services,8025,8300,9083.33,9291.67,9416.67,10108.33,10475,10675,10850,11166.67,10508.33,10958.33,11075,11166.67,10343.06",
"Private Education and Health Services,14150,14183.33,14400,15408.33,16183.33,16450,16983.33,17441.67,17700,18216.67,16966.67,17541.67,18066.67,18616.67,17427.08",
"Leisure and Hospitality,14783.33,14925,15733.33,16191.67,16825,17575,18525,19075,19233.33,19841.67,15375,17425,19508.33,19950,18404.86","Accommodation and Food Services,13316.67,13491.67,14225,14750,15358.33,16000,16933.33,17458.33,17558.33,18066.67,14216.67,16025,17766.67,18041.67,16553.47"
"Other Services,3025,3041.67,3308.33,3391.67,3583.33,3816.67,3808.33,3983.33,4025,4075,3341.67,3408.33,3691.67,3791.67,3545.83",
"Government,20866.67,20575,20725,21500,22891.67,23566.67,23875,24141.67,24341.67,24458.33,23541.67,23158.33,23400,23225,22063.19","Federal Government,666.67,600,600,600,525,500,500,525,500,533.33,600,600,600,600,599.31, State & Local Government,20200,19975,20125,20900,22366.67,23066.67,23375,23616.67,23841.67,23925,22941.67,22558.33,22800,22625,21463.89"
