Category,Subcategories
"Mining and Logging,200,200,233.33,266.67,300,225,291.67,216.67,200,200,183.33,191.67,200,183.33,240","Construction,31566.67,31050,34083.33,36675,38783.33,42875,47633.33,47883.33,48291.67,51416.67,48591.67,50108.33,52116.67,52066.67,34431.67"
"Manufacturing,149316.67,153050,153708.33,153625,156691.67,160200,161333.33,163066.67,168733.33,168875,165475,164375,175283.33,176241.67,153278.33","Durable Goods,139500,143216.67,143550,143300,146000,149050,150058.33,151983.33,157650,158041.67,155866.67,156658.33,166875,167908.33,143113.33, Nondurable Goods,9816.67,9833.33,10158.33,10325,10691.67,11150,11275,11083.33,11083.33,10833.33,9608.33,7716.67,8408.33,8333.33,10165"
"Trade Transportation & Utilities,123166.67,125183.33,129041.67,131900,134608.33,136050,137283.33,131966.67,131666.67,128350,116000,116691.67,118941.67,118766.67,128780","Wholesale Trade,34616.67,33700,34616.67,35991.67,36858.33,36800,37408.33,32608.33,31908.33,31041.67,28833.33,27908.33,28533.33,28575,35156.67, Retail Trade,76833.33,79658.33,81900,82491.67,83850,85133.33,85033.33,84466.67,84425,81733.33,71800,72375,72083.33,72333.33,80946.67, Transportation Warehousing and Utilities,11716.67,11825,12525,13416.67,13900,14116.67,14841.67,14891.67,15333.33,15575,15366.67,16408.33,18325,17858.33,12676.67"
"Information,46358.33,51183.33,54100,58625,65558.33,70408.33,74525,84558.33,92133.33,100466.67,105758.33,106950,105850,97783.33,55165",
"Financial Activities,30758.33,32041.67,32933.33,33283.33,33750,34216.67,35166.67,35800,36433.33,37566.67,37725,38050,37775,37616.67,32553.33","Finance & Insurance,18100,19175,20100,20475,20600,20858.33,21325,21441.67,21350,21808.33,22725,23166.67,22250,21866.67,19690, Real Estate & Rental & Leasing,12658.33,12866.67,12833.33,12808.33,13150,13358.33,13841.67,14358.33,15083.33,15758.33,15000,14883.33,15525,15750,12863.33"
"Professional and Business Services,160216.67,166025,177225,190058.33,201775,215191.67,224083.33,236183.33,235850,241925,236250,241233.33,248875,244183.33,179060","Professional Scientific & Technical Services,105200,109391.67,117200,125100,132691.67,141575,147891.67,154008.33,157658.33,164375,163600,165350,171366.67,168575,117916.67, Management of Companies & Enterprises,8975,8966.67,9766.67,10766.67,11691.67,12608.33,12833.33,19175,16900,15825,14983.33,14633.33,13866.67,13791.67,10033.34, Administrative and Support and Waste and Remediatio,46041.67,47666.67,50258.33,54191.67,57391.67,61008.33,63358.33,63000,61291.67,61725,57666.67,61250,63641.67,61816.67,51110"
"Private Education and Health Services,125975,128625,135725,142583.33,148683.33,154883.33,160625,167416.67,171933.33,177166.67,171191.67,176900,185433.33,194408.33,136318.33","Private Educational Services,35341.67,37175,38566.67,39783.33,42266.67,44016.67,45208.33,46841.67,47633.33,47825,43500,43908.33,46891.67,49100,38626.67, Health Care & Social Assistance,90633.33,91450,97158.33,102800,106416.67,110866.67,115416.67,120575,124300,129341.67,127691.67,132991.67,138541.67,145308.33,97691.67"
"Leisure and Hospitality,73800,76333.33,81341.67,86283.33,90666.67,94500,97550,101975,104241.67,105933.33,71700,77350,94941.67,99591.67,81685",
"Other Services,23900,24133.33,24350,25025,26033.33,26533.33,27000,28366.67,28416.67,28433.33,21683.33,22358.33,24933.33,25875,24688.33",
"Government,91475,89850,88725,89016.67,90608.33,90091.67,91208.33,92658.33,93775,94316.67,90891.67,90108.33,92516.67,94625,89935","Federal Government,10533.33,9950,9733.33,9808.33,9800,9816.67,9925,10066.67,9775,9858.33,10533.33,10358.33,10075,10008.33,9965"
