Category,Subcategories
"Civilian Unemployment,19316.67,18775,17050,14733.33,12575,10791.67,10025,8175,7041.67,6966.67,13075,9225,6441.67,7641.67,12012.5",
"Total Farm,9616.67,8591.67,8433.33,8283.33,8483.33,8333.33,8391.67,8125,7900,8200,7966.67,7233.33,7066.67,6733.33,6984.03",
"Total Nonfarm,88016.67,88216.67,90158.33,92933.33,95200,98350,100541.67,102125,102516.67,103741.67,93875,96458.33,99300,99783.33,96735.42",
"Mining Logging and Construction,2958.33,2900,2958.33,3225,3383.33,3683.33,4408.33,4508.33,4441.67,4500,4441.67,4750,5033.33,5050,4293.75",
"Manufacturing,4975,4841.67,5075,5408.33,5650,6183.33,6550,6583.33,6850,7075,6833.33,7466.67,7916.67,7816.67,6695.83","Durable Goods,2366.67,2383.33,2466.67,2575,2750,2950,3141.67,3225,3408.33,3725,3691.67,4175,4258.33,4358.33,3611.81, Non-Durable Goods,2608.33,2458.33,2608.33,2833.33,2900,3233.33,3408.33,3358.33,3441.67,3350,3141.67,3291.67,3658.33,3458.33,3084.03"
"Trade Transportation and Utilities,16391.67,16100,16166.67,16300,16575,16966.67,17308.33,17175,16775,16800,15708.33,16316.67,16650,16183.33,15927.78","Wholesale Trade,3541.67,3358.33,3350,3408.33,3475,3466.67,3383.33,3291.67,3375,3358.33,3258.33,3300,3508.33,3266.67,3227.78, Retail Trade,11375,11291.67,11416.67,11541.67,11766.67,12041.67,12383.33,12325,11841.67,11741.67,10750,11025,10991.67,10800,10915.97, Transportation Warehousing and Utilities,1475,1450,1400,1350,1333.33,1458.33,1541.67,1558.33,1558.33,1700,1700,1991.67,2150,2116.67,1784.03"
"Information,900,900,808.33,800,825,808.33,800,758.33,666.67,616.67,575,583.33,600,600,702.78",
"Financial Activities,3258.33,3091.67,3200,3408.33,3475,3541.67,3583.33,3550,3566.67,3433.33,3191.67,3216.67,3275,3258.33,3294.44","Finance and Insurance,1950,1866.67,1875,1966.67,2016.67,2050,2058.33,2033.33,2016.67,1925,1900,1900,1883.33,1900,1914.58, Real Estate and Rental and Leasing,1308.33,1225,1325,1441.67,1458.33,1491.67,1525,1516.67,1550,1508.33,1291.67,1316.67,1391.67,1358.33,1379.86"
"Professional and Business Services,9616.67,10058.33,10316.67,10258.33,10091.67,10333.33,10308.33,10641.67,10700,10933.33,10400,10600,10683.33,9850,9820.14",
"Private Education and Health Services,15050,15391.67,15783.33,16525,16866.67,17250,17333.33,17858.33,17783.33,17991.67,17058.33,17225,17691.67,18450,17901.39",
"Leisure and Hospitality,10875,11066.67,11658.33,12308.33,12966.67,13616.67,13875,14225,14466.67,14750,10266.67,11841.67,13950,14516.67,13597.92","Arts Entertainment and Recreation,1958.33,1866.67,1966.67,1975,2066.67,2225,2275,2383.33,2491.67,2600,1416.67,1733.33,2333.33,2633.33,2494.44, Accommodation and Food Services,8916.67,9200,9691.67,10333.33,10900,11391.67,11600,11841.67,11975,12150,8850,10108.33,11616.67,11883.33,11103.47"
"Other Services,3658.33,3608.33,3783.33,4066.67,4316.67,4533.33,4641.67,4966.67,5275,5258.33,4350,4300,4700,4741.67,4386.11",
"Government,20333.33,20258.33,20408.33,20633.33,21050,21433.33,21733.33,21858.33,21991.67,22383.33,21050,20158.33,18800,19316.67,20115.28","Federal Government,541.67,500,500,500,508.33,500,500,500,500,500,591.67,533.33,500,500,504.17, Total State and Local Government,19791.67,19758.33,19908.33,20133.33,20541.67,20933.33,21233.33,21358.33,21491.67,21883.33,20458.33,19625,18300,18816.67,19611.11"
