Category,Subcategories
"Civilian Unemployment,13508.33,12483.33,10933.33,8983.33,7266.67,5783.33,5191.67,4316.67,3716.67,3516.67,6525,5033.33,3383.33,3816.67,6989.58",
"Total Farm,691.67,775,800,850,933.33,933.33,891.67,908.33,941.67,825,825,858.33,958.33,975,870.83",
"Total Nonfarm,58475,57566.67,57975,59591.67,61191.67,62466.67,63933.33,64933.33,65933.33,67341.67,65758.33,67083.33,68641.67,70200,66066.67",
"Mining Logging and Construction,2708.33,2791.67,2700,2783.33,2775,2975,3133.33,3300,3483.33,3925,4358.33,4433.33,4366.67,4408.33,3829.86",
"Manufacturing,2275,2200,2150,2191.67,2266.67,2366.67,2491.67,2583.33,2625,2550,2541.67,2791.67,2941.67,2941.67,2615.28",
"Trade Transportation and Utilities,11925,11750,11766.67,11975,12225,12641.67,12841.67,12891.67,12808.33,12983.33,13025,13441.67,13475,13183.33,12503.47","Wholesale Trade,1516.67,1466.67,1533.33,1575,1650,1800,1808.33,1841.67,1808.33,1966.67,1891.67,1825,1691.67,1625,1578.47, Retail Trade,8675,8550,8533.33,8675,8816.67,9075,9250,9258.33,9108.33,9008.33,9075,9475,9566.67,9316.67,8912.5, Transportation Warehousing and Utilities,1733.33,1733.33,1700,1725,1758.33,1766.67,1783.33,1791.67,1891.67,2008.33,2058.33,2141.67,2216.67,2241.67,2012.5"
"Information,641.67,616.67,600,650,700,700,700,650,550,500,500,500,508.33,500,559.03",
"Financial Activities,2483.33,2416.67,2416.67,2491.67,2575,2558.33,2583.33,2658.33,2708.33,2766.67,2783.33,2833.33,2841.67,2775,2665.28",
"Professional and Business Services,4291.67,4175,4166.67,4408.33,4916.67,5183.33,5575,5666.67,6141.67,6116.67,5791.67,5783.33,6066.67,6316.67,5579.86",
"Private Education and Health Services,12908.33,12791.67,12883.33,13766.67,14108.33,14391.67,14758.33,14950,15075,15475,15233.33,15141.67,15641.67,16491.67,15479.86",
"Leisure and Hospitality,6116.67,5833.33,6291.67,6408.33,6600,6675,6700,6816.67,6791.67,7000,6050,6716.67,6991.67,6958.33,6629.17","Accommodation and Food Services,5208.33,4883.33,5416.67,5575,5750,5758.33,5775,5891.67,5858.33,6000,5308.33,5858.33,6075,6000,5602.78"
"Other Services,2316.67,2375,2525,2466.67,2383.33,2266.67,2316.67,2341.67,2458.33,2425,2266.67,2325,2408.33,2558.33,2522.22",
"Government,12808.33,12616.67,12475,12450,12641.67,12708.33,12833.33,13075,13291.67,13600,13208.33,13116.67,13400,14066.67,13682.64","Federal Government,1500,1383.33,1350,1291.67,1291.67,1308.33,1291.67,1291.67,1291.67,1283.33,1333.33,1291.67,1291.67,1350,1351.39, State & Local Government,11308.33,11233.33,11125,11158.33,11350,11400,11541.67,11783.33,12000,12316.67,11875,11825,12108.33,12716.67,12331.25"
