Category,Subcategories
"Mining Logging and Construction,457.5,447.5,461.67,511.67,502.5,508.33,495.83,531.67,599.17,605.83,624.17,694.17,746.67,715.83,607.57","Mining and Logging,123.33,125,148.33,189.17,189.17,175,135,138.33,164.17,146.67,156.67,172.5,177.5,158.33,145.42, Construction,334.17,322.5,313.33,322.5,313.33,333.33,360.83,393.33,435,459.17,467.5,521.67,569.17,557.5,462.15"
"Manufacturing,739.17,688.33,635,621.67,655,694.17,730,862.5,889.17,890.83,872.5,890,851.67,757.5,707.43","Durable Goods,590,550,506.67,490.83,533.33,548.33,599.17,722.5,747.5,743.33,703.33,704.17,657.5,573.33,543.4, Non-Durable Goods,149.17,138.33,128.33,130.83,121.67,145.83,133.33,138.33,142.5,149.17,169.17,185,196.67,183.33,164.86"
"Trade Transportation & Utilities,2005,1957.5,2005,2053.33,2107.5,2142.5,2133.33,2090.83,2085.83,2117.5,2121.67,2185,2174.17,2142.5,2099.86","Wholesale Trade,287.5,230.83,245.83,249.17,277.5,243.33,210,200.83,210,226.67,214.17,188.33,200.83,195.83,210.07, Retail Trade,1517.5,1495.83,1523.33,1510.83,1523.33,1576.67,1601.67,1590.83,1606.67,1626.67,1644.17,1713.33,1674.17,1613.33,1579.24, Transportation Warehousing and Utilities,200,230.83,235.83,293.33,306.67,322.5,320.83,300,268.33,265.83,265,285,305,334.17,312.22"
"Information,183.33,176.67,153.33,139.17,140.83,138.33,138.33,135.83,130,130.83,122.5,121.67,120,116.67,130.28",
"Financial Activities,374.17,364.17,345,318.33,307.5,289.17,284.17,282.5,294.17,303.33,300,284.17,293.33,276.67,299.93",
"Professional and Business Services,700.83,715.83,732.5,687.5,740.83,795,794.17,773.33,714.17,692.5,640.83,590,575.83,565.83,613.12",
"Private Education and Health Services,2001.67,1935.83,1820.83,2020.83,1992.5,2042.5,2101.67,2210.83,2215.83,2227.5,2143.33,2167.5,2278.33,2371.67,2234.31",
"Leisure and Hospitality,1625.83,1478.33,1521.67,1560,1593.33,1570,1751.67,1751.67,1656.67,1710,1409.17,1576.67,1695,1742.5,1656.6",
"Other Services,275.83,293.33,319.17,367.5,376.67,409.17,441.67,444.17,406.67,401.67,378.33,409.17,461.67,519.17,439.38",
"Government,4314.17,4417.5,4285,4125.83,4179.17,4271.67,4295,4247.5,4171.67,4191.67,4030,3826.67,3855,3955.83,4072.64","Federal Government,830.83,795.83,776.67,745,740,832.5,820.83,796.67,758.33,757.5,775.83,685.83,640,617.5,664.86, State & Local Government,3483.33,3621.67,3508.33,3380.83,3439.17,3439.17,3475.83,3450.83,3414.17,3434.17,3257.5,3140,3215.83,3337.5,3406.94"
