Category,Subcategories
"Civilian Unemployment,26025,24991.67,21975,18583.33,15408.33,12633.33,11433.33,9991.67,8250,7925,19683.33,14850,8608.33,9441.67,15190.28,,",
"Total Farm,1391.67,1408.33,1491.67,1666.67,1791.67,1775,1766.67,1716.67,1666.67,1466.67,1508.33,1583.33,1641.67,1433.33,1570.83,,",
"Total Nonfarm,118491.67,117991.67,120016.67,123366.67,126275,130691.67,134508.33,136850,140300,141958.33,131325,133833.33,139425,141550,134411.81,,",
"Mining Logging and Construction,7550,8175,8475,9000,8808.33,9416.67,10766.67,10908.33,11800,12775,11516.67,11883.33,12433.33,11941.67,10484.03,,",
"Mining and Logging,341.67,391.67,400,400,458.33,450,475,475,566.67,500,408.33,308.33,325,300,340.97,,",
"Construction,7208.33,7783.33,8075,8600,8350,8966.67,10291.67,10433.33,11233.33,12275,11108.33,11575,12108.33,11641.67,10143.06,,",
"Manufacturing,8508.33,8416.67,8666.67,8783.33,9441.67,10041.67,10125,10575,10900,11108.33,10900,10908.33,11225,11100,10009.72,,",
"Trade Transportation and Utilities,24666.67,24208.33,24750,24925,25841.67,26991.67,27200,27400,27833.33,27008.33,25750,26675,27166.67,27275,26232.64,,","Wholesale Trade,4125,4033.33,4200,4183.33,4341.67,4366.67,4141.67,4291.67,4425,4383.33,4108.33,3991.67,4108.33,4175,4181.94,,, Retail Trade,16391.67,16500,16941.67,17208.33,17491.67,18350,18591.67,18650,18650,17816.67,16700,17450,17575,17525,17127.78,,, Transportation Warehousing and Utilities,4150,3675,3608.33,3533.33,4008.33,4275,4466.67,4458.33,4758.33,4808.33,4941.67,5233.33,5483.33,5575,4922.92,,"
"Information,1283.33,1125,1125,1125,1100,1108.33,1058.33,1091.67,1133.33,1150,833.33,841.67,900,891.67,1004.86,,",
"Financial Activities,5216.67,5108.33,5041.67,5066.67,4833.33,4925,5108.33,5108.33,5200,5133.33,4950,4841.67,4750,4716.67,4905.56,,","Finance and Insurance,3808.33,3800,3725,3666.67,3483.33,3525,3566.67,3558.33,3575,3425,3350,3166.67,3000,2858.33,3173.61,,"
"Professional and Business Services,9000,8958.33,9041.67,9500,9558.33,9483.33,9241.67,9533.33,10116.67,10183.33,9650,10383.33,10883.33,10975,10471.53,,","Administrative and Support and Waste and Remediatio,4625,4658.33,4775,4983.33,4725,4850,4791.67,4825,5358.33,5591.67,5225,5450,5750,6058.33,5722.22,,"
"Private Education and Health Services,20775,20925,21575,23283.33,23983.33,25083.33,26583.33,27666.67,28366.67,29000,27933.33,27600,28516.67,29791.67,27295.14,,","Health Care and Social Assistance,19275,19450,20150,21791.67,22450,23541.67,24841.67,25766.67,26366.67,26916.67,26091.67,25783.33,26616.67,27866.67,25484.72,,"
"Leisure and Hospitality,13025,13150,13358.33,13741.67,14283.33,14750,15133.33,15216.67,15625,16125,12325,13575,15491.67,15991.67,14879.86,,","Accommodation and Food Services,10775,10641.67,10783.33,11308.33,11641.67,12025,12350,12450,12883.33,13391.67,11008.33,11925,13258.33,13608.33,12370.83,,, Restaurants and Other Eating Places,9475,9408.33,9566.67,10058.33,10416.67,10766.67,11133.33,11341.67,11683.33,12058.33,10100,10975,12083.33,12433.33,11318.75,,"
"Other Services,3583.33,3641.67,3883.33,3975,4000,4116.67,4141.67,4316.67,4450,4716.67,4041.67,4183.33,4666.67,4991.67,4598.61,,",
"Government,24883.33,24283.33,24100,23966.67,24425,24775,25150,25033.33,24875,24758.33,23425,22941.67,23391.67,23875,24529.86,,","Federal Government,4591.67,4225,3900,3750,3675,3716.67,3741.67,3683.33,3533.33,3575,3633.33,3641.67,3391.67,3300,3661.81,,, Total State and Local Government,20291.67,20058.33,20200,20216.67,20750,21058.33,21408.33,21350,21341.67,21183.33,19791.67,19300,20000,20575,20868.06,,"
