Category,Subcategories
"""Mining Logging and Construction"",9075,8800,8950,10133.33,10775,11808.33,12600,13275,15391.67,16733.33,16158.33,16250,16583.33,16366.67,13636.11,",
"Mining and Logging,200,200,200,241.67,266.67,200,200,175,200,200,200,200,200,200,209.03,,",
"Construction,8875,8600,8750,9891.67,10508.33,11608.33,12400,13100,15191.67,16533.33,15958.33,16050,16383.33,16166.67,13427.08,,","Specialty Trade Contractors,5483.33,5416.67,5700,6433.33,6866.67,7583.33,8108.33,8591.67,9825,10541.67,10425,10533.33,10691.67,10858.33,8991.67,,"
"Manufacturing,19941.67,20191.67,19658.33,20133.33,20675,21958.33,22658.33,22958.33,23375,23383.33,22308.33,22850,23608.33,22958.33,21625,,","Durable Goods,8925,9300,8550,8625,8391.67,8491.67,8458.33,8633.33,8958.33,8933.33,8791.67,8875,8975,8950,8740.97,,, Non-Durable Goods,11016.67,10891.67,11108.33,11508.33,12283.33,13466.67,14200,14325,14416.67,14450,13516.67,13975,14633.33,14008.33,12884.03,,"
"""Trade Transportation and Utilities"",31741.67,32166.67,33333.33,34875,35800,36150,36416.67,36525,36500,36066.67,34025,35025,35058.33,34383.33,34084.72","Wholesale Trade,6325,6341.67,6708.33,7100,7216.67,7158.33,7291.67,7375,7475,7583.33,7358.33,7458.33,7275,6825,6640.97,,, Retail Trade,21516.67,22000,22700,23658.33,24325,24725,24975,25133.33,24883.33,24241.67,22575,23125,23141.67,22966.67,23033.33,,, ""Transportation Warehousing and Utilities"",3900,3825,3925,4116.67,4258.33,4266.67,4150,4016.67,4141.67,4241.67,4091.67,4441.67,4641.67,4591.67,4410.42"
"Information,2491.67,2458.33,2566.67,2608.33,2700,2675,2708.33,2716.67,2666.67,2600,2291.67,2491.67,2600,2500,2477.08,,",
"Financial Activities,7666.67,7633.33,7375,7416.67,7650,8100,8425,8758.33,8900,8658.33,7550,7583.33,7925,7758.33,7761.81,,","Finance and Insurance,4908.33,4741.67,4591.67,4725,4816.67,5008.33,5225,5150,4933.33,4741.67,4516.67,4391.67,4350,4108.33,4356.94,,"
"Professional and Business Services,19133.33,18366.67,18491.67,19616.67,20425,20791.67,21200,22066.67,23241.67,23400,22675,23700,24491.67,24558.33,22252.78,,","""Professional Scientific and Technical Services"",9416.67,8491.67,8100,8333.33,8575,8708.33,8533.33,8741.67,9216.67,9500,9250,9850,9675,9566.67,9151.39, Management of Companies and Enterprises,1966.67,1933.33,1833.33,1991.67,2200,2266.67,2341.67,2425,2358.33,2150,2116.67,2141.67,2150,2216.67,2127.08,,, Administrative and Support and Waste and Remediatio,7750,7941.67,8558.33,9291.67,9650,9816.67,10325,10900,11666.67,11750,11308.33,11708.33,12666.67,12775,10974.31,,"
"Private Education and Health Services,25883.33,26208.33,27116.67,28683.33,31241.67,32075,33033.33,34116.67,34791.67,35758.33,34308.33,33975,34983.33,36516.67,33794.44,,","Health Care and Social Assistance,25883.33,26208.33,27116.67,28558.33,29183.33,30083.33,31008.33,32100,32683.33,33433.33,32333.33,32108.33,32958.33,34425,32379.17,,"
"Leisure and Hospitality,20100,20566.67,21800,22883.33,23908.33,24658.33,25366.67,25666.67,25666.67,25791.67,18658.33,21066.67,25083.33,25733.33,24363.19,,","Accommodation and Food Services,16975,17358.33,18533.33,19391.67,20450,21000,21583.33,21691.67,21683.33,21766.67,16083.33,18125,21325,21675,20684.03,,"
"Other Services,5908.33,6058.33,6250,6558.33,6758.33,6983.33,7225,7208.33,7075,7108.33,6008.33,6400,7200,7583.33,7152.78,,",
"Government,26800,28408.33,28025,28866.67,31225,31758.33,32283.33,32316.67,31066.67,29491.67,26100,25275,26375,27283.33,28210.42,,","Federal Government,1783.33,1558.33,1500,1366.67,1333.33,1308.33,1308.33,1350,1300,1316.67,1475,1300,1241.67,1291.67,1386.8,,, Total State and Local Government,25016.67,26850,26525,27500,29891.67,30450,30975,30966.67,29766.67,28175,24625,23975,25133.33,25991.67,26823.61,,, Local Government excluding Educational Services,8175,8266.67,8258.33,9166.67,10550,10466.67,10733.33,11100,11116.67,11125,10441.67,10800,10950,11441.67,10659.72,,"
