Category,Subcategories
"Mining Logging and Construction,5900,5791.67,6291.67,6975,7516.67,8450,8950,9333.33,10175,10466.67,9808.33,10700,11333.33,10775,9256.25",
"Manufacturing,20666.67,20683.33,20733.33,20858.33,21208.33,21325,21758.33,21433.33,21575,21508.33,21333.33,22000,23008.33,24291.67,23137.5","Non-Durable Goods,14816.67,14900,14683.33,14700,14925,15066.67,15600,15475,15791.67,15866.67,15791.67,16191.67,16983.33,18541.67,17393.75"
"Trade Transportation and Utilities,31600,32183.33,33475,34466.67,34783.33,35758.33,36783.33,36966.67,37441.67,37741.67,36800,37725,38883.33,38983.33,36559.03","Wholesale Trade,5875,5816.67,5833.33,5891.67,5825,5825,6000,6133.33,6316.67,6225,5916.67,5633.33,5641.67,5400,5536.81, Retail Trade,19500,19958.33,20816.67,21508.33,21758.33,22400,22741.67,23225,23191.67,22775,21900,22958.33,23133.33,22766.67,21903.47, Transportation Warehousing and Utilities,6225,6408.33,6825,7066.67,7200,7533.33,8041.67,7608.33,7933.33,8741.67,8983.33,9133.33,10108.33,10816.67,9118.75"
"Information,1200,1100,950,900,925,925,975,1000,1000,1000,783.33,791.67,800,766.67,856.25",
"Financial Activities,5450,5400,5416.67,5416.67,5275,5166.67,5325,5316.67,5300,5291.67,5066.67,4941.67,4983.33,4858.33,5004.86",
"Professional and Business Services,12491.67,12241.67,12808.33,13350,13750,14166.67,14591.67,14891.67,15383.33,15266.67,15091.67,15375,15200,14566.67,14003.47","Administrative and Support and Waste and Remediatio,6333.33,6266.67,6700,7058.33,7083.33,7216.67,7466.67,7616.67,8075,8100,8116.67,8400,8275,7716.67,7361.8"
"Private Education and Health Services,27791.67,27791.67,28150,28850,29916.67,30850,31208.33,32575,33633.33,34675,34583.33,34983.33,35550,37075,34566.67","Health Care and Social Assistance,26225,26116.67,26358.33,27025,28166.67,29266.67,29633.33,31033.33,32133.33,33275,33433.33,33750,34200,35675,32999.31"
"Leisure and Hospitality,14558.33,14458.33,14900,15766.67,16941.67,17766.67,18666.67,19150,19275,19225,15825,18150,20491.67,20883.33,18393.75",
"Other Services,5050,4850,4858.33,5000,5241.67,5308.33,5433.33,5733.33,5833.33,5900,5108.33,5525,5983.33,6133.33,5733.33",
"Government,26241.67,25658.33,25375,25483.33,26100,26666.67,27625,28316.67,29525,30341.67,28841.67,28433.33,29808.33,31166.67,29346.53","Federal Government,1008.33,900,891.67,833.33,800,800,800,800,800,800,850,725,700,658.33,777.78, Total State and Local Government,25233.33,24758.33,24483.33,24650,25300,25866.67,26825,27516.67,28725,29541.67,27991.67,27708.33,29108.33,30508.33,28568.75"
