Category,Subcategories
"Civilian Unemployment,944.17,913.33,792.5,624.17,494.17,401.67,355.83,300,268.33,255,373.33,288.33,211.67,260,487.36",
"Total Farm,26.67,29.17,27.5,28.33,31.67,23.33,17.5,10,11.67,13.33,27.5,38.33,30,29.17,28.61",
"Total Nonfarm,2742.5,2727.5,2787.5,2829.17,2943.33,3015,2991.67,2925.83,2872.5,2910.83,2793.33,2865,2915.83,2938.33,2924.17",
"Mining Logging and Construction,77.5,65.83,72.5,84.17,84.17,98.33,70,77.5,87.5,91.67,106.67,111.67,110.83,93.33,100.35",
"Manufacturing,160.83,158.33,175.83,193.33,195,214.17,223.33,219.17,200.83,195.83,196.67,193.33,180.83,179.17,178.61",
"Trade Transportation and Utilities,306.67,311.67,331.67,371.67,400.83,423.33,424.17,423.33,363.33,373.33,370.83,392.5,385.83,365.83,362.71",
"Financial Activities,51.67,50,50,50,47.5,47.5,50,47.5,41.67,43.33,40,45,41.67,40,45.76",
"Private Education and Health Services,241.67,224.17,185.83,255.83,265.83,270.83,275.83,271.67,278.33,281.67,270.83,238.33,236.67,256.67,256.94",
"Leisure and Hospitality,325.83,340.83,355.83,344.17,328.33,322.5,319.17,338.33,341.67,340,270,312.5,340,380.83,362.92",
"Government,1434.17,1445,1443.33,1377.5,1357.5,1339.17,1338.33,1300.83,1320.83,1331.67,1280,1318.33,1360,1375.83,1408.12","Federal Government,267.5,266.67,262.5,257.5,245.83,237.5,238.33,231.67,215,211.67,214.17,204.17,197.5,203.33,220, Total State and Local Government,1166.67,1178.33,1180.83,1120,1111.67,1101.67,1102.5,1071.67,1105.83,1118.33,1065,1112.5,1159.17,1171.67,1188.96"
