Category,Subcategories
"Mining and Logging,175.0,200.0,108.33,158.33,166.67,125.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,161.67",
"Construction,3491.67,3250.0,3075.0,3016.67,2950.0,3450.0,3600.0,3633.33,3808.33,4383.33,4616.67,5141.67,5516.67,5333.33,3156.67",
"Manufacturing,5208.33,4700.0,5025.0,5500.0,6166.67,6475.0,5833.33,6258.33,6675.0,6825.0,6500.0,6841.67,7483.33,6983.33,5320.0","Durable Goods,2466.67,2433.33,2633.33,2991.67,3641.67,3791.67,3450.0,3575.0,4000.0,3916.67,3250.0,3183.33,3483.33,3150.0,2833.33, Nondurable Goods,2741.67,2266.67,2391.67,2508.33,2525.0,2683.33,2383.33,2683.33,2675.0,2908.33,3250.0,3658.33,4000.0,3833.33,2486.67"
"""Trade Transportation & Utilities"",18283.33,18425.0,18183.33,18808.33,19208.33,19541.67,20091.67,20366.67,20966.67,21775.0,21975.0,23016.67,23700.0,22916.67,18581.66","Wholesale Trade,4216.67,4283.33,4300.0,4566.67,4483.33,4516.67,4783.33,4933.33,5016.67,5258.33,4725.0,4766.67,5208.33,4950.0,4370.0, Retail Trade,7691.67,7775.0,7591.67,7841.67,8116.67,8125.0,8241.67,8166.67,8275.0,8241.67,8016.67,8341.67,8275.0,8208.33,7803.34, ""Transportation Warehousing and Utilities"",6375.0,6366.67,6291.67,6400.0,6608.33,6900.0,7066.67,7266.67,7675.0,8275.0,9233.33,9908.33,10216.67,9758.33,6408.33"
"Information,1000.0,1000.0,1000.0,1058.33,1000.0,1041.67,1000.0,1000.0,916.67,866.67,733.33,766.67,775.0,700.0,1011.67",
"Financial Activities,3091.67,2866.67,2900.0,2800.0,2466.67,2458.33,2466.67,2466.67,2483.33,2541.67,2516.67,2416.67,2383.33,2391.67,2825.0","Finance & Insurance,1600.0,1558.33,1600.0,1475.0,1166.67,1100.0,1100.0,1091.67,1025.0,1041.67,1008.33,958.33,883.33,800.0,1480.0, Real Estate & Rental & Leasing,1491.67,1308.33,1300.0,1325.0,1300.0,1358.33,1366.67,1375.0,1458.33,1500.0,1508.33,1458.33,1500.0,1591.67,1345.0"
"Professional and Business Services,6866.67,7225.0,7708.33,7783.33,7983.33,8275.0,8941.67,9066.67,9141.67,9275.0,8983.33,9450.0,9525.0,9150.0,7513.33","""Professional Scientific & Technical Services"",3500.0,3891.67,4341.67,4150.0,4208.33,4033.33,3975.0,3850.0,4208.33,4150.0,4091.67,4425.0,4308.33,4225.0,4018.33, Management of Companies & Enterprises,1050.0,1008.33,900.0,1000.0,1025.0,1133.33,1175.0,1300.0,1100.0,1091.67,1100.0,1100.0,1175.0,1100.0,996.67, Administrative and Support and Waste and Remediatio,2316.67,2325.0,2466.67,2633.33,2750.0,3108.33,3791.67,3916.67,3833.33,4033.33,3791.67,3925.0,4041.67,3825.0,2498.33"
"Private Education and Health Services,8475.0,8350.0,8625.0,8958.33,9283.33,9600.0,9850.0,9925.0,10375.0,11183.33,10675.0,10783.33,11058.33,11683.33,8738.33",
"Leisure and Hospitality,6416.67,6316.67,6666.67,6758.33,7066.67,7450.0,7891.67,7883.33,7808.33,8125.0,6350.0,6950.0,7941.67,8341.67,6645.0","""Arts Entertainment and Recreation"",875.0,933.33,1050.0,975.0,958.33,1050.0,1158.33,1100.0,1108.33,1233.33,691.67,866.67,1141.67,1275.0,958.33, Accommodation & Food Services,5541.67,5383.33,5616.67,5783.33,6108.33,6400.0,6733.33,6783.33,6700.0,6891.67,5658.33,6083.33,6800.0,7066.67,5686.67"
"Other Services,1941.67,1983.33,2141.67,2200.0,2333.33,2266.67,2341.67,2233.33,2308.33,2333.33,2091.67,2291.67,2566.67,2641.67,2120.0",
"Government,36175.0,36008.33,36125.0,36491.67,37325.0,38158.33,39425.0,40200.0,41133.33,41650.0,38266.67,40308.33,39216.67,41025.0,36425.0","Federal Government,2258.33,2325.0,2308.33,2308.33,2325.0,2350.0,2433.33,2408.33,2375.0,2316.67,2358.33,2441.67,2558.33,2533.33,2305.0"
