Category,Subcategories
"Civilian Unemployment,5300,4983.33,4516.67,3750,3158.33,2583.33,2450,2141.67,1875,1833.33,3266.67,2600,1775,2125,3267.36",
"Total Farm,908.33,958.33,941.67,883.33,766.67,775,508.33,775,750,708.33,741.67,850,825,591.67,891.67",
"Total Nonfarm,14325,14675,15058.33,14925,15258.33,15600,16116.67,16966.67,17408.33,18166.67,18500,18791.67,19758.33,20200,14848.33",
"Mining Logging and Construction,691.67,683.33,700,608.33,708.33,750,766.67,975,1141.67,1316.67,1166.67,1141.67,1183.33,1475,678.33",
"Manufacturing,491.67,508.33,591.67,625,633.33,708.33,700,708.33,700,758.33,691.67,683.33,691.67,708.33,570",
"Trade Transportation & Utilities,2008.33,1925,2091.67,2141.67,2241.67,2250,2241.67,2433.33,2300,2216.67,2325,2508.33,2458.33,2300,2081.67","Wholesale Trade,200,175,175,200,233.33,200,200,283.33,200,291.67,300,341.67,216.67,141.67,196.67, Retail Trade,1241.67,1200,1275,1250,1333.33,1441.67,1450,1541.67,1525,1341.67,1425,1500,1508.33,1516.67,1260, Transportation Warehousing and Utilities,566.67,550,641.67,691.67,675,608.33,591.67,608.33,575,583.33,600,666.67,733.33,641.67,625"
"Information,200,200,200,200,200,100,100,100,100,100,100,100,91.67,100,200",
"Financial Activities,291.67,300,291.67,308.33,283.33,233.33,233.33,275,275,291.67,291.67,283.33,200,208.33,295",
"Professional and Business Services,791.67,883.33,891.67,908.33,891.67,925,1025,933.33,1058.33,991.67,1066.67,1075,1308.33,1316.67,873.33",
"Private Education and Health Services,2650,2666.67,2758.33,2775,2808.33,3016.67,3133.33,3500,3516.67,3725,3675,3633.33,3741.67,4050,2731.67",
"Leisure and Hospitality,1141.67,1216.67,1258.33,1400,1366.67,1366.67,1541.67,1516.67,1533.33,1458.33,1316.67,1541.67,1891.67,1816.67,1276.67",
"Other Services,316.67,325,358.33,300,350,383.33,400,425,375,408.33,383.33,383.33,325,200,330",
"Government,5741.67,5966.67,5916.67,5658.33,5775,5866.67,5975,6100,6408.33,6900,7483.33,7441.67,7866.67,8025,5811.67","Federal Government,1383.33,1383.33,1375,1341.67,1400,1458.33,1516.67,1525,1508.33,1516.67,1525,1508.33,1450,1458.33,1376.67"
