Category,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Civilian Unemployment,87333.33,80525,70333.33,58625,47500,39108.33,35791.67,31075,25733.33,25050,72991.67,49375,27458.33,33658.33,51126.39
Total Farm,733.33,700,658.33,550,500,450,475,608.33,616.67,666.67,725,966.67,850,791.67,628.33
Total Nonfarm,652858.33,661741.67,682141.67,701075,720133.33,748983.33,771433.33,789691.67,806833.33,814483.33,751225,776116.67,804050,812791.67,683590
Mining Logging and Construction,30308.33,30833.33,33283.33,35550,37600,40875,43041.67,45925,49041.67,49591.67,46650,48675,48416.67,47391.67,33515
Manufacturing,60150,62141.67,62325,64641.67,67508.33,72466.67,75008.33,79941.67,84716.67,85033.33,83658.33,91841.67,98283.33,97750,63353.33
Trade Transportation & Utilities,117800,119150,123250,127658.33,131300,135683.33,137900,138291.67,139733.33,138816.67,129366.67,134041.67,137208.33,137100,123831.67
Information,14333.33,14166.67,14491.67,14066.67,14683.33,16641.67,18233.33,18791.67,19966.67,20533.33,19900,18791.67,19141.67,18616.67,14348.33
Financial Activities,23333.33,24491.67,26066.67,28033.33,29058.33,29283.33,30333.33,28733.33,28008.33,28350,27033.33,27091.67,27075,27283.33,26196.67
Professional and Business Services,108133.33,111025,117258.33,118350,120350,125666.67,128733.33,130383.33,134025,136625,128908.33,134358.33,137841.67,135008.33,115023.33
Private Education and Health Services,105016.67,104575,108283.33,111025,111625,114491.67,117558.33,122150,123591.67,125958.33,121783.33,125116.67,128508.33,135825,108105
Leisure and Hospitality,54466.67,55966.67,58333.33,61883.33,65766.67,68366.67,70916.67,74116.67,76425,78000,53025,57866.67,68616.67,71141.67,59283.33
Other Services,23191.67,23341.67,23991.67,24808.33,24958.33,25450,26225,27191.67,27458.33,27491.67,22475,23800,25775,27191.67,24058.33
Government,116116.67,116041.67,114858.33,115058.33,117275,120058.33,123483.33,124166.67,123866.67,124083.33,118425,114533.33,113183.33,115483.33,115870
