Category,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Mining Logging and Construction,384.17,378.33,423.33,445.83,525.83,565,505.83,538.33,614.17,642.5,650.83,756.67,855.83,821.67,701.46
Manufacturing,618.33,673.33,757.5,770.83,810.83,842.5,811.67,833.33,839.17,847.5,607.5,668.33,761.67,798.33,778.4
Non-Durable Goods,389.17,430,479.17,505.83,555.83,574.17,590.83,603.33,595,589.17,420,484.17,567.5,605.83,556.67
Service-Providing,10129.17,9744.17,9388.33,9545,9699.17,9916.67,10396.67,10702.5,10754.17,11048.33,10322.5,10393.33,10495.83,10582.5,10312.15
Trade Transportation and Utilities,1685,1741.67,1754.17,1791.67,1795,1792.5,1785.83,1790,1793.33,1763.33,1755,1796.67,1766.67,1690,1716.46
Information,179.17,169.17,157.5,158.33,166.67,174.17,168.33,159.17,150,145,138.33,125,125,150,158.4
Financial Activities,281.67,276.67,275,277.5,277.5,286.67,277.5,270.83,270,264.17,245.83,242.5,245.83,245.83,259.03
Professional and Business Services,408.33,434.17,417.5,434.17,508.33,505,517.5,511.67,494.17,492.5,431.67,436.67,455.83,538.33,509.38
Private Education and Health Services,1390,1349.17,1346.67,1452.5,1485.83,1481.67,1550,1641.67,1675.83,1736.67,1685,1696.67,1611.67,1620,1542.85
Leisure and Hospitality,945,938.33,977.5,1024.17,1033.33,1079.17,1094.17,1219.17,1275.83,1249.17,1051.67,1214.17,1306.67,1232.5,1150.69
Other Services,202.5,225.83,226.67,248.33,234.17,252.5,280.83,289.17,280,288.33,292.5,295,338.33,394.17,345.62
Government,5037.5,4609.17,4233.33,4158.33,4198.33,4345,4732.5,4822.5,4815.83,5109.17,4725.83,4592.5,4649.17,4715.83,4629.72
