Category,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Mining Logging and Construction,573.33,580,582.5,640.83,648.33,701.67,762.5,815,916.67,898.33,920,985.83,979.17,994.17,855.42
Manufacturing,320.83,310.83,311.67,321.67,325,327.5,315.83,315.83,357.5,356.67,307.5,317.5,332.5,322.5,320
Trade Transportation and Utilities,1245,1273.33,1269.17,1353.33,1444.17,1552.5,1695.83,1653.33,1620.83,1680,1688.33,1857.5,2034.17,1999.17,1721.25
Information,110,109.17,104.17,109.17,107.5,106.67,106.67,100,99.17,92.5,83.33,75,80,80,91.67
Financial Activities,264.17,253.33,233.33,210.83,204.17,205.83,218.33,215,223.33,219.17,220.83,220.83,209.17,183.33,209.65
Professional and Business Services,352.5,350,355.83,425,439.17,485.83,557.5,541.67,527.5,601.67,614.17,580.83,655,545,485.21
Private Education and Health Services,914.17,888.33,874.17,979.17,1042.5,1078.33,1132.5,1179.17,1157.5,1224.17,1347.5,1389.17,1450.83,1516.67,1298.2
Leisure and Hospitality,1201.67,1198.33,1228.33,1251.67,1290.83,1362.5,1332.5,1406.67,1443.33,1492.5,1230.83,1445.83,1590,1481.67,1445.07
Other Services,335,340.83,341.67,342.5,350,383.33,368.33,364.17,374.17,389.17,340.83,333.33,370,387.5,370.83
Government,2547.5,2446.67,2380.83,2444.17,2483.33,2581.67,2596.67,2634.17,2703.33,2698.33,2679.17,2601.67,2705,2774.17,2666.04
