Category,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Civilian Unemployment,2465,2455.83,2370.83,2155,1949.17,1709.17,1702.5,1550,1433.33,1415,1745,1334.17,1200.83,1372.5,1949.65
Total Farm,2422.5,2475.83,2276.67,2397.5,2347.5,2582.5,2615.83,2805,2939.17,3133.33,2850.83,2900,2408.33,2444.17,2365.83
Total Nonfarm,6231.67,5990.83,6151.67,6335.83,6440.83,6496.67,6423.33,6392.5,6481.67,6580.83,6226.67,6692.5,6795,7027.5,6810.9
Mining Logging and Construction,555.83,117.5,151.67,93.33,80.83,89.17,105,114.17,119.17,129.17,103.33,119.17,129.17,131.67,170.76
Manufacturing,732.5,860,969.17,1049.17,1295,1363.33,1220,1230,1151.67,1239.17,1259.17,1252.5,975,941.67,952.99
Service-Providing,4943.33,5013.33,5030.83,5193.33,5065,5044.17,5099.17,5050,5210,5214.17,4866.67,5322.5,5691.67,5953.33,5687.15
Private Service Providing - Residual,379.17,433.33,337.5,328.33,305,300,336.67,311.67,283.33,255,181.67,305,430,455.83,436.11
Trade Transportation and Utilities,1224.17,1307.5,1375,1455,1324.17,1295,1365,1382.5,1397.5,1410,1417.5,1520.83,1530,1665,1541.32
Financial Activities,180,167.5,170,160.83,150,142.5,134.17,129.17,139.17,143.33,139.17,132.5,130,130.83,149.03
Private Education and Health Services,470,464.17,450.83,516.67,535.83,568.33,459.17,377.5,560,628.33,664.17,745,820,875.83,758.12
Leisure and Hospitality,601.67,580.83,605.83,614.17,608.33,583.33,590.83,585,587.5,588.33,494.17,543.33,592.5,580,605.07
Government,2088.33,2060,2091.67,2118.33,2141.67,2155,2213.33,2265,2241.67,2191.67,1973.33,2079.17,2191.67,2246.67,2200
