Category,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Civilian Unemployment,59008.33,55366.67,48591.67,40733.33,33633.33,27575,24808.33,21558.33,18025,17466.67,49141.67,34625,19600,22766.67,34919.44
Total Farm,708.33,825,791.67,825,783.33,716.67,825,775,708.33,750,733.33,708.33,1050,1108.33,786.67
Total Nonfarm,317416.67,318341.67,326766.67,337008.33,343425,350050,363350,369550,372258.33,374466.67,345041.67,355183.33,373108.33,375175,328591.67
Mining Logging and Construction,18258.33,17758.33,19641.67,21700,21800,22791.67,25350,25500,26100,26075,24300,25825,27216.67,28041.67,19831.67
Manufacturing,18466.67,17600,17566.67,15408.33,15275,15000,14858.33,15583.33,15683.33,15991.67,15025,13925,13991.67,14116.67,16863.33
Trade Transportation & Utilities,55941.67,56508.33,57425,58716.67,60358.33,62466.67,64858.33,65233.33,64158.33,61941.67,58941.67,61858.33,64975,64275,57790
Information,9608.33,8950,8433.33,8591.67,8325,8291.67,8116.67,7983.33,7816.67,7075,5925,5933.33,5858.33,5625,8781.67
Financial Activities,25341.67,24808.33,25333.33,25308.33,25016.67,26258.33,26950,27366.67,26991.67,27016.67,25608.33,24858.33,24883.33,23450,25161.67
Professional and Business Services,43775,45941.67,48141.67,52058.33,53158.33,50891.67,52108.33,54283.33,55266.67,56583.33,55933.33,56375,57625,54516.67,48615
Private Education and Health Services,53741.67,54341.67,56425,59508.33,61450,64116.67,67291.67,69341.67,70683.33,72408.33,69533.33,73383.33,77291.67,80666.67,57093.33
Leisure and Hospitality,31308.33,32258.33,33500,35350,36291.67,38258.33,40500,40741.67,41258.33,42958.33,31666.67,34633.33,39700,40958.33,33741.67
Other Services,11766.67,12350,12358.33,12141.67,12533.33,12683.33,12958.33,13041.67,13491.67,13675,10666.67,11800,13391.67,14125,12230
Government,49208.33,47825,47941.67,48225,49216.67,49291.67,50358.33,50475,50808.33,50741.67,47441.67,46591.67,48175,49400,48483.33
