Main Category,2010_Average,2011_Average,2012_Average,2013_Average,2014_Average,2015_Average,2016_Average,2017_Average,2018_Average,2019_Average,2020_Average,2021_Average,2022_Average,2023_Average,2024_Average
"""Mining Logging and Construction""",174.17,150.0,155.83,160.0,140.0,151.67,160.83,171.67,189.17,199.17,208.33,218.33,228.33,230.0,194.17
Manufacturing,101.67,108.33,74.17,77.5,70.83,76.67,97.5,121.67,136.67,152.5,142.5,158.33,167.5,163.33,127.71
"""Trade Transportation & Utilities""",1086.67,1114.17,1049.17,1060.83,1013.33,1015.83,1035.83,1020.0,1002.5,986.67,1007.5,1085.0,1148.33,1165.83,1137.85
Information,93.33,85.0,85.0,85.0,78.33,80.0,82.5,80.0,71.67,68.33,58.33,53.33,64.17,60.0,69.72
Financial Activities,183.33,184.17,188.33,193.33,183.33,185.83,181.67,180.0,170.83,164.17,155.0,143.33,140.83,138.33,159.37
Professional and Business Services,174.17,326.67,185.83,192.5,210.83,209.17,224.17,210.83,185.0,170.83,159.17,169.17,160.0,175.0,204.17
Private Education and Health Services,1486.67,1386.67,1299.17,1424.17,1423.33,1402.5,1406.67,1521.67,1595.0,1636.67,1611.67,1585.0,1570.0,1673.33,1597.5
Leisure and Hospitality,760.83,730.83,738.33,765.83,748.33,763.33,816.67,886.67,920.0,950.83,716.67,796.67,841.67,820.83,751.18
Other Services,98.33,111.67,125.0,131.67,120.83,98.33,94.17,106.67,105.83,97.5,105.83,109.17,135.0,114.17,117.29
Government,3910.83,3830.0,3760.0,3662.5,3674.17,3837.5,3819.17,3720.83,3767.5,3755.83,3583.33,3601.67,3680.83,3749.17,3641.46
