Main Category,2010_Average,2011_Average,2012_Average,2013_Average,2014_Average,2015_Average,2016_Average,2017_Average,2018_Average,2019_Average,2020_Average,2021_Average,2022_Average,2023_Average,2024_Average
Mining and Logging,100.0,100.0,100.0,100.0,100.0,125.0,100.0,100.0,100.0,116.67,166.67,191.67,183.33,100.0,100.0
Construction,2983.33,2991.67,3108.33,3325.0,3475.0,3650.0,4083.33,4766.67,5983.33,6250.0,5858.33,6066.67,6308.33,6291.67,3176.67
Manufacturing,1600.0,1550.0,1508.33,1625.0,1708.33,2558.33,2616.67,2550.0,2533.33,2525.0,2458.33,2566.67,2750.0,2883.33,1598.33
"""Trade Transportation & Utilities""",6725.0,6766.67,6816.67,7008.33,7000.0,7108.33,7450.0,7541.67,7833.33,7933.33,8008.33,8341.67,8433.33,8266.67,6863.33
Information,500.0,400.0,500.0,500.0,500.0,516.67,600.0,600.0,600.0,591.67,533.33,566.67,591.67,566.67,480.0
Financial Activities,3466.67,3508.33,3708.33,3900.0,3966.67,4158.33,4091.67,4291.67,4225.0,3525.0,3466.67,3508.33,3450.0,3408.33,3710.0
Professional and Business Services,5716.67,5608.33,5583.33,5425.0,5341.67,4975.0,5441.67,6125.0,6166.67,6441.67,5841.67,6383.33,6116.67,5891.67,5535.0
Private Education and Health Services,6475.0,6725.0,7025.0,7558.33,7583.33,3883.33,375.0,7983.33,8491.67,8808.33,8441.67,8508.33,8733.33,9108.33,7073.33
Leisure and Hospitality,7208.33,7358.33,7516.67,8041.67,8391.67,8766.67,9033.33,9650.0,9475.0,9525.0,7483.33,8366.67,9525.0,9600.0,7703.33
Other Services,1658.33,1600.0,1691.67,1750.0,1833.33,1858.33,1850.0,1941.67,1983.33,2000.0,1741.67,1708.33,1908.33,2050.0,1706.67
Government,10825.0,10458.33,10308.33,10291.67,10500.0,10825.0,10908.33,10808.33,10933.33,11033.33,10350.0,10241.67,10500.0,10966.67,10476.67
