Category,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Civilian Unemployment,11408.33,10675,9233.33,7600,6200,5050,4575,3958.33,3308.33,3275,7691.67,5316.67,3200,3700,6251.39
Total Farm,291.67,291.67,375,516.67,541.67,483.33,258.33,316.67,316.67,325,333.33,308.33,341.67,341.67,403.34
Total Nonfarm,47258.33,47066.67,47866.67,49525,50400,48425,46550,56358.33,58325,58750,54350,56450,58500,59133.33,48423.33
Mining and Logging,100,100,100,100,100,125,100,100,100,116.67,166.67,191.67,183.33,100,100
Construction,2983.33,2991.67,3108.33,3325,3475,3650,4083.33,4766.67,5983.33,6250,5858.33,6066.67,6308.33,6291.67,3176.67
Manufacturing,1600,1550,1508.33,1625,1708.33,2558.33,2616.67,2550,2533.33,2525,2458.33,2566.67,2750,2883.33,1598.33
Trade Transportation & Utilities,6725,6766.67,6816.67,7008.33,7000,7108.33,7450,7541.67,7833.33,7933.33,8008.33,8341.67,8433.33,8266.67,6863.33
Information,500,400,500,500,500,516.67,600,600,600,591.67,533.33,566.67,591.67,566.67,480
Financial Activities,3466.67,3508.33,3708.33,3900,3966.67,4158.33,4091.67,4291.67,4225,3525,3466.67,3508.33,3450,3408.33,3710
Professional and Business Services,5716.67,5608.33,5583.33,5425,5341.67,4975,5441.67,6125,6166.67,6441.67,5841.67,6383.33,6116.67,5891.67,5535
Private Education and Health Services,6475,6725,7025,7558.33,7583.33,3883.33,375,7983.33,8491.67,8808.33,8441.67,8508.33,8733.33,9108.33,7073.33
Leisure and Hospitality,7208.33,7358.33,7516.67,8041.67,8391.67,8766.67,9033.33,9650,9475,9525,7483.33,8366.67,9525,9600,7703.33
Other Services,1658.33,1600,1691.67,1750,1833.33,1858.33,1850,1941.67,1983.33,2000,1741.67,1708.33,1908.33,2050,1706.67
Government,10825,10458.33,10308.33,10291.67,10500,10825,10908.33,10808.33,10933.33,11033.33,10350,10241.67,10500,10966.67,10476.67
