Main Category,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
"""Mining Logging and Construction""",2100.0,2133.33,2058.33,1958.33,1941.67,2066.67,2066.67,2333.33,2491.67,2566.67,2541.67,2641.67,2791.67,2883.33,2549.31
Mining and Logging,375.0,383.33,358.33,358.33,341.67,316.67,316.67,383.33,408.33,391.67,350.0,350.0,350.0,366.67,376.39
Construction,1725.0,1750.0,1700.0,1600.0,1600.0,1750.0,1750.0,1950.0,2083.33,2175.0,2191.67,2291.67,2441.67,2516.67,2172.92
Manufacturing,2125.0,2075.0,2000.0,2058.33,2075.0,2033.33,2066.67,2041.67,2108.33,2200.0,2100.0,2441.67,2400.0,2366.67,2236.11
Service-Providing,42683.33,41766.67,41850.0,42183.33,42825.0,43683.33,44716.67,45458.33,45941.67,46083.33,41916.67,41925.0,43933.33,44875.0,44117.36
"""Trade Transportation and Utilities""",9116.67,8916.67,9166.67,9200.0,9258.33,9375.0,9541.67,9591.67,9400.0,9283.33,8608.33,8666.67,8741.67,8458.33,8746.53
Information,600.0,591.67,516.67,500.0,500.0,500.0,425.0,408.33,400.0,400.0,325.0,300.0,333.33,300.0,400.7
Financial Activities,1658.33,1616.67,1600.0,1600.0,1591.67,1625.0,1650.0,1700.0,1775.0,1816.67,1700.0,1666.67,1750.0,1700.0,1647.22
Professional and Business Services,2900.0,2716.67,2650.0,2633.33,2575.0,2700.0,2750.0,2925.0,3325.0,3566.67,3316.67,3166.67,2916.67,2875.0,2772.92
Private Education and Health Services,7700.0,7566.67,7441.67,7766.67,8000.0,8108.33,8483.33,8775.0,8908.33,8916.67,8375.0,8250.0,8608.33,9108.33,8581.25
Leisure and Hospitality,5183.33,4991.67,5133.33,5125.0,5275.0,5566.67,5833.33,5808.33,5766.67,5633.33,4325.0,4825.0,5425.0,5383.33,5292.36
Other Services,1883.33,1866.67,1841.67,1916.67,1891.67,1883.33,1816.67,1900.0,2000.0,2025.0,1866.67,1900.0,2075.0,2233.33,2141.67
Government,13641.67,13500.0,13500.0,13441.67,13733.33,13925.0,14166.67,14325.0,14366.67,14475.0,13466.67,13083.33,14050.0,14808.33,14501.39
