Category,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Civilian Unemployment,23241.67,23300,21991.67,19766.67,19008.33,18891.67,18175,14166.67,13350,15241.67,16183.33,12025,10425,12658.33,16192.36
Total Farm,9091.67,10366.67,10750,11050,12300,13250,12058.33,12308.33,11725,11250,10358.33,10700,9933.33,9383.33,10238.2
Total Nonfarm,48908.33,48725,49825,51175,51725,51500,51475,52550,53233.33,54225,51300,53133.33,56375,58016.67,55296.53
Mining Logging and Construction,1241.67,1350,1541.67,2025,2341.67,2550,1816.67,1783.33,1783.33,1916.67,1866.67,1950,2058.33,2008.33,1916.67
Manufacturing,2675,2625,2700,2483.33,1675,1116.67,1183.33,1475,1566.67,1750,1983.33,2141.67,2283.33,2358.33,2354.86
Trade Transportation and Utilities,10358.33,10450,10858.33,11208.33,11900,12066.67,11975,11950,11991.67,11908.33,11066.67,11991.67,12391.67,12458.33,11864.58
Information,400,400,391.67,308.33,300,300,300,300,300,300,225,200,200,200,266.67
Financial Activities,1316.67,1300,1400,1500,1500,1458.33,1350,1300,1300,1225,1141.67,1125,1141.67,1200,1284.72
Professional and Business Services,2750,2825,2991.67,2950,2925,2791.67,2883.33,3133.33,3100,2950,2741.67,2858.33,3091.67,3216.67,3170.14
Private Education and Health Services,7700,7458.33,7600,8316.67,8358.33,8333.33,8508.33,8833.33,9158.33,9733.33,9716.67,9533.33,10241.67,11150,10102.78
Leisure and Hospitality,3325,3358.33,3625,3875,4033.33,4158.33,4366.67,4383.33,4258.33,4375,3408.33,4000,4366.67,4391.67,4126.39
Other Services,700,816.67,800,800,800,825,850,908.33,900,925,833.33,941.67,1108.33,1125,993.06
Government,18441.67,18141.67,17916.67,17708.33,17891.67,17900,18241.67,18483.33,18875,19141.67,18316.67,18391.67,19491.67,19908.33,19216.67
