Category,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Civilian Unemployment,59675,57591.67,52266.67,46641.67,41275,40091.67,40416.67,35583.33,31166.67,30441.67,49525,38200,27441.67,32758.33,43229.17
Total Farm,44575,48216.67,53758.33,59150,59816.67,58808.33,62125,61375,61491.67,62133.33,58366.67,60575,60350,56058.33,53576.39
Total Nonfarm,229808.33,236533.33,245525,250008.33,255816.67,257091.67,255491.67,258800,266408.33,273025,260925,270866.67,286233.33,290558.33,271332.64
Mining Logging and Construction,22541.67,25575,29541.67,29758.33,31075,27891.67,23525,23558.33,25233.33,25875,23375,22941.67,24475,24075,25207.64
Mining and Logging,9825,11608.33,12841.67,12508.33,12900,11408.33,8983.33,8616.67,9308.33,9558.33,7950,7441.67,7800,7800,9423.61
Construction,12716.67,13966.67,16700,17250,18175,16483.33,14541.67,14941.67,15925,16316.67,15425,15500,16675,16275,15784.03
Manufacturing,13000,13100,13475,14058.33,14575,14150,13541.67,13391.67,13166.67,12925,12325,12200,12500,12433.33,12934.03
Service-Providing,194266.67,197858.33,202508.33,206191.67,210166.67,215050,218425,221850,228008.33,234225,225225,235725,249258.33,254050,233190.97
Trade Transportation and Utilities,42308.33,43791.67,45391.67,47516.67,49433.33,50716.67,51141.67,51633.33,53291.67,52858.33,52791.67,59700,63191.67,61608.33,54111.81
Information,2691.67,2616.67,2675,2541.67,2383.33,2683.33,2166.67,2033.33,2033.33,1908.33,1525,1541.67,1625,1708.33,2067.36
Financial Activities,7791.67,7883.33,8316.67,8383.33,8233.33,8091.67,7916.67,7825,7766.67,7725,7533.33,7641.67,7583.33,7525,7792.36
Professional and Business Services,24166.67,25783.33,27041.67,26758.33,26383.33,25891.67,25500,25108.33,26133.33,27366.67,26441.67,26008.33,27041.67,26991.67,26936.11
Private Education and Health Services,29558.33,30133.33,31450,32266.67,32575,33433.33,34783.33,36433.33,38091.67,40925,40800,41633.33,44333.33,47525,41490.28
Leisure and Hospitality,20491.67,20716.67,21633.33,22800,23691.67,25041.67,25458.33,25858.33,26708.33,27558.33,23216.67,26508.33,29425,29933.33,26277.78
Other Services,6625,6783.33,7216.67,7483.33,7775,7683.33,7658.33,7725,7916.67,8275,7391.67,7891.67,8808.33,8975,8290.28
Government,60633.33,60150,58783.33,58441.67,59691.67,61508.33,63800,65233.33,66066.67,67608.33,65525,64800,67250,69783.33,66225
