Category,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
"""Mining Logging and Construction""",858.33,883.33,791.67,808.33,775,916.67,916.67,925,1008.33,1008.33,983.33,1016.67,1150,1191.67,1043.06
Manufacturing,4116.67,4325,4400,4475,4641.67,4875,4825,4866.67,4850,4916.67,4591.67,4508.33,4700,4716.67,4721.53
"""Trade Transportation and Utilities""",5191.67,5325,5475,5741.67,5891.67,5950,6258.33,6675,6991.67,6891.67,6366.67,6500,6650,6525,5985.42
Information,200,200,200,200,200,216.67,200,200,200,200,150,200,200,200,200
Financial Activities,941.67,958.33,1000,908.33,975,983.33,900,958.33,933.33,900,900,900,883.33,850,865.28
Professional and Business Services,1650,1241.67,1333.33,1333.33,1383.33,1266.67,1275,1241.67,1200,1233.33,1208.33,1266.67,1741.67,1791.67,1703.47
Private Education and Health Services,5491.67,5550,5658.33,5875,5966.67,6083.33,5983.33,6250,6383.33,6658.33,6441.67,6533.33,6766.67,7608.33,7053.47
Leisure and Hospitality,2708.33,2775,2783.33,2941.67,3050,3250,3333.33,3300,3558.33,3641.67,3391.67,3891.67,4183.33,4091.67,3488.19
Other Services,500,541.67,558.33,575,600,616.67,641.67,675,650,675,658.33,716.67,783.33,700,639.58
Government,14950,14783.33,14558.33,14275,14250,14525,14658.33,14716.67,14866.67,15125,14300,13991.67,14466.67,15033.33,14959.72
