Category,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Civilian Unemployment,4619.17,4372.5,3826.67,3220,2645.83,2216.67,1959.17,1704.17,1540.83,1488.33,2775.83,2165.83,1434.17,1660.83,2616.18
Total Farm,1058.33,1148.33,1121.67,1094.17,1067.5,1055,1084.17,1035,977.5,1028.33,919.17,908.33,883.33,939.17,1053.33
Total Nonfarm,13557.5,13479.17,13777.5,14141.67,14640.83,14855.83,15247.5,15726.67,15804.17,15998.33,15105.83,15530.83,16090.83,16245,15340.56
Mining Logging and Construction,382.5,343.33,362.5,376.67,446.67,495,626.67,715.83,798.33,863.33,830,883.33,885,852.5,677.64
Manufacturing,283.33,280.83,275.83,274.17,305.83,326.67,336.67,330.83,357.5,372.5,348.33,341.67,349.17,344.17,325.83
Trade Transportation and Utilities,2630.83,2671.67,2687.5,2776.67,2852.5,2865,2860,2883.33,2878.33,2940,2928.33,3200,3070,2917.5,2805.76
Information,128.33,140,153.33,145.83,138.33,127.5,122.5,115,101.67,96.67,90,85,88.33,85,103.82
Financial Activities,354.17,361.67,365,387.5,391.67,378.33,380.83,386.67,372.5,355,326.67,342.5,332.5,324.17,341.67
Professional and Business Services,590,579.17,592.5,593.33,595,526.67,567.5,622.5,625.83,638.33,668.33,714.17,731.67,760,677.5
Private Education and Health Services,3582.5,3579.17,3756.67,4027.5,4255,4353.33,4400.83,4594.17,4626.67,4693.33,4447.5,4336.67,4699.17,4883.33,4520.9
Leisure and Hospitality,1128.33,1110,1109.17,1025,1045.83,1074.17,1121.67,1161.67,1173.33,1190.83,1025,1152.5,1226.67,1152.5,1129.86
Other Services,366.67,496.67,528.33,520,545.83,528.33,518.33,549.17,546.67,535.83,523.33,535.83,545.83,584.17,548.96
Government,4110.83,3916.67,3946.67,4015,4064.17,4180.83,4320.83,4380,4329.17,4321.67,3922.5,3951.67,4164.17,4349.17,4212.78
