Category,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Mining Logging and Construction,169.17,170.83,162.5,189.17,200,200.83,224.17,222.5,245.83,240,262.5,247.5,250.83,232.5,210.97
Manufacturing,13.33,25.83,20,17.5,13.33,19.17,10,10,7.5,10,20,45,53.33,42.5,36.67
Trade Transportation and Utilities,1018.33,950.83,955,939.17,971.67,1025.83,1048.33,1045.83,1051.67,1035.83,1026.67,1076.67,1045.83,999.17,971.25
Information,93.33,83.33,76.67,90.83,81.67,89.17,114.17,102.5,91.67,95,62.5,55,55,57.5,70.49
Financial Activities,152.5,138.33,148.33,148.33,152.5,146.67,148.33,149.17,142.5,134.17,127.5,128.33,123.33,113.33,125.83
Professional and Business Services,157.5,175.83,187.5,215.83,199.17,172.5,156.67,176.67,186.67,213.33,238.33,242.5,238.33,249.17,228.82
Private Education and Health Services,1021.67,1015.83,938.33,973.33,963.33,945.83,900.83,888.33,882.5,890,860.83,894.17,970,1082.5,1077.71
Leisure and Hospitality,616.67,609.17,584.17,609.17,660.83,672.5,616.67,580,563.33,580,470,471.67,478.33,479.17,540
Other Services,177.5,140.83,130.83,202.5,294.17,310.83,204.17,139.17,139.17,137.5,140,150,145,156.67,172.15
Government,6735.83,6471.67,6271.67,6074.17,5980,6141.67,6154.17,6141.67,6071.67,6084.17,6035.83,5849.17,5444.17,5124.17,5579.44
