Category,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
"""Mining Logging and Construction""",1133.33,1058.33,1125.0,1241.67,1316.67,1541.67,1783.33,1816.67,1916.67,1941.67,1983.33,2175.0,2216.67,2250.0,1872.92
Manufacturing,3025.0,3266.67,3633.33,3641.67,3808.33,3558.33,3500.0,3491.67,3600.0,3650.0,3333.33,3275.0,3341.67,3325.0,3414.58
"""Trade Transportation"," and Utilities""",4766.67,4608.33,4850.0,5150.0,5291.67,5416.67,5541.67,5541.67,5725.0,5766.67,5858.33,6125.0,6325.0,6616.67
Information,400.0,400.0,366.67,400.0,400.0,383.33,316.67,300.0,308.33,300.0,283.33,300.0,300.0,300.0,338.89
Financial Activities,708.33,700.0,758.33,808.33,800.0,775.0,775.0,733.33,708.33,783.33,733.33,741.67,800.0,758.33,781.25
Professional and Business Services,2625.0,2616.67,2816.67,2766.67,2516.67,2216.67,2416.67,2483.33,2433.33,2700.0,2775.0,2900.0,3241.67,2991.67,2928.47
Private Education and Health Services,6991.67,7116.67,7258.33,7550.0,7625.0,7691.67,7791.67,8266.67,8633.33,8800.0,8825.0,9100.0,9283.33,8983.33,8486.81
Leisure and Hospitality,2533.33,2541.67,2725.0,2875.0,3016.67,3066.67,3258.33,3433.33,3541.67,3733.33,3316.67,3716.67,4125.0,4191.67,3632.64
Other Services,841.67,825.0,808.33,900.0,1008.33,1041.67,966.67,900.0,941.67,1066.67,950.0,1075.0,1108.33,1183.33,1065.28
Government,10633.33,10383.33,10100.0,9716.67,9783.33,9158.33,10350.0,10733.33,10983.33,11175.0,10791.67,10941.67,11583.33,12183.33,11643.06
