Category,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Mining Logging and Construction,4841.67,4950,5308.33,5691.67,6075,6458.33,6800,7191.67,7716.67,7725,7291.67,7600,7758.33,7616.67,6588.89
Manufacturing,2116.67,2175,2425,2908.33,3400,3833.33,4216.67,4466.67,4733.33,4850,4600,4391.67,4216.67,4283.33,3593.75
Trade Transportation and Utilities,16525,16508.33,16966.67,17466.67,17950,18033.33,18200,18425,18458.33,18333.33,17300,17450,17483.33,17308.33,17309.72
Information,2225,2733.33,2883.33,2925,2783.33,2866.67,2850,2741.67,2666.67,2633.33,2550,2658.33,2825,2866.67,2762.5
Financial Activities,6400,6325,6366.67,6575,6475,6016.67,5966.67,5566.67,5483.33,5441.67,5183.33,5025,5175,5266.67,5670.14
Professional and Business Services,18275,17683.33,18491.67,18591.67,18041.67,18216.67,18250,17950,18133.33,18650,17541.67,17666.67,18208.33,17958.33,18056.94
Private Education and Health Services,17275,17808.33,18508.33,19400,19666.67,20141.67,20633.33,20958.33,21016.67,21058.33,19358.33,19975,20366.67,21441.67,20704.86
Leisure and Hospitality,12191.67,12650,13233.33,14433.33,15116.67,15366.67,16050,16458.33,16150,15983.33,11225,12108.33,13950,14533.33,14085.42
Other Services,4966.67,4758.33,4983.33,5150,5216.67,5241.67,5500,5716.67,5700,5741.67,4758.33,4841.67,5325,5625,5506.25
Government,15008.33,15983.33,15475,15375,15433.33,15450,15508.33,15725,16008.33,15816.67,14758.33,14516.67,14808.33,15333.33,15714.58
