Main Category,2010_Average,2011_Average,2012_Average,2013_Average,2014_Average,2015_Average,2016_Average,2017_Average,2018_Average,2019_Average,2020_Average,2021_Average,2022_Average,2023_Average,2024_Average
"""Mining Logging and Construction""",120,125.83,132.5,150,165.83,175.83,169.17,190,200,218.33,210,233.33,226.67,243.33,202.01
Mining and Logging,12.5,14.17,14.17,16.67,21.67,17.5,18.33,18.33,19.17,20.83,17.5,17.5,17.5,25,19.1
Construction,107.5,111.67,118.33,133.33,144.17,158.33,150.83,171.67,180.83,197.5,192.5,215.83,209.17,218.33,182.92
Manufacturing,125,124.17,117.5,103.33,104.17,99.17,96.67,90.83,79.17,85.83,79.17,88.33,95.83,103.33,117.85
"""Trade Transportation and Utilities""",330.83,333.33,329.17,350.83,395,390,407.5,445,469.17,440.83,389.17,383.33,383.33,407.5,379.93
Professional and Business Services,165.83,167.5,160,135,121.67,130,130,144.17,158.33,201.67,209.17,183.33,173.33,165,155
Private Education and Health Services,242.5,241.67,280.83,366.67,378.33,390,420.83,448.33,465,467.5,485,497.5,483.33,500,394.17
Leisure and Hospitality,2128.33,2084.17,1986.67,2010.83,2030.83,2095.83,1766.67,1802.5,1798.33,1836.67,1375,1445.83,1784.17,1910.83,2107.57
Private Service Providing - Residual,110,137.5,170,225,214.17,221.67,235.83,231.67,237.5,257.5,216.67,225.83,292.5,307.5,191.39
Government,2184.17,2141.67,2053.33,1958.33,1942.5,1955,1975,2025,2032.5,2060,1940.83,1938.33,1965.83,2072.5,2050.83
