Category,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Civilian Unemployment,4935.83,4735,4167.5,3442.5,2855.83,2330.83,2095.83,1799.17,1580.83,1554.17,3375,2313.33,1546.67,1756.67,2861.39
Total Farm,1597.5,1505,1530,1500.83,1526.67,1400,1364.17,1378.33,1445,1462.5,1449.17,1662.5,1780.83,1687.5,1675
Total Nonfarm,28855.83,28464.17,29013.33,29943.33,30233.33,30615.83,31070.83,31570.83,31845,31638.33,28975.83,29506.67,30646.67,31189.17,30605.83
Mining Logging and Construction,1190,1175.83,1260,1265,1315,1341.67,1365.83,1544.17,1688.33,1687.5,1603.33,1630,1672.5,1724.17,1531.32
Mining and Logging,250.83,249.17,302.5,311.67,328.33,304.17,301.67,327.5,311.67,294.17,276.67,280,281.67,270,266.04
Construction,939.17,926.67,957.5,953.33,986.67,1037.5,1064.17,1216.67,1376.67,1393.33,1326.67,1350,1390.83,1454.17,1265.28
Manufacturing,2189.17,2233.33,2327.5,2415.83,2485,2514.17,2548.33,2542.5,2470.83,2432.5,2306.67,2401.67,2567.5,2502.5,2381.74
Trade Transportation and Utilities,5618.33,5582.5,5683.33,5803.33,5858.33,6065.83,6181.67,6309.17,6355,6265,6021.67,6262.5,6080.83,5936.67,5765.48
Information,327.5,308.33,285.83,282.5,271.67,252.5,245.83,234.17,230.83,208.33,166.67,175.83,207.5,198.33,234.65
Financial Activities,1159.17,1059.17,1078.33,1044.17,1046.67,1040.83,1048.33,1057.5,1066.67,1054.17,976.67,979.17,977.5,955,1007.29
Professional and Business Services,1770,1796.67,1696.67,1697.5,1663.33,1703.33,1672.5,1673.33,1788.33,1861.67,1806.67,1818.33,1797.5,1920,1925.35
Private Education and Health Services,4910,4944.17,5315.83,5483.33,5565.83,5495.83,5577.5,5754.17,5784.17,5840.83,5575.83,5582.5,5799.17,6160,5926.6
Leisure and Hospitality,3664.17,3587.5,3687.5,4182.5,4232.5,4285.83,4410,4409.17,4494.17,4364.17,3231.67,3676.67,4064.17,4100.83,4019.51
Other Services,731.67,726.67,745.83,763.33,766.67,776.67,791.67,811.67,810,751.67,705.83,616.67,721.67,718.33,717.01
Government,7295.83,7050,6932.5,7005.83,7028.33,7139.17,7237.5,7239.17,7165,7175.83,6586.67,6370.83,6763.33,6976.67,7096.04
