Category,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Mining Logging and Construction,1575,1550,1608.33,1608.33,1733.33,2016.67,2450,2741.67,3008.33,3083.33,3058.33,3216.67,3325,3366.67,2739.58
Manufacturing,8325,8241.67,8408.33,8708.33,9650,9716.67,9266.67,9550,9675,9991.67,9700,9458.33,9900,10166.67,9677.78
Trade Transportation and Utilities,11125,11483.33,11733.33,11941.67,11875,12100,12366.67,13008.33,13525,13816.67,13433.33,13583.33,13750,13791.67,12913.19
Information,625,441.67,400,400,400,316.67,300,300,300,300,225,241.67,300,300,363.89
Financial Activities,1600,1541.67,1550,1500,1566.67,1575,1816.67,1816.67,1841.67,1900,1833.33,1891.67,1891.67,1800,1696.53
Professional and Business Services,4233.33,4425,4333.33,4316.67,3816.67,3700,3475,3750,3808.33,3933.33,3741.67,3808.33,3858.33,3650,3918.75
Private Education and Health Services,8091.67,8183.33,8300,8775,9050,9408.33,9758.33,10241.67,10283.33,10558.33,10316.67,10558.33,11050,11916.67,10916.67
Leisure and Hospitality,4516.67,4633.33,4741.67,5008.33,5366.67,5441.67,5533.33,5625,5783.33,6075,5333.33,6083.33,6900,7100,6272.22
Other Services,1366.67,1383.33,1391.67,1375,1333.33,1350,1391.67,1425,1475,1600,1541.67,1816.67,2175,2300,1970.83
Government,16700,16450,16425,16575,17091.67,17666.67,18450,18625,18933.33,19491.67,18391.67,18216.67,18700,19400,18661.81
