Category,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Mining Logging and Construction,4325,4033.33,4316.67,4700,5075,5541.67,6050,6208.33,6658.33,6816.67,6466.67,6675,7125,7408.33,6279.17
Manufacturing,5558.33,5541.67,5216.67,5208.33,5275,5416.67,5283.33,5441.67,5233.33,5150,4558.33,4866.67,5058.33,5091.67,5266.67
Trade Transportation & Utilities,23516.67,23908.33,24783.33,25366.67,25708.33,25966.67,26066.67,26200,26691.67,26608.33,24591.67,24975,25400,25500,24773.61
Information,1683.33,1583.33,1525,1533.33,1400,1300,1125,1058.33,1008.33,1000,783.33,816.67,900,883.33,1152.08
Financial Activities,4316.67,4125,4191.67,4016.67,3966.67,4100,4200,4300,4475,4400,4108.33,4150,4250,4116.67,4109.72
Professional and Business Services,11491.67,11516.67,11350,11283.33,12133.33,12800,13358.33,13175,13975,14716.67,14366.67,15383.33,15533.33,14850,13506.25
Private Education and Health Services,16466.67,16450,16808.33,17508.33,17950,18408.33,18750,19700,19941.67,20350,19816.67,20183.33,20966.67,21850,20531.94
Leisure and Hospitality,20033.33,20241.67,21150,21858.33,22833.33,23375,24258.33,24516.67,25283.33,26066.67,18783.33,20541.67,24241.67,25525,23951.39
Other Services,4633.33,4616.67,4716.67,4825,4850,5025,5141.67,5191.67,5108.33,5133.33,4450,4850,5316.67,5533.33,5228.47
Government,32625,31675,31291.67,30225,30550,31091.67,31916.67,33291.67,34475,34725,33816.67,33575,34433.33,34750,32913.89
